source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020240100125,캐리어 및 기판적재용 로봇암,H10P 72/10|H10P 72/30|H10P 72/76|H10P 72/70|C23C 14/50|B25J 15/06,2024-07-29,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020240100125,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240100125&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240101439,물류 로봇과 이를 포함하는 공정 자동화 시스템,H10P 72/30|H10P 72/76|H10P 72/00,2024-07-31,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020240101439,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240101439&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240152131,건식 세정 장치,H10P 72/00|H10P 72/30|H10P 72/50|H10P 10/00|B08B 3/12|B08B 5/04,2024-10-31,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020240152131,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240152131&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200185863,일체형 커플링 모듈 및 이를 포함하는 커플링 시스템,B67B 7/42|B67B 7/18,2020-12-29,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020200185863,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200185863&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210005962,일체형 커플링 모듈 및 이를 포함하는 커플링 시스템,B67B 7/42|B67B 7/18,2021-01-15,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020210005962,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210005962&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220027865,탄화규소 분말의 합성방법,C01B 32/956|C01B 32/97,2022-03-04,등록,등록,주식회사 에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020220027865,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220027865&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020220160392,커플링 장치,B67B 7/42|B67B 7/18|B67D 7/02,2022-11-25,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020220160392,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220160392&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230030099,샘플링 용기 세척 장치,B08B 9/28|B08B 9/08|B08B 9/42,2023-03-07,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020230030099,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230030099&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240006047,자동 튜브 확관 장치 및 이의 동작 방법,B21D 41/02|B21D 37/16|B21D 43/00|B21D 37/04,2024-01-15,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020240006047,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240006047&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240086659,유체 이송용 커플러,F16L 37/32|F16F 1/02|F16F 1/36|B08B 9/032,2024-07-02,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020240086659,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240086659&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240086661,유체 이송용 커플러의 잠금장치 및 이를 포함하는 유체 이송용 커플러,F16L 37/18|F16L 37/32,2024-07-02,등록,등록,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020240086661,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240086661&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020250150154,압력 조절형 슬로프 변형 기능을 갖춘 실내외 겸용 골프퍼팅매트,A63B 69/36,2025-10-17,등록,등록,주식회사 에스티아이코리아,1,BACKWARD_CITATION_ESTIMATED,1020250150154,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020250150154&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170094358,건식 사우나 대인소독장치,A61L 2/06|E04H 1/12,2017-07-25,등록,등록,주식회사 에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020170094358,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170094358&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020240084932,약액 공급 장치 및 이를 이용한 약액 공급 방법,H10P 72/00|H10P 72/50,2024-06-28,공개,공개,(주)에스티아이,1,BACKWARD_CITATION_ESTIMATED,1020240084932,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020240084932&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
