application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1019960049855,1019980030458,1002187240000,소멸,소멸,TFT LCD용 글라스의 자동 에칭장치 및 에칭방법,(주)에스티아이,1,"1. <P>50%HF 용액을 저장하여 공급하기 위한 HF 공급 제1장치(9)와 HF 공급 제2장치(10)로부터 상기 HF 용액이 HF 공급 탱크(4)와 HF 저장 탱크(5)에 공급되고, 상기 탱크(4,5)내에서 HF 농도 콘트롤러(6)에 의하여 농도가 조절된 HF 용액이 채워지고, 그 상단부에는 초순수가 채워지고 이 초순수속으로 뚜껑(30)의 4 모서리가 잠겨서 HF 기체가 외부로 발산되지 않도록 하기 위한 워터 포켓(40)이 설치되고, 그 하부에는 질소 기체를 발산할 수 있는 다공성의 버블판(50)이 설치되어 복수개의 TFT LCD용 글라스가 장입된 카세트가 내부에 위치하여 상기 글라스를 에칭하기 위한 HF 에칭 배스(1); 상기 에칭이 완료된 글라스가 장입된 카세트가 내부에 위치하여 측부내부에 설치된 샤워장치를 통하여 초순수를 분사시키고, 그 하부에는 질소 기체를 발산할 수 있는 다공성의 버블판(50)이 설치되어 상기 글라스를 세척하기 위한 QDR 배스(2); 상기 세척이 완료된 글라스가 장입된 카세트가 내부에 위치하여, 그 내부에는 초순수가 채워지고, 그 상부에는 질소 기체를 분사시키는 장치가 설치된 건조 배스(3); 상기 HF 공급 탱크(4), 상기 HF 저장 탱크(5), 상기 QDR 배스(2), 및 상기 건조 배스(3)에 공급되는 초순수를 필요한 온도로 가열하기 위한 초순수 가열 장치(11); 상기 HF 공급 탱크(4)와 상기 HF 저장 탱크(5)에 공급되는 공정 냉각수를 가열하기 위한 공정 냉각수 가열 장치(12); 및 상기 HF 공급 탱크(4)와 상기 HF 저장 탱크(5)로부터 발생하는 HF를 응축하기 위한 응축기(7); 로 이루어지는 것을 특징으로 하는 TFT LCD용 글라스의 자동 에칭장치.</P>",860,False,True,explicit_or_regex_estimated
1019960049855,1019980030458,1002187240000,소멸,소멸,TFT LCD용 글라스의 자동 에칭장치 및 에칭방법,(주)에스티아이,2,"2. <P>제1항에 있어서, 상기 글라스가 장입된 카세트가 로딩부(20), 상기 HF 에칭 배스(1), 상기 QDR 배스(2), 상기 건조 배스(3), 및 언로딩되는 언로딩부(21)에서 이동할 때 로보트에 의하여 이동되는 것을 특징으로 하는 TFT LCD용 글라스의 자동 에칭 장치.</P>",162,True,False,explicit_or_regex_estimated
1019960049855,1019980030458,1002187240000,소멸,소멸,TFT LCD용 글라스의 자동 에칭장치 및 에칭방법,(주)에스티아이,3,"3. <P>제1항에 있어서, 상기 장치가 상기 응축기(7)를 작동시키기 위한 냉각수 공급 장치(8)를 더 포함하는 것을 특징으로 하는 TFT LCD용 글라스의 자동 에칭 장치.</P>",102,True,False,explicit_or_regex_estimated
1019960049855,1019980030458,1002187240000,소멸,소멸,TFT LCD용 글라스의 자동 에칭장치 및 에칭방법,(주)에스티아이,4,"4. <P>HF 농도 콘트롤러(6)에 의하여 농도가 조절된 HF 용액을 HF 공급 탱크(4) 또는 HF 저장 탱크(5)로부터 공급받고 그 하부에는 질소기체가 분출되는 버블판(50)이 설치된 HF 에칭 배스(1)내에서 로보토에 의하여 이동된 글라스가 장입된 카세트를 질소 기체를 분출시켜 에칭하는 공정; 상기 에칭 공정이 완료된 카세트를 QDR 배스(2)내로 로보트에 의하여 이동시켜 그 내부에 설치된 샤워 장치를 통하여 초순수를 분사시키고, 동시에 그 하부에 설치된 버블판(50)으로부터 질소 기체를 발산시켜 상기 카세트에 장입된 글라스를 세척하는 공정; 및 상기 세척 공정이 완료된 카세트를 60∼80℃의 초순수가 충진된 건조배스(3)내에 침지시킨 수, 그 침지되었던 카세트를 서서히 상승시키면서 그 상부에서 질소기체를 분사시켜 글라스 표면을 완전히 건조시키는 공정; 으로 이루어지는 것을 특징으로 하는 TFT LCD용 글라스의 자동 에칭 방법.</P>",478,False,True,explicit_or_regex_estimated
1020000070197,,1003372590000,소멸,소멸,액정 디스플레이용 유리기판으로부터 감광성 수지를제거하기 위한 방법 및 그 제거장치,(주)에스티아이,1,"1. <P INDENT=""14"" ALIGN=""JUSTIFIED"">액정 디스플레이의 감광성 수지를 제거하고자 하는 복수개의 불량 유리기판을 적재한 카세트를 세정액이 담긴 스웰링 배스에 침적시키고;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">감광성 수지의 세정효과를 높이기 위하여 스웰링 배스에 담긴 세정액을 외부의 세정액 탱크로부터 연속적으로 순환시키고;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 세정액을 스웰링 배스내에서 초음파 진동장치에 의하여 진동시키고;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 세정액을 상기 스웰링 배스로부터 상기 세정액 탱크로 완전히 배출시키고; 그리고</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 불량 유리기판의 감광성 수지 표면을 에어로써 건조시키는;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">단계로 이루어지는 것을 특징으로 하는 스웰링 공정을 포함하는 액정 디스플레이용 유리기판의 감광성 수지의 제거방법.</P><BR>",546,False,True,explicit_or_regex_estimated
1020000070197,,1003372590000,소멸,소멸,액정 디스플레이용 유리기판으로부터 감광성 수지를제거하기 위한 방법 및 그 제거장치,(주)에스티아이,2,"2. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 카세트를 상하 또는 좌우로 요동시키는 단계를 더 포함하는 것을 특징으로 하는 스웰링 공정을 포함하는 액정 디스플레이용 유리기판의 감광성 수지의 제거방법.</P><BR>",142,True,False,explicit_or_regex_estimated
1020000070197,,1003372590000,소멸,소멸,액정 디스플레이용 유리기판으로부터 감광성 수지를제거하기 위한 방법 및 그 제거장치,(주)에스티아이,3,"3. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 세정액 탱크로 유입되는 세정액을 여과하는 단계를 더 <DP TYPE=""SOFT"" N=""13"">포함하는 것을 특징으로 하는 스웰링 공정을 포함하는 액정 디스플레이용 유리기판의 감광성 수지의 제거방법.</P><BR>",167,True,False,explicit_or_regex_estimated
1020000070197,,1003372590000,소멸,소멸,액정 디스플레이용 유리기판으로부터 감광성 수지를제거하기 위한 방법 및 그 제거장치,(주)에스티아이,4,"4. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 스웰링 공정이 15∼30 분간 행해지는 것을 특징으로 하는 스웰링 공정을 포함하는 액정 디스플레이용 유리기판의 감광성 수지의 제거방법.</P><BR>",132,True,False,explicit_or_regex_estimated
1020000070197,,1003372590000,소멸,소멸,액정 디스플레이용 유리기판으로부터 감광성 수지를제거하기 위한 방법 및 그 제거장치,(주)에스티아이,5,"5. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 스웰링 공정이 세정액으로 CFRC(color filter rework chemical)을 사용하는 것을 특징으로 하는 스웰링 공정을 포함하는 액정 디스플레이용 유리기판의 감광성 수지의 제거방법.</P><BR>",165,True,False,explicit_or_regex_estimated
1020000070197,,1003372590000,소멸,소멸,액정 디스플레이용 유리기판으로부터 감광성 수지를제거하기 위한 방법 및 그 제거장치,(주)에스티아이,6,"6. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 스웰링 배스는 하나 또는 복수개로 이루어지는 것을 특징으로 스웰링 공정을 포함하는 액정 디스플레이용 유리기판의 감광성 수지의 제거방법.</P><BR>",132,True,False,explicit_or_regex_estimated
