source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020220160392,86947351,,KR,KR,KR,,20230071441,20230602,102884434,20251113,,,20230071441,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020220160392,86947351,,KR,KR,KR,,20230071441,20230602,20240078296,20240603,,,20230071441,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020200185863,80475174,,KR,KR,KR,,20210005962,20210115,102551793,20230706,,,20210005962,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020200185863,80475174,,KR,KR,KR,,20210005962,20210115,20220020747,20220221,,,20210005962,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020210005962,80475174,,KR,KR,KR,,20200185863,20201229,102551792,20230706,,,20200185863,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020210005962,80475174,,KR,KR,KR,,20200185863,20201229,20220020745,20220221,,,20200185863,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020240084932,86409264,,KR,KR,KR,,20210149015,20211102,20230063684,20230509,,,20210149015,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020220027865,81986637,,KR,KR,WO,,2022017961,20221115,2023167387,20230907,,,2022017961,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020060030284,38804689,,TW,TW,TW,,95118758,20060526,I310220,20090521,,,95118758,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020060030284,38804689,,TW,TW,TW,,95118758,20060526,200739664,20071016,,,95118758,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
