source,corp_code,company,company_dir,stock_code,year,share_class,common_shares,raw,diluted_shares
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2021,보통주,15830000.0,"{""rcept_no"": ""20220317000346"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""15,830,000"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""15,830,000"", ""tesstk_co"": ""811,400"", ""distb_stock_co"": ""15,018,600"", ""stlm_dt"": ""2021-12-31""}",15830000.0
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2021,우선주,,"{""rcept_no"": ""20220317000346"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2021-12-31""}",
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2021,합계,15830000.0,"{""rcept_no"": ""20220317000346"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""15,830,000"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""15,830,000"", ""tesstk_co"": ""811,400"", ""distb_stock_co"": ""15,018,600"", ""stlm_dt"": ""2021-12-31""}",15830000.0
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2021,비고,,"{""rcept_no"": ""20220317000346"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""비고"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2021-12-31""}",
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2022,보통주,15830000.0,"{""rcept_no"": ""20230316000287"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""15,830,000"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""15,830,000"", ""tesstk_co"": ""981,000"", ""distb_stock_co"": ""14,849,000"", ""stlm_dt"": ""2022-12-31""}",15830000.0
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2022,우선주,,"{""rcept_no"": ""20230316000287"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2022-12-31""}",
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2022,합계,15830000.0,"{""rcept_no"": ""20230316000287"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""합계"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""15,830,000"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""15,830,000"", ""tesstk_co"": ""981,000"", ""distb_stock_co"": ""14,849,000"", ""stlm_dt"": ""2022-12-31""}",15830000.0
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2022,비고,,"{""rcept_no"": ""20230316000287"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""비고"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2022-12-31""}",
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2023,보통주,15830000.0,"{""rcept_no"": ""20240321000616"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""보통주"", ""isu_stock_totqy"": ""50,000,000"", ""now_to_isu_stock_totqy"": ""15,830,000"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""15,830,000"", ""tesstk_co"": ""1,092,953"", ""distb_stock_co"": ""14,737,047"", ""stlm_dt"": ""2023-12-31""}",15830000.0
OpenDART_stockTotqySttus,298340,에스티아이,sti,39440,2023,우선주,,"{""rcept_no"": ""20240321000616"", ""corp_cls"": ""K"", ""corp_code"": ""00298340"", ""corp_name"": ""에스티아이"", ""se"": ""우선주"", ""isu_stock_totqy"": ""-"", ""now_to_isu_stock_totqy"": ""-"", ""now_to_dcrs_stock_totqy"": ""-"", ""redc"": ""-"", ""profit_incnr"": ""-"", ""rdmstk_repy"": ""-"", ""etc"": ""-"", ""istc_totqy"": ""-"", ""tesstk_co"": ""-"", ""distb_stock_co"": ""-"", ""stlm_dt"": ""2023-12-31""}",
