source,corp_code,company,company_dir,stock_code,year,fs_div,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,amount,frmtrm_amount,currency,ord
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 23 기,89544157443.0,85917993692.0,KRW,1
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 23 기,19870120249.0,5348944172.0,KRW,2
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,유동금융자산,-,제 23 기,17000000000.0,39566903651.0,KRW,3
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 23 기,18727923619.0,14307063360.0,KRW,4
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 23 기,1021630.0,88262579.0,KRW,5
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 23 기,27031321647.0,19715769136.0,KRW,6
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 23 기,6913770298.0,6891050794.0,KRW,7
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 23 기,117714549415.0,80118079689.0,KRW,8
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,비유동금융자산,-,제 23 기,1565934410.0,1117183734.0,KRW,9
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,-,제 23 기,11864045127.0,10206961225.0,KRW,10
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 23 기,39573966440.0,25011755686.0,KRW,11
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 23 기,1139448848.0,1182856423.0,KRW,12
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 23 기,39616495935.0,20898006420.0,KRW,13
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업투자주식,-,제 23 기,17467298536.0,14429019088.0,KRW,14
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 23 기,6348663826.0,7240261780.0,KRW,15
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 23 기,138696293.0,32035333.0,KRW,16
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 23 기,207258706858.0,166036073381.0,KRW,17
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 23 기,41944684703.0,31033328838.0,KRW,19
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 23 기,10000000000.0,10000000000.0,KRW,20
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 23 기,1053517818.0,820988147.0,KRW,21
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 23 기,28182130729.0,17331249287.0,KRW,22
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 23 기,124273581.0,,KRW,23
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 23 기,1798802582.0,1576844836.0,KRW,24
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 23 기,785959993.0,1304246568.0,KRW,25
OpenDART_fnlttSinglAcntAll,00423177,텔레칩스,telechips,054450,2021,CFS,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 23 기,59037294690.0,42554435998.0,KRW,26
