application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020230077995,1020230077995,1020240177041,1020240177041,,,공개,공개,공개 공개,기판처리장치,기판처리장치,주식회사 원익아이피에스,주식회사 원익아이피에스,,20230619,2023,20241227,20241227,,,C23C 16/455|C23C 16/458|C23C 16/44,C23C 16/455|C23C 16/458|C23C 16/44,,,"본 발명은, 기판처리장치에 관한 것으로서, 보다 상세하게는 기판에 대한 증착, 식각, 열처리 등 기판처리를 수행하는 기판처리장치에 관한 것이다. 본 발명은, 복수의 기판(1)이 수용되어 기판처리가 수행되며 하부가 개방되는 반응관(100)과; 상기 반응관(100) 하부에서 상기 반응관(100)을 지지하는 매니폴드부(200)와; 상기 매니폴드부(200)를 관통하여 설치되며, 외부로부터 가스를 전달받아 분사하는 가스노즐부(300)와; 상기 매니폴드부(200) 내측에 상기 가스노즐부(300)와 간섭하도록 설치되어 상기 가스노즐부(300)의 전후방 이동을 방지하는 노즐고정부(400)를 포함하며, 상기 가스노즐부(300)는, 상기 매니폴드부(200) 측면을 관통하는 노즐본체(310)와, 상기 노즐본체(310) 끝단에 폐쇄되어 형성되며 상기 노즐고정부(400)에 접촉하는 노즐단부(320)를 포함하는 기판처리장치를 개시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93261721ef0f99a135512a960198acac301d24fb155081630e1a56652192b388183acb36a0dea23d9b6882f1584bd0bc0231c714dd48a54437,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,2
1020220068947,1020220068947,1020230168463,1020230168463,,,공개,공개,공개 공개,기판처리장치,기판처리장치,주식회사 원익아이피에스,주식회사 원익아이피에스,,20220607,2022,20231214,20231214,,,C23C 16/44|C23C 16/455,C23C 16/44|C23C 16/455,,,"본 발명은 기판처리장치에 관한 것으로서, 보다 상세하게는 증착, 식각, 열처리 등 기판에 대한 처리를 수행하는 기판처리장치에 관한 것이다. 본 발명은, 내부에 기판처리를 위한 반응공간(S1)을 형성하며 하부에 입구가 형성되는 반응관(100)과; 상기 반응관(100)을 하측에서 지지하는 매니폴드부(200)와; 상기 매니폴드부(200) 하부를 밀폐하며, 상측으로 퍼지가스를 공급하는 퍼지홀(301)이 형성되는 캡플랜지(300)와; 상기 캡플랜지(300) 상에 배치되며, 내부에 상기 퍼지홀(301)에 연통하는 전달유로(410)가 형성되어 상기 퍼지가스를 상기 입구 측으로 전달하는 퍼지부(400)를 포함하는 기판처리장치를 개시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c938dac956462521541af8104b2621451286c7ee9143f001b7ea0386e94fd395aceb3c523db9e50c8f0cb80bd03c3bc2b36458f17d6f442fcff,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,3
1020230071087,1020230071087,1020240172577,1020240172577,,,공개,공개,공개 공개,"플라즈마 소스, 플라즈마 소스 어셈블리 및 기판 처리 장치","플라즈마 소스, 플라즈마 소스 어셈블리 및 기판 처리 장치",주식회사 원익아이피에스,주식회사 원익아이피에스,,20230601,2023,20241210,20241210,,,H01J 37/32,H01J 37/32,,,"본 발명의 일 관점에 따른 플라즈마 소스는, 내부에 제 1 가스 확산 공간들유체 유로들이 각각 형성된 복수의 제 1 몸체부들 조각부들 및 상기 복수의 제 1 몸체부들 조각부들 사이에 결합된 복수의 제 1 절연부들을 포함하고, 상기 제 1 가스 확산 공간들유체 유로들이 전체적으로 제 1 토로이달 채널을 형성하도록 상기 복수의 제 1 몸체부들 조각부들이 배치된 제 1 반응 몸체; 상기 제 1 반응 몸체를 각각 둘러 싸면서, 상기 제 1 토로이달 채널을 따라서 서로 이격 배치된 복수의 제 1 자성 코어들; 및 상기 복수의 제 1 자성 코어들을 감도록 배치되고, 전원부로부터 전력을 공급받아 상기 복수의 제 1 자성 코어들 내에 자기력을 유도하는 복수의 제 1 권선들;을 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93c77104924888ba895126d1ad8b7485f82670d89bdd87b5b60b4de0718ac2baa878418b421f5632fa6b0a5bf904d762ff7d7c7b461a9257e6,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,4
1020230109147,1020230109147,1020250028033,1020250028033,,,공개,공개,공개 공개,금속 질화물 박막의 형성방법,금속 질화물 박막의 형성방법,주식회사 원익아이피에스,주식회사 원익아이피에스,,20230821,2023,20250228,20250228,,,C23C 16/34|C23C 16/56|H01J 37/32,C23C 16/34|C23C 16/56|H01J 37/32,,,"실시예에 따른 금속 질화물 박막의 형성방법에서는, 처리 공간이 형성된 공정 챔버 내로 기판을 준비하는 기판 준비 단계; 금속 전구체 가스와 질소 함유 가스를 각각 공급하여 상기 기판의 상부에 금속 질화물 박막을 형성하는 박막 형성 단계; 상기 공정 챔버에 수소 함유 가스를 공급하고 제1 플라즈마를 형성시켜 상기 금속 질화물 박막을 적어도 1회 이상 표면 처리하는 제1 표면 처리 단계; 및 상기 공정 챔버에 질소 함유 가스를 공급하고 제2 플라즈마를 형성시켜 상기 제1 표면 처리한 기판을 적어도 1회 이상 표면 처리하는 제2 표면 처리 단계;를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9311487273ec768278690a53314488bb045caa9077ae7a9beb6a7b42fdf15456cda8b1b63732d9d19b72ef166fb0179ffe9d3f2b034f9f19a5,False,False,False,2,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,5
1020240114599,1020240114599,1020260029893,1020260029893,,,공개,공개,공개 공개,노즐조립어댑터 및 그를 가지는 기판처리장치,노즐조립어댑터 및 그를 가지는 기판처리장치,주식회사 원익아이피에스,주식회사 원익아이피에스,,20240826,2024,20260305,20260305,,,C23C 16/455|C23C 16/44|C23C 16/458|H10P 72/00,C23C 16/455|C23C 16/44|C23C 16/458|H10P 72/00,,,"본 발명은 기판처리에 관한 것으로서, 보다 상세하게는 처리공간을 형성하는 프로세스튜브 내부 및 외부 중 적어도 하나에 분사노즐에 결합되는 노즐조립어댑터 및 그를 가지는 기판처리장치에 관한 것이다. 본 발명은, 다수의 기판(1)들이 상하로 적층된 상태로 기판처리를 수행하는 처리공간(S1)을 형성하는 프로세스튜브(100)와; 상기 프로세스튜브(100)의 하단을 지지하는 매니폴드조립체(300)를 포함하는 기판처리장치의 노즐조립어댑터(500)로서, 상기 프로세스튜브(100)의 내측 및 외측 중 어느 하나에서 상하방향으로 설치되는 분사노즐(410, 420)이 상하방향으로 삽입되는 삽입부분(510)과; 가스공급관(430)이 수평방향으로 탈착가능하게 결합되는 관연결부분(520)과; 상기 삽입부분(510) 및 상기 관연결부분(520)을 상기 매니폴드조립체(300)에 대하여 설치위치를 고정시키는 고정부분(530)을 포함하는 것을 특징으로 하는 노즐조립어댑터(500)를 제시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9372ec71bbcfe5c14bd16038dc7e12dd43b7c31595385a0d0f0206a459c844e42b8f1a38e5fabe7078afe9b5284004f369aba7174b85970c47,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,6
1020220062937,1020220062937,1020230163175,1020230163175,,,공개,공개,공개 공개,기판처리장치,기판처리장치,주식회사 원익아이피에스,주식회사 원익아이피에스,,20220523,2022,20231130,20231130,,,C23C 16/44|C23C 16/455|C23C 16/458|H01J 37/32,C23C 16/44|C23C 16/455|C23C 16/458|H01J 37/32,,,"본 발명은 기판처리장치에 관한 것으로서, 보다 상세하게는 기판에 대한 증착, 식각 및 열처리 등의 기판처리가 수행되는 기판처리장치에 관한 것이다. 본 발명은, 내부에 기판(1)이 수용되어 기판처리가 수행되는 처리공간(S1)이 형성되며, 상기 처리공간(S1)에 대한 배기를 위한 이너배기구(110)가 형성되는 이너튜브(100)와; 상기 이너튜브(100)가 수용되어 내부 상기 이너튜브(100)와의 사이에 배기공간(S2)이 형성되며, 상기 처리공간(S1)으로 수용되어 상기 이너배기구(110)를 통해 전달된 배기가스를 외부로 배출하는 아우터배기구(210)가 형성되는 아우터튜브(200)와; 상기 처리공간(S1)에 설치되어 상기 처리공간(S1)으로 공정가스를 분사하는 이너분사노즐(300)과; 상기 배기공간(S2)에 설치되어 상기 배기공간(S2) 내에 아우터가스를 분사하는 아우터분사노즐(400)을 포함하는 기판처리장치를 개시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93324db56d7d7eace9628fb28aa5c96e9526361ff7c221ac529d89d2c6e87ce1ec619bbac981acbe0ace08bed7987de84862fb9823568195aa,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,7
1020240002958,1020240002958,1020250108325,1020250108325,,,공개,공개,공개 공개,봉상 구조체 설치용 브라켓 어셈블리 및 이를 포함하는 밸브 어셈블리,봉상 구조체 설치용 브라켓 어셈블리 및 이를 포함하는 밸브 어셈블리,주식회사 원익아이피에스,주식회사 원익아이피에스,,20240108,2024,20250715,20250715,,,G01D 11/30|F16B 5/02|F17C 13/04|C23C 16/455,G01D 11/30|F16B 5/02|F17C 13/04|C23C 16/455,,,"실시예에 따른 브라켓 어셈블리는, 표면 일측에 내입 형성된 결속홈 및 상기 결속홈에서 임의의 간격만큼 이격된 위치에 내입 형성되어 내부에 봉상 구조체가 설치되는 설치홈을 포함하는 설치 대상물의 상부에 상기 봉상 구조체를 고정하기 위한 브라켓 어셈블리로서, 상기 결속홈과 대응되는 위치에 관통 형성되는 제1 결합공과 상기 설치홈과 대응되는 위치에 관통 형성되고 상기 봉상 구조체가 삽입 결합되기 위한 제1 설치공을 포함하는 평판 형상의 브라켓 본체; 및 상기 결속홈 및 제1 결합공에 삽입 결합되어 상기 봉상 구조체를 상기 설치 대상물에 고정하는 결속 부재;를 포함하는 구조를 갖는다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9366f162581ea5e2a35dea60ca3df1326e6677f894d30ea7ed593cf383afc858684c0a4afe91ef6e0e3cab0df68fe1997d417e3501392af5c6,False,False,False,0,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,8
1020220078339,1020220078339,1020240001548,1020240001548,,,공개,공개,공개 공개,기판처리장치,기판처리장치,주식회사 원익아이피에스,주식회사 원익아이피에스,,20220627,2022,20240103,20240103,,,C23C 16/455|C23C 16/44,C23C 16/455|C23C 16/44,,,"본 발명은 기판처리장치에 관한 것으로서, 보다 상세하게는 다수의 기판에 대한 증착, 식각, 열처리 등 기판처리가 가능한 기판처리장치에 관한 것이다. 본 발명은, 복수의 기판(1)이 수용되어 기판처리가 수행되는 처리공간(S1)이 형성되는 반응관(100)과; 상기 반응관(100) 측면 일부에서 외측방향으로 돌출 구비되어 상기 반응관(100) 외면 일부를 형성하는 노즐설치부(200)와; 상기 노즐설치부(200)에 수직방향으로 상기 기판(1) 둘레를 따라 배치되어, 상기 반응관(100) 내에 공정가스를 분사하는 복수의 가스분사노즐(300)을 포함하며, 상기 노즐설치부(200)는, 상기 가스분사노즐(300)들 각각이 삽입되어 설치되도록 상기 가스분사노즐(300)에 대응되는 복수의 삽입부가 형성되는 기판처리장치를 개시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93c3aef80a520193f56943d6bc985323e49312420fa153079045bffe7954d2c64550b80f885d0af497b44d2e6b727de1f65db690b70476aef4,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,9
1020230153692,1020230153692,1020250067501,1020250067501,,,공개,공개,공개 공개,박막 형성 방법,박막 형성 방법,주식회사 원익아이피에스,주식회사 원익아이피에스,,20231108,2023,20250515,20250515,,,G03F 7/075|G03F 7/09|G03F 7/11|G03F 7/004|G03F 7/16,G03F 7/075|G03F 7/09|G03F 7/11|G03F 7/004|G03F 7/16,,,"본 발명의 일 실시예에 따른 박막 형성 방법은 극자외선용 언더레이어를 구현하는 박막 형성 방법이며, 하지막이 형성된 기판을 준비하는 단계; 및 상기 하지막 상에 카본을 함유하는 포토레지스트 언더레이어를 형성하는 단계;를 포함하되, 극자외선의 적어도 일부를 흡수하도록 상기 포토레지스트 언더레이어를 형성하기 전 금속 함유 박막을 형성하는 것을 특징으로 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93431a24b4618a3c861f096ae3b51150798ef0b3445e3fb9be17db1bb446f25d06adc11842ebfa74349d5df65b1294c9b68ac2e94b973d2f30,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,10
1020210184131,1020210184131,1020230094745,1020230094745,,,공개,공개,공개 공개,기판 처리 방법,기판 처리 방법,주식회사 원익아이피에스,주식회사 원익아이피에스,,20211221,2021,20230628,20230628,,,H10P 50/28|H10P 10/00,H10P 50/28|H10P 10/00,,,"본 발명의 일 관점에 따른 기판 처리 방법은, 반응 공간이 형성된 공정 챔버(process chamber), 상기 공정 챔버에 결합된 기판 지지부, 상기 기판 지지부에 대향되도록 상기 공정 챔버에 결합된 가스 분사부 및 상기 공정 챔버 외부에 배치되고 상기 가스 분사부와 연결된 플라즈마 반응기(plasma reactor)를 포함하는 기판 처리 장치를 이용한 기판 처리 방법으로서, 제 1 절연막 및 제 2 절연막을 포함하는 기판을 상기 기판 지지부 상에 안착시키는 단계와, 상기 플라즈마 반응기에 할로겐 원소를 포함하는 제 1 공정 가스 및 수소 원소를 포함하는 제 2 공정 가스를 포함하는 제 1 반응 가스를 공급하는 단계와, 상기 플라즈마 반응기에 전력을 인가하여 상기 반응 가스를 활성화시켜 활성화된 제 2 반응 가스를 생성하는 단계와, 상기 제 2 절연막에 대해서 선택적으로 상기 제 1 절연막을 식각하도록 상기 제 2 반응 가스를 상기 가스 분사부를 통해서 상기 기판 상에 공급하는 식각 단계를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f63d14b4a98e73dacbd0671e24e88e5beb19281bd9c6fa4f478d1839d434c02c7421377cf74db702176c55d41c45a66e4835112742709a98,False,False,False,1,C:\Agent_6.9\data\반도체\원익IPS\tech\source\wonik_ips_kipris_plus_bibliographic_raw.csv,,11
