source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210059472,루테늄 박막의 선택적 증착 방법,C23C 16/04|C23C 16/02|C23C 16/18|H10P 10/00|H10P 14/42,2021-05-07,등록,등록,(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020210059472,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210059472&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210116692,황화카보닐(COS)의 신규 합성방법,C01B 32/77|B01J 8/00|B01J 8/02|H10P 50/20,2021-09-02,등록,등록,(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020210116692,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210116692&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170173004,반도체 제조 공정용 건식 세정 가스 및 이를 사용하는 세정 방법,H10P 10/00|H10P 72/00,2017-12-15,등록,등록,(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020170173004,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170173004&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020110030079,고순도 암모니아의 충전방법 및 그 장치,H10P 72/00|F17C 9/00,2011-04-01,등록,등록,(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020110030079,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020110030079&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200077011,암모니아 개질기,C01B 3/04|B01J 8/02,2020-06-24,등록,등록,(주)원익머트리얼즈|주식회사 원익홀딩스,1,BACKWARD_CITATION_ESTIMATED,1020200077011,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200077011&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200113615,함불소 환형 황 화합물의 연속적인 제조방법,C07D 333/28,2020-09-07,등록,등록,한국과학기술연구원|(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020200113615,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200113615&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200142666,암모니아 기반 연료전지 시스템 모듈,H01M 8/0606|H01M 8/04082|H01M 8/04014|H01M 8/04089|H01M 8/2484|H01M 8/124,2020-10-30,등록,등록,(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020200142666,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200142666&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200163821,올리고실란의 제조방법 및 이를 위한 장치,C01B 33/04|B01J 23/02|B01J 19/00,2020-11-30,등록,등록,(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020200163821,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200163821&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200175552,가스생성시스템,C01B 3/04|C01B 3/56|B01D 53/047,2020-12-15,등록,등록,주식회사 원익홀딩스|(주)원익머트리얼즈,1,BACKWARD_CITATION_ESTIMATED,1020200175552,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200175552&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200184689,"암모니아를 이용한 고순도 수소 제조방법, 이를 위한 제조장치 및 on-site형 모듈 시스템",C01B 3/04|C01B 3/56|B01D 53/047,2020-12-28,등록,등록,(주)원익머트리얼즈|주식회사 원익홀딩스,1,BACKWARD_CITATION_ESTIMATED,1020200184689,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200184689&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
