application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,1,"1. 일산화탄소(CO) 가스와 액상의 황(S)을 원료로 하여 황화카보닐(COS)을 합성하는 방법에 있어서, 내부에 액상 황이 들어있는 온도와 압력조절이 가능한 반응기에 일산화탄소 가스를 액상의 황 내로 버블링 시키면서 공급하여 일산화탄소(CO) 가스와 액상의 황(S)이 기-액 접촉 방법으로 반응하도록 하는 것을 특징으로 하는 황화카보닐의 합성방법.",195,False,True,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,2,"2. 제1항에 있어서, 반응기 내부의 황 온도를 350~550℃로 유지하여 반응시키는 것을 특징으로 하는 황화카보닐의 합성방법.",71,True,False,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,3,"3. 제1항에 있어서, 반응기 내부압력을 대기압~5kg/cm2로 유지하여 반응시키는 것을 특징으로 하는 황화카보닐의 합성방법.",70,True,False,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,4,"4. 제1항에 있어서, 일산화탄소 가스는 액상 황의 내부에서 공급되는 것을 특징으로 하는 황화카보닐의 합성방법.",62,True,False,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,5,"5. 제4항에 있어서, 일산화탄소 가스는 액상 황의 계면(수면)에서 5cm 이상의 깊이에서 공급됨을 특징으로 하는 황화카보닐의 합성방법.",76,True,False,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,6,"6. 제4항 또는 제5항에 있어서, 상기 일산화탄소 가스는 액상 황 내에 버블링 되도록 공급하는 것을 특징으로 하는 황화카보닐의 합성방법.",77,True,False,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,7,"7. 일산화탄소(CO)와 황(S)을 반응시켜 황화카보닐(COS)을 합성하는 반응장치.에 있어서, 액상의 황(S)을 저장하도록 내부공간을 가지며, 가열수단(22)을 구비하여 온도조절이 가능하고, 압력조절이 가능한 반응기(21)와; 상기 반응기(21)의 내부공간에 저장된 액상의 황(S) 내에 일산화탄소(CO)를 공급하도록 설치된 일산화탄소 공급관(23)과; 상기 반응기(21)의 내부공간에 황(S)을 공급하도록 설치된 황 공급관(27)과; 상기 반응기(21)의 상부에 설치되어 반응하여 합성된 황화카보닐(COS)을 배출하는 황화카보닐(COS) 배출관(24)을 포함하도록 구성됨을 특징으로 하는 황화카보닐의 합성반응장치.",345,False,True,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,8,"8. 제7항에 있어서, 상기 일산화탄소 공급관(23)에는 버블링 장치(23a)가 설치됨을 특징으로 하는 황화카보닐의 합성반응장치.",72,True,False,explicit_or_regex_estimated
1020090052782,,1009384350000,등록,등록,황화카보닐의 합성방법 및 합성반응장치,(주)원익머트리얼즈,9,"9. 제8항에 있어서, 상기 버블링 장치(23a)는 기포를 발생시키는 버블러 또는 스파저가 사용됨을 특징으로 하는 황화카보닐의 합성반응장치.",78,True,False,explicit_or_regex_estimated
1020090073906,1020110016282,1010796180000,소멸,소멸,금속실리콘 정제장치,(주)원익머트리얼즈,1,"1. 가열을 위한 히터(11)가 설치되고, 가스배출구(12)가 형성된 진공이 가능한 챔버(10)와; 상기 챔버(10)의 내측에 유입되는 금속실리콘이 담기는 도가니(20)와; 상기 도가니(20)를 지지하며, 지지된 도가니(20)를 상하이동과 회전을 시키는 도가니 지지체(30)와; 상기 챔버(10) 내에 유입된 도가니(20)에 담긴 금속실리콘의 상부표면에 국부적으로 가열하는 국부가열수단(50)과; 상기 도가니(20)에 담긴 금속실리콘의 상부표면에 가스를 공급하는 가스공급관(60)을 포함하며, 상기 히터(11)의 상부에는 손모(損耗) 현상을 방지하기 위하여 석영으로 이루어진 보호덮개(15)가 설치됨을 특징으로 하는 금속실리콘 정제장치.",356,False,True,explicit_or_regex_estimated
