published_at,date,title,summary,url,field,company,ticker,stock_code,company_dir,sentiment_score,issue_category,source_file,source_kind,issue_count,materiality_weight,source_weight
2025-10-21,2025-10-21,"“후공정 강자 네패스아크, AI 투자 바람 타고 급등…외인·기관은 관망” - 포인트데일리",nan,https://news.google.com/rss/articles/CBMicEFVX3lxTE9ZSU8tUnFnQl8zYUdzT04tY04xOHVnVWhqaHdsdVZVNGpKblZlbTVFS2h6MXJvMjhZNFRQZjNVejhKSWlJeUZWaERRRC1yUndBZG1GVDA4dGdiU2ctdFpxeWduTEEyUnF1c19zSnZRc3LSAXRBVV95cUxPZjNGcjRZTFNnb0k0S3VfMFNBYmh4QnMxSG43d2szUGotT3VmakhPSTg1MnhvQ3ZwQTJ4bDlyUlR4c1puYmx6Z0h4akxNZGd5MlY3TUFLNTBNQ216SzZGUmFIallTTHJVX2dOVWdrOENoZGlocw?oc=5,반도체,네패스,033640,033640,nepes,0.5,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2026-01-14,2026-01-14,한미반도체 수주공시 - HBM 제조용 'TC BONDER' 장비 수주 96.5억원 (매출액대비 1.73 %) - 한국경제,nan,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1hSXdzbGVRQnJPNGVSVlNYYmJBTDVhejl6LURnbW5HU2tQUDVhSTV1dkRHV3hJZzlUakxLWjcyZ1RNV1BpLVA0OHRvWXZ3ZmlNQ0pjd29EOENVQdIBVEFVX3lxTE9pVmpnd1RabUY3WXVYSUtVdkw1STNuWnRGY29hNllGWjl1UFlMd0o2UWRGamFyRGcxNEdJeVVydXFXaC1lWTZZZ2dqTE0xV09xV055Zw?oc=5,반도체,한미반도체,042700,042700,hanmi,0.5,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2026-01-10,2026-01-10,"한미반도체, HBM4 수주 기대감에 52주 최고가 경신 후 차익실현… 외인·기관 매도세에 5% 하락 - 톱스타뉴스",nan,https://news.google.com/rss/articles/CBMickFVX3lxTE5MelYwd2tLZFN2SUM4TDg3UjVUTVRES3phLVE5b19VN1lJU2FZb2lQeFU4OUVNdE1NcDB0ZkpOY3J4bm1sbXVvamVELVVDS1V3TzhadzZRSXZISGFPV21fWDJsMWJsNV92bC1FTy1ZYTlNQQ?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2025-08-01,2025-08-01,"한미반도체 주가, HBM 수혜 받으며 2분기 최대실적!! - Naver Blog",nan,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9xaEs1WWxnd01KT0htWlB1SFlLMHRuV0JBdG04MV9WVmlqaDJ1Q29rOXVRWkZtOHFEWW8tdWk1aG5jZUVweDhFb1FFeWItNlFFN2lVVVRqVG5Kdw?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2025-05-26,2025-05-26,SK하이닉스와 화해에도…한미반도체 공매도 타깃 - 서울경제,nan,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1KVzFmTnFVZVRWcDRMNHFYU1dFM3J0aUItY3BnYmhiMFRLODdSMTExLXZCcWtiTkJIcURpeWhLQ0FVU1hNZnFzZF9GeVpjSmZ4alHSAVNBVV95cUxPVzFiN3pMWGNrZl9UQ19sbGhZdnV5cFo1QVNNZ3h3XzVMc2dfTUtsX01SbWs4ak15SzBMNkp4Wk9LVmFEWkx1NlRQcWMzSU0wS204dw?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2025-10-15,2025-10-15,"[특징주] 한미반도체, “SK하이닉스 10조 클럽 가나” 최대 실적 전망에 핵심 장비 공급사 ’부각’ - 와이드경제",nan,https://news.google.com/rss/articles/CBMibEFVX3lxTE14QXFGZ25fTnNMUk9FMkhVY2FqUkdWRDRHY0laalg0M0xveDVNY0I0bXdOb2hLM05od3FQemp5Q3BYQlV1dGdqaXBGaHNWekxvQk1UNlVDakFreHVLWUwyU28xdXpPTzZ3NnFNOQ?oc=5,반도체,한미반도체,042700,042700,hanmi,0.5,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2024-01-05,2024-01-05,"상상인증권 ""한미반도체 4분기 실적, 시장예상치 상회 전망"" - 연합뉴스",nan,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5JaThxZ0hpYi1lbHJMaGdZN092dENQYWJzbUE0bGlEdE15WEdiS2NrV3djVTNvNkZGdmQ1Z05iV0hmUnRyOHBHYkVkQ0ZCbUFJMjRiOUVycktycUnSAWBBVV95cUxNT1ZGa1dNd3VraXhFdlVFUGV4dnE4OHZ1VlZmbEJ5VkNUd2RPa3c2WlU0SGVYUU1uemItTTJVVXdsdFBHVFdUU1JhY25PblZIeTkyY25rN3o4dk9xSmFoNGM?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2024-06-26,2024-06-26,"""올해 수익률만 174%""…한미반도체, 지금이라도 살까요?[줌인e종목] - 뉴스1",nan,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1fTElGVnZSdFI0VjFrRDJVenRQSlF6M3VMU3VpYnYxOW5ZWUEzdkw5U2I0cFdGdzRhd0I4N2NQZkN4NDFSMkRPYWozYlVidjQyTzhZYlJRcnl1VGdv?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2025-02-03,2025-02-03,"한미반도체, 2024년 영업익 2554억…창사 최대 실적 달성 - 이데일리",nan,https://news.google.com/rss/articles/CBMigAFBVV95cUxQeGI3VjlKT28wRnFfOEJpa1Rockk4Y3YybHVyU1ZUM1ZzX0FzTC1famN3dFhwTHhocFIwR3RDbU9wRjNFaTc1aElKcGtIOWFNVlQzeVdxbDBMT1B3MGJTRzczRUVBNkpkX3JqNGhPZE9QcGZIUm9kWmNFbU1XdDBZdw?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2025-01-14,2025-01-14,한미반도체 수주공시 - HBM 제조용 장비 수주 108.1억원 (매출액대비 6.80 %) - 한국경제,nan,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9fTmxGRHhqaTNETkJLeEk1QU5HLWtzTVhadzZDNi1uQUV6UzZOb0RrUkpVVXNOX2pDVVVSWXUwR1RyV3VUV25nd0VJWkRMX3ljYlpuTEZfYm1Dd9IBVEFVX3lxTFB3RGktc2laVXpBRWNIUTNvaDJQeE1MNTdoUzk4VVNzV3NMa1Vnb2hxbGdFdWRrTjlfTzlHSUxUMjNkMkx1M3RYdjhPS3U0VFdaUjlqSw?oc=5,반도체,한미반도체,042700,042700,hanmi,0.5,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2023-09-04,2023-09-04,"하나증권, 한미반도체 목표가↑…""신규 고객사 확대 기대"" - 연합뉴스",nan,https://news.google.com/rss/articles/CBMiW0FVX3lxTE8zNEZFUUxScm5kdThvZXRDd1BQNlZmYzd2OUJpbVBPS3NaVnp2ckFTVWF4MUdHMFZ4RFdEekw2UEVfTG5CV3hVZWx0a1lBeGxwNl95Nl9VajNNTEHSAWBBVV95cUxPUVFQLWpxUjZpRGV4aUxFei1zbTRvMGlrdGU4UVdIdW53NG1BV0J5dmQ4VzBCNkJybkZrdTdDSXVPMHpwRklxZ0ptYVFoT3NIRlVCMEpGT3hVM21RekVQeGI?oc=5,반도체,한미반도체,042700,042700,hanmi,1.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2023-04-24,2023-04-24,"[목표가 UP&DOWN] 한미반도체, 실적 바닥 찍고 오를 일만…목표가 26% ↑ - 서울경제",nan,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9NVDI3TE9oTEM2UHpITkoyNUVCeUFYVkdUYWlEWUVtTnF4bXhQUndCMjFRS0l0NWttRGRYOU1ybzYzaDV3dHFNX0tNTk1hTE9sVkFZ0gFTQVVfeXFMT01UMjdMT2hMQzZQekhOSjI1RUJ5QVhWR1RhaURZRW1OcXhteFBSd0IyMVFLSXQ1a21EZFg5TXJvNjNoNXd0cU1fS01OTWFMT2xWQVk?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2024-05-29,2024-05-29,[특징주]엔비디아 독주에…SK하이닉스·한미반도체 신고가 경신 - 서울경제,nan,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1Kb01vV2o0WGo3S2xQSWUzdXcwVWxNeVB2N0ZKQy1KcmNLUzZKUXVZZEdtNUZCVjA2R3dBSE9RWVpxMkxGbVJiV052YjRON1pQOEHSAVNBVV95cUxORXh1cHFqX2tjamdZd1J5OWY5N3hHZnFUdnVuZ3NuLWN5bkNGZW42WjU2RU9RZEZRN3pjM1cxR1ctQU1PVEx6NUQ3a0g4SnZPWkdabw?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2025-07-30,2025-07-30,"한미반도체, 2025년 매출 8천억~1.1조원 제시…“해외 비중 높일 것” - 이데일리",nan,https://news.google.com/rss/articles/CBMigAFBVV95cUxPRV94eExoNkRFYU9UMkFmNWtQNmY5SW9fUDZ6S3B1ZUdKRVQ5LXNHcXIyaWRMQXhZT1YzdEF4Q3JUQ0QycFRTLTRNVjJJMHRra1FrM19TdGJpVkx4dHVuMWFkV3NTanE0OEJkWW56c01uY1lSNTZuZS1SMmFJS1IzRQ?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2026-01-08,2026-01-08,"[N2 증시 풍향계] 반도체·방산·조선 테마 '불기둥'…현대위아, CES 효과에 '신고가' - 뉴스투데이",nan,https://news.google.com/rss/articles/CBMiXkFVX3lxTFB1bEtfVncxal94c3VVbzlBU1VjQzNObHVWZ0ZKTUM2Q3Y4Qk9YZGJZQ2o0OG15WFp6N0FPemVQTDJYa0dSZ1hfTE1hVm5ZZEQyN011SnhROGdXa1RocUE?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
2023-11-16,2023-11-16,"한미반도체, ""이 주식 거품"" 발언 배터리 아저씨 명예훼손 고소 - 이데일리",nan,https://news.google.com/rss/articles/CBMigAFBVV95cUxPUUc3S0tYU1hYNlAydll2em0zbWtDb3RpQVBaYmw5YWN6SlV4UldEV3dJSXRlb1RwazNObVBPSHQ5dnhjcnNMd3NReWZ3U01LRUtweXFnZ3ZubmFvbXdGSnVRcHZ0MlVMTUF1UXgtM240amNzd1NHNzgyQzg3VjIwdA?oc=5,반도체,한미반도체,042700,042700,hanmi,0.0,general,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv,local_issue_or_news,1,0.65,0.7
