universe_id,company_name,ticker,market,sector_label,peer_group,semiconductor_tag,reference_role,is_focal,include_in_chair,selected_for_30,selection_score,cluster_id,cluster_name,distance_to_centroid,umap_x,umap_y,top_terms,valuation_proxy_label,credit_proxy_label,review_flag
소재_01_014680,한솔케미칼,014680,KOSPI,소재,소재,소재,FOCAL_REPORT_TARGET,1,1,1,1100.2721,6,반도체 후공정/패키징 cluster,0.74441,18.67626953,13.19345951,상기|발명은|포함하는|주식회사|관한|이를|한솔케미칼|h01m|주식회사 한솔케미칼|있다,ATTRACTIVE,LOW_RISK,OK
소재_02_170920,엘티씨,170920,KOSDAQ,소재,소재,소재,FOCAL_REPORT_TARGET,1,1,1,1090.7717,6,반도체 후공정/패키징 cluster,0.67768,19.11967468,13.13209057,상기|발명은|주식회사|관한|것이다|있다|포함하는|위한|있는|관한 것이다,FAIR,LOW_RISK,OK
후공정_패키징_테스트_01_033640,네패스,033640,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,FOCAL_REPORT_TARGET,1,1,1,1082.296,6,반도체 후공정/패키징 cluster,0.701323,18.77897453,13.53509045,상기|반도체|h10w|제1|네패스|포함하는|패키지|주식회사 네패스|주식회사|반도체 패키지,ATTRACTIVE,MEDIUM_RISK,OK
후공정_패키징_테스트_02_042700,한미반도체,042700,KOSPI,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,FOCAL_REPORT_TARGET,1,1,1,1071.7905,6,반도체 후공정/패키징 cluster,0.70034,18.70637512,13.00663567,상기|반도체|주식회사|발명은|h10p|관한|a61k|패키지|한미반도체|한미반도체 주식회사,FAIR,LOW_RISK,AUDITOR_REVIEW;CREDIT_ANOMALY_TOP15PCT
소재_03_317330,덕산테코피아,317330,KOSDAQ,소재,소재,소재,FOCAL_REPORT_TARGET,1,1,1,1026.9482,6,반도체 후공정/패키징 cluster,0.789461,19.24361038,13.4756279,덕산테코피아|포함하는|반도체|상기|이를|방법|정량화|수지|조성물|발명은,EXPENSIVE,HIGH_RISK,AUDITOR_REVIEW;CREDIT_ANOMALY_TOP15PCT
소재_04_101160,월덱스,101160,KOSDAQ,소재,소재,소재,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,105.8433,2,반도체 소재/전자재료 cluster,0.080752,1.1013391,7.77782488,소재|소재 소재|attractive|low_risk|ok|attractive low_risk|reference|high|credit_risk_score_0.0|false attractive,ATTRACTIVE,LOW_RISK,OK
idm_제조_메모리_01_241770,메카로,241770,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,IDM/제조/메모리,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,104.6945,3,기술 포트폴리오 혼합 cluster,0.021379,-13.90107059,8.56554508,idm/제조/메모리|idm/제조/메모리 idm/제조/메모리|attractive|low_risk|ok|attractive low_risk|high|reference|credit_risk_score_0.0|low_risk attractive,ATTRACTIVE,LOW_RISK,OK
팹리스_설계_01_108320,LX세미콘,108320,KOSPI,팹리스/설계,팹리스/설계,팹리스/설계,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,104.1154,4,기술 포트폴리오 혼합 cluster,0.0,13.17272949,15.89093018,팹리스/설계|팹리스/설계 팹리스/설계|attractive|low_risk|ok|attractive low_risk|high|reference|credit_risk_score_0.0|low_risk attractive,ATTRACTIVE,LOW_RISK,OK
장비_01_141000,비아트론,141000,KOSDAQ,장비,장비,장비,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,104.0061,0,반도체 장비/본딩·검사 cluster,0.0,12.27219391,14.80172348,장비 장비|장비|attractive|low_risk|ok|attractive low_risk|reference|high|credit_risk_score_0.0|attractive credit,ATTRACTIVE,LOW_RISK,OK
팹리스_설계_02_052860,아이앤씨,052860,KOSDAQ,팹리스/설계,팹리스/설계,팹리스/설계,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,103.9195,4,기술 포트폴리오 혼합 cluster,0.0,13.12983894,15.40935993,팹리스/설계|팹리스/설계 팹리스/설계|attractive|low_risk|ok|attractive low_risk|high|reference|credit_risk_score_0.0|low_risk attractive,ATTRACTIVE,LOW_RISK,OK
후공정_패키징_테스트_03_045300,성우테크론,045300,KOSDAQ,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,103.7292,1,반도체 후공정/패키징 cluster,0.078854,18.26845741,2.19415307,후공정/패키징/테스트|후공정/패키징/테스트 후공정/패키징/테스트|attractive|low_risk|ok|attractive low_risk|reference|high|low_risk attractive|false attractive,ATTRACTIVE,LOW_RISK,OK
