"index","mode","field","company_dir","company_name","components","max_patents","status","message","finished_at"
"1","All30","반도체","nepes","네패스","claims,citation,family","0","OK","","2026-05-20 19:17:14"
"2","All30","반도체","hanmi","한미반도체","claims,citation,family","0","OK","","2026-05-20 19:58:29"
"3","All30","반도체","hansol","한솔케미칼","claims,citation,family","0","OK","","2026-05-20 20:32:22"
"4","All30","반도체","duksan","덕산테코피아","claims,citation,family","0","OK","","2026-05-20 20:35:44"
"5","All30","반도체","ltc","엘티씨","claims,citation,family","0","OK","","2026-05-20 21:04:04"
"6","All30","반도체","dbhitek","DB하이텍","claims,citation,family","0","OK","","2026-05-20 21:16:41"
"7","All30","반도체","mico","미코","claims,citation,family","0","OK","","2026-05-20 21:22:34"
"8","All30","반도체","lxsemicon","LX세미콘","claims,citation,family","0","OK","","2026-05-20 21:27:21"
"9","All30","반도체","jeju_semicon","제주반도체","claims,citation,family","0","OK","","2026-05-20 21:29:18"
"10","All30","반도체","abov","어보브반도체","claims,citation,family","0","OK","","2026-05-20 21:31:26"
"11","All30","반도체","telechips","텔레칩스","claims,citation,family","0","OK","","2026-05-20 21:33:38"
"12","All30","반도체","coasia","코아시아","claims,citation,family","0","OK","","2026-05-20 21:35:44"
"13","All30","반도체","gaochips","가온칩스","claims,citation,family","0","OK","","2026-05-20 21:36:30"
"14","All30","반도체","wonik_ips","원익IPS","claims,citation,family","0","OK","","2026-05-20 21:42:22"
"15","All30","반도체","eugene_tech","유진테크","claims,citation,family","0","OK","","2026-05-20 21:44:11"
"16","All30","반도체","psk","피에스케이","claims,citation,family","0","OK","","2026-05-20 21:46:03"
"17","All30","반도체","tes","테스","claims,citation,family","0","OK","","2026-05-20 22:03:32"
"18","All30","반도체","gst","GST","claims,citation,family","0","OK","","2026-05-20 22:05:34"
"19","All30","반도체","sti","에스티아이","claims,citation,family","0","OK","","2026-05-20 22:08:54"
"20","All30","반도체","nextin","넥스틴","claims,citation,family","0","OK","","2026-05-20 22:10:57"
"21","All30","반도체","soulbrain","솔브레인","claims,citation,family","0","OK","","2026-05-20 22:15:46"
"22","All30","반도체","dongjin_semichem","동진쎄미켐","claims,citation,family","0","OK","","2026-05-20 22:20:56"
"23","All30","반도체","wonik_materials","원익머트리얼즈","claims,citation,family","0","OK","","2026-05-20 22:23:02"
"24","All30","반도체","enf_tech","이엔에프테크놀로지","claims,citation,family","0","OK","","2026-05-20 22:25:07"
"25","All30","반도체","tck","티씨케이","claims,citation,family","0","OK","","2026-05-20 22:27:15"
"26","All30","반도체","woldex","월덱스","claims,citation,family","0","OK","","2026-05-20 22:29:16"
"27","All30","반도체","isc","ISC","claims,citation,family","0","OK","","2026-05-20 22:31:15"
"28","All30","반도체","sfa_semicon","SFA반도체","claims,citation,family","0","OK","","2026-05-20 22:33:17"
"29","All30","반도체","doosan_tesna","두산테스나","claims,citation,family","0","OK","","2026-05-20 22:34:14"
"30","All30","반도체","leeno","리노공업","claims,citation,family","0","OK","","2026-05-20 22:36:14"
