company_name,stock_code,market,company_dir,field,sector,peer_group,include_in_evaluation
네패스,033640,KOSDAQ,nepes,반도체,반도체,후공정/패키징/테스트,1
한미반도체,042700,KOSPI,hanmi,반도체,반도체,후공정/패키징/테스트,1
한솔케미칼,014680,KOSPI,hansol,반도체,반도체,소재,1
덕산테코피아,317330,KOSDAQ,duksan,반도체,반도체,소재,1
엘티씨,170920,KOSDAQ,ltc,반도체,반도체,소재/장비,1
DB하이텍,000990,KOSPI,dbhitek,반도체,반도체,파운드리/제조,1
미코,059090,KOSDAQ,mico,반도체,반도체,소재/부품,1
LX세미콘,108320,KOSPI,lxsemicon,반도체,반도체,팹리스/설계,1
제주반도체,080220,KOSDAQ,jeju_semicon,반도체,반도체,팹리스/메모리,1
어보브반도체,102120,KOSDAQ,abov,반도체,반도체,팹리스/MCU,1
텔레칩스,054450,KOSDAQ,telechips,반도체,반도체,차량용 반도체,1
코아시아,045970,KOSDAQ,coasia,반도체,반도체,디자인솔루션,1
가온칩스,399720,KOSDAQ,gaochips,반도체,반도체,디자인하우스,1
원익IPS,240810,KOSDAQ,wonik_ips,반도체,반도체,장비,1
유진테크,084370,KOSDAQ,eugene_tech,반도체,반도체,장비,1
피에스케이,319660,KOSDAQ,psk,반도체,반도체,장비,1
테스,095610,KOSDAQ,tes,반도체,반도체,장비,1
GST,083450,KOSDAQ,gst,반도체,반도체,장비,1
에스티아이,039440,KOSDAQ,sti,반도체,반도체,장비,1
넥스틴,348210,KOSDAQ,nextin,반도체,반도체,검사장비,1
솔브레인,357780,KOSDAQ,soulbrain,반도체,반도체,소재,1
동진쎄미켐,005290,KOSDAQ,dongjin_semichem,반도체,반도체,소재,1
원익머트리얼즈,104830,KOSDAQ,wonik_materials,반도체,반도체,소재,1
이엔에프테크놀로지,102710,KOSDAQ,enf_tech,반도체,반도체,소재,1
티씨케이,064760,KOSDAQ,tck,반도체,반도체,소재/부품,1
월덱스,101160,KOSDAQ,woldex,반도체,반도체,소재/부품,1
ISC,095340,KOSDAQ,isc,반도체,반도체,테스트/소켓,1
SFA반도체,036540,KOSDAQ,sfa_semicon,반도체,반도체,후공정/패키징/테스트,1
두산테스나,131970,KOSDAQ,doosan_tesna,반도체,반도체,테스트,1
리노공업,058470,KOSDAQ,leeno,반도체,반도체,테스트/소켓,1
