date,open,high,low,close,adj_close,volume,daily_return,drawdown,ma20,ma60,ma120,rolling_vol_20,rolling_vol_60,return_20d,return_60d,return_120d,distance_to_ma20,distance_to_ma60,distance_to_ma120,rolling_high_52w,rolling_low_52w,price_to_52w_high,price_to_52w_low,shares_outstanding,market_cap,trading_value,trading_value_ma20,turnover_ratio,source,ticker
2021-01-04,42750.0,43950.0,42200.0,43250.0,43250.0,2869244.0,,,,,,,,,,,,,,,,,,,,124094803000.0,,,local_price_csv_fallback,033640.KQ
2021-01-05,42550.0,44500.0,41600.0,42200.0,42200.0,1926765.0,,,,,,,,,,,,,,,,,,,,81309483000.0,,,local_price_csv_fallback,033640.KQ
2021-01-06,42450.0,46100.0,42400.0,43450.0,43450.0,3600815.0,,,,,,,,,,,,,,,,,,,,156455411750.0,,,local_price_csv_fallback,033640.KQ
2021-01-07,43850.0,44100.0,42500.0,43200.0,43200.0,1033355.0,,,,,,,,,,,,,,,,,,,,44640936000.0,,,local_price_csv_fallback,033640.KQ
2021-01-08,44000.0,44000.0,41900.0,43700.0,43700.0,1719919.0,,,,,,,,,,,,,,,,,,,,75160460300.0,,,local_price_csv_fallback,033640.KQ
2021-01-11,44400.0,47750.0,42500.0,43750.0,43750.0,3014504.0,,,,,,,,,,,,,,,,,,,,131884550000.0,,,local_price_csv_fallback,033640.KQ
2021-01-12,43450.0,46400.0,42900.0,45100.0,45100.0,2213494.0,,,,,,,,,,,,,,,,,,,,99828579400.0,,,local_price_csv_fallback,033640.KQ
2021-01-13,45800.0,46100.0,44000.0,44600.0,44600.0,762545.0,,,,,,,,,,,,,,,,,,,,34009507000.0,,,local_price_csv_fallback,033640.KQ
2021-01-14,44850.0,45150.0,43900.0,43900.0,43900.0,502441.0,,,,,,,,,,,,,,,,,,,,22057159900.0,,,local_price_csv_fallback,033640.KQ
2021-01-15,44050.0,46400.0,43350.0,43350.0,43350.0,1457881.0,,,,,,,,,,,,,,,,,,,,63199141350.0,,,local_price_csv_fallback,033640.KQ
2021-01-18,42600.0,44500.0,42100.0,43700.0,43700.0,932755.0,,,,,,,,,,,,,,,,,,,,40761393500.0,,,local_price_csv_fallback,033640.KQ
2021-01-19,44250.0,44450.0,43250.0,43800.0,43800.0,582807.0,,,,,,,,,,,,,,,,,,,,25526946600.0,,,local_price_csv_fallback,033640.KQ
2021-01-20,44200.0,46450.0,43750.0,46400.0,46400.0,1619858.0,,,,,,,,,,,,,,,,,,,,75161411200.0,,,local_price_csv_fallback,033640.KQ
2021-01-21,46700.0,46750.0,45050.0,46600.0,46600.0,993368.0,,,,,,,,,,,,,,,,,,,,46290948800.0,,,local_price_csv_fallback,033640.KQ
2021-01-22,48000.0,48850.0,45300.0,45300.0,45300.0,1494158.0,,,,,,,,,,,,,,,,,,,,67685357400.0,,,local_price_csv_fallback,033640.KQ
2021-01-25,45300.0,46200.0,44400.0,45500.0,45500.0,643092.0,,,,,,,,,,,,,,,,,,,,29260686000.0,,,local_price_csv_fallback,033640.KQ
2021-01-26,46050.0,48200.0,45200.0,45500.0,45500.0,1255040.0,,,,,,,,,,,,,,,,,,,,57104320000.0,,,local_price_csv_fallback,033640.KQ
2021-01-27,45950.0,46600.0,44600.0,45500.0,45500.0,527075.0,,,,,,,,,,,,,,,,,,,,23981912500.0,,,local_price_csv_fallback,033640.KQ
2021-01-28,43950.0,46850.0,43900.0,46450.0,46450.0,1210699.0,,,,,,,,,,,,,,,,,,,,56236968550.0,,,local_price_csv_fallback,033640.KQ
2021-01-29,47500.0,48250.0,43300.0,43700.0,43700.0,1414555.0,,,,,,,,,,,,,,,,,,,,61816053500.0,,,local_price_csv_fallback,033640.KQ
2021-02-01,43400.0,44650.0,41650.0,44300.0,44300.0,658824.0,,,,,,,,,,,,,,,,,,,,29185903200.0,,,local_price_csv_fallback,033640.KQ
2021-02-02,44800.0,47400.0,44150.0,46750.0,46750.0,1334421.0,,,,,,,,,,,,,,,,,,,,62384181750.0,,,local_price_csv_fallback,033640.KQ
2021-02-03,46500.0,47200.0,45700.0,47150.0,47150.0,692136.0,,,,,,,,,,,,,,,,,,,,32634212400.0,,,local_price_csv_fallback,033640.KQ
2021-02-04,47250.0,47350.0,45000.0,45650.0,45650.0,606204.0,,,,,,,,,,,,,,,,,,,,27673212600.0,,,local_price_csv_fallback,033640.KQ
2021-02-05,46150.0,46800.0,45100.0,45600.0,45600.0,441705.0,,,,,,,,,,,,,,,,,,,,20141748000.0,,,local_price_csv_fallback,033640.KQ
2021-02-08,45300.0,45400.0,43800.0,43850.0,43850.0,538190.0,,,,,,,,,,,,,,,,,,,,23599631500.0,,,local_price_csv_fallback,033640.KQ
2021-02-09,44300.0,45300.0,43600.0,43750.0,43750.0,410883.0,,,,,,,,,,,,,,,,,,,,17976131250.0,,,local_price_csv_fallback,033640.KQ
2021-02-10,43550.0,43850.0,42800.0,43350.0,43350.0,405839.0,,,,,,,,,,,,,,,,,,,,17593120650.0,,,local_price_csv_fallback,033640.KQ
2021-02-15,44200.0,46750.0,43900.0,46300.0,46300.0,808442.0,,,,,,,,,,,,,,,,,,,,37430864600.0,,,local_price_csv_fallback,033640.KQ
2021-02-16,46500.0,47200.0,45400.0,45600.0,45600.0,664147.0,,,,,,,,,,,,,,,,,,,,30285103200.0,,,local_price_csv_fallback,033640.KQ
2021-02-17,45500.0,45500.0,43850.0,44150.0,44150.0,564670.0,,,,,,,,,,,,,,,,,,,,24930180500.0,,,local_price_csv_fallback,033640.KQ
2021-02-18,43950.0,44450.0,43250.0,43450.0,43450.0,322520.0,,,,,,,,,,,,,,,,,,,,14013494000.0,,,local_price_csv_fallback,033640.KQ
2021-02-19,43600.0,44150.0,42600.0,44150.0,44150.0,410868.0,,,,,,,,,,,,,,,,,,,,18139822200.0,,,local_price_csv_fallback,033640.KQ
