source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210048890,셀-대-셀 비교 방법,H10P 74/00|G06V 10/75,2021-04-15,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020210048890,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210048890&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210127024,웨이퍼 검사 광학계,G01N 21/95|G01N 21/956|G01N 21/88|G02B 5/10|G02B 7/182|G02B 7/04|H10P 74/00,2021-09-27,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020210127024,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210127024&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230130942,셀-대-셀 비교 방법,H10P 74/00|G06V 10/75|G06T 7/00,2023-09-27,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020230130942,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230130942&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150044514,광학적 웨이퍼 검사 장치,H10P 74/00,2015-03-30,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020150044514,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150044514&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150044515,광학적 웨이퍼 검사 장치,H10P 74/00,2015-03-30,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020150044515,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150044515&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150094055,유기발광다이오드 표시장치의 기판 검사 및 리페어 시스템,G01R 31/28|H01L 51/56|G01R 31/26|G01R 1/073|G01R 31/08,2015-07-01,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020150094055,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150094055&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150102875,마스크 내 다이 크기 및 개수 자동 획득 방법,H10P 76/40|H10P 74/00,2015-07-21,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020150102875,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150102875&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170171206,반도체 웨이퍼 주변부 파티클 검사방법,H10P 74/00,2017-12-13,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020170171206,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170171206&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180000188,3차원 적층형 반도체장치의 칩 적층 공정을 위한 중간단계 검사 방법,H10P 74/00,2018-01-02,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020180000188,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180000188&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020130025286,이중 거울 방식을 이용한 웨이퍼 영상 검사 장치,G01N 21/95|H10P 74/00|G01N 21/21,2013-03-08,등록,등록,(주)넥스틴,1,BACKWARD_CITATION_ESTIMATED,1020130025286,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020130025286&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
