record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020210106506|1024977550000|반도체 기판의 정전기 제거 장치|(주)넥스틴,반도체 기판의 정전기 제거 장치,(주)넥스틴,1020210106506,,1024977550000,등록,2021,2023,2023,H01J; H05F; G02B,,기판; 반도체,True,True,False,56.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,14
1020210048893|1026373350000|반도체 소자의 결함 검사를 위한 미세 케어 영역의 분할 방법|(주)넥스틴,반도체 소자의 결함 검사를 위한 미세 케어 영역의 분할 방법,(주)넥스틴,1020210048893,1020220142625,1026373350000,등록,2021,2022,2024,G06T,,반도체; 소자,True,True,False,53.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,16
1020210127024|1026373330000|웨이퍼 검사 광학계|(주)넥스틴,웨이퍼 검사 광학계,(주)넥스틴,1020210127024,1020230044651,1026373330000,등록,2021,2023,2024,G01N; G02B; H10P,,웨이퍼,True,True,False,53.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,17
1020170171206|1020509600000|반도체 웨이퍼 주변부 파티클 검사방법|(주)넥스틴,반도체 웨이퍼 주변부 파티클 검사방법,(주)넥스틴,1020170171206,1020190070566,1020509600000,등록,2017,2019,2019,H10P,,공정; 반도체; 웨이퍼,True,True,False,52.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,23
1020140021568|1015233360000|웨이퍼 영상 검사 장치|(주)넥스틴|삼성전자주식회사,웨이퍼 영상 검사 장치,(주)넥스틴|삼성전자주식회사,1020140021568,,1015233360000,등록,2014,2015,2015,H10P; G01N; G02B,,반도체; 소자; 웨이퍼,True,True,False,51.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,8
1020230130942|1027058090000|셀-대-셀 비교 방법|(주)넥스틴,셀-대-셀 비교 방법,(주)넥스틴,1020230130942,1020230142686,1027058090000,등록,2023,2023,2024,H10P; G06V; G06T,,,True,True,False,50.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,19
1020230149059|1028487470000|조명 장치 및 이를 포함하는 반도체 검사 장치|(주)넥스틴,조명 장치 및 이를 포함하는 반도체 검사 장치,(주)넥스틴,1020230149059,1020250063487,1028487470000,등록,2023,2025,2025,G01N,,반도체,True,True,False,50.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,29
1020130146941|1015079500000|웨이퍼 영상 검사 장치|(주)넥스틴,웨이퍼 영상 검사 장치,(주)넥스틴,1020130146941,,1015079500000,등록,2013,2015,2015,H10P; G01N,,반도체; 소자; 웨이퍼,True,True,False,50.0,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,13
1020180000188|1019992100000|3차원 적층형 반도체장치의 칩 적층 공정을 위한 중간단계 검사 방법|(주)넥스틴,3차원 적층형 반도체장치의 칩 적층 공정을 위한 중간단계 검사 방법,(주)넥스틴,1020180000188,1020190082508,1019992100000,등록,2018,2019,2019,H10P,,공정; 반도체,True,True,False,49.5,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,25
1020210048890|1025863940000|셀-대-셀 비교 방법|(주)넥스틴,셀-대-셀 비교 방법,(주)넥스틴,1020210048890,1020220142623,1025863940000,등록,2021,2022,2023,H10P; G06V,,,True,True,False,49.0,data\반도체\넥스틴\tech\source\nextin_kipris_plus_bibliographic_raw.csv,24
