keyword,year,patent_application_count
advanced_packaging,2008,1
advanced_packaging,2010,1
bump_rdl_interposer,2007,1
bump_rdl_interposer,2008,2
bump_rdl_interposer,2011,1
bump_rdl_interposer,2020,1
semiconductor_materials,2007,1
semiconductor_materials,2016,1
semiconductor_materials,2017,2
semiconductor_materials,2018,2
semiconductor_materials,2019,1
process_yield_quality,2005,1
process_yield_quality,2008,1
process_yield_quality,2013,2
process_yield_quality,2016,1
process_yield_quality,2017,3
process_yield_quality,2018,1
process_yield_quality,2019,1
power_thermal_efficiency,2008,2
power_thermal_efficiency,2009,3
power_thermal_efficiency,2010,2
power_thermal_efficiency,2011,1
power_thermal_efficiency,2012,2
power_thermal_efficiency,2017,2
power_thermal_efficiency,2018,1
power_thermal_efficiency,2021,1
