source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210049983,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,C07D 307/77|C07D 407/14|C07D 409/14|C07D 405/14|C07D 413/14|C07D 417/14|C07D 333/50|H10K 85/60|H10K 50/844|H10K 50/858,2021-04-16,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020210049983,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210049983&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210102720,감광성 수지 조성물 및 이를 포함하는 표시 장치,G03F 7/039|G03F 7/022|G03F 7/023|H10K 50/00,2021-08-04,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020210102720,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210102720&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210111834,신규한 캡핑층용 유기화합물 및 이를 포함하는 유기 발광 소자,H10K 85/60|H10K 50/805|H10K 50/844,2021-08-24,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020210111834,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210111834&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210193377,태양 전지 및 이를 형성하는 방법,H10K 30/50|H10K 30/15|H10K 30/82,2021-12-30,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020210193377,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210193377&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150062006,표시 장치용 포지티브형 감광성 수지 조성물 및 이를 포함하는 표시 장치,G03F 7/039|G03F 7/004|G03F 7/085|H10K 50/00,2015-04-30,등록,등록,삼성디스플레이 주식회사|주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020150062006,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150062006&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150177871,포토 레지스트 박리제 조성물 및 이를 이용한 박막 트랜지스터 어레이의 제조 방법,G03F 7/42|H10D 86/00,2015-12-14,등록,등록,삼성디스플레이 주식회사|주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020150177871,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150177871&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170119292,신규 화합물 및 이를 포함하는 유기 발광 소자,C07C 211/61|C07C 211/58|C07C 211/54|H10K 85/60|H10K 50/17|H10K 50/15,2017-09-18,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020170119292,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170119292&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170125278,신규 화합물 및 이를 포함하는 유기 발광 소자,C07D 307/91|C07D 333/76|H10K 99/00|H10K 50/00,2017-09-27,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020170125278,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170125278&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180037636,신규 화합물 및 이를 포함하는 유기 발광 소자,C07D 307/91|C07D 409/14|C07D 333/76|H10K 99/00|C09K 11/06|H10K 50/00,2018-03-30,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020180037636,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180037636&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180091543,신규 화합물 및 이를 포함하는 유기발광 소자,C07D 409/10|C07D 409/14|C07D 407/10|C07D 407/14|H10K 99/00|H10K 50/00,2018-08-07,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020180091543,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180091543&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180136723,신규 화합물 및 이를 포함하는 유기발광 소자,C07D 307/91|C07D 407/12|H10K 99/00|H10K 50/00,2018-11-08,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020180136723,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180136723&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020180138164,"은 함유 박막의 식각 조성물, 이를 이용한 패턴 형성 방법 및 표시장치의 제조 방법",C23F 1/30|C23F 1/44|C09K 13/06|H10K 50/00,2018-11-12,등록,등록,삼성디스플레이 주식회사|주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020180138164,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020180138164&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190103137,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,C07C 211/57|H10K 99/00|H10K 50/00,2019-08-22,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020190103137,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190103137&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190119083,신규 화합물 및 이를 포함하는 유기 발광 소자,C07D 307/91|C07D 333/76|C09K 11/06|H10K 99/00|H10K 50/00,2019-09-26,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020190119083,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190119083&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020130087572,아크리딘 유도체를 포함하는 유기발광 화합물 및 이를 포함하는 유기발광소자,C09K 11/06|H10K 85/60|H10K 85/40|H10K 50/11|H10K 50/81|H10K 50/82|H10K 50/17|H10K 50/15,2013-07-24,등록,등록,주식회사 동진쎄미켐,1,BACKWARD_CITATION_ESTIMATED,1020130087572,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020130087572&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
