application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020210102720,1020210102720,1020230020836,1020230020836,1029670700000,1029670700000,등록,등록,등록 등록,감광성 수지 조성물 및 이를 포함하는 표시 장치,감광성 수지 조성물 및 이를 포함하는 표시 장치,주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20210804,2021,20230213,20230213,20260515,20260515,G03F 7/039|G03F 7/022|G03F 7/023|H10K 50/00,G03F 7/039|G03F 7/022|G03F 7/023|H10K 50/00,,,"본 발명은 감광성 수지 조성물 및 이를 포함하는 표시 장치에 관한 것으로서, 보다 상세하게는 폴리아믹산, 폴리아믹에스터 및 폴리이미드를 포함하는 군으로부터 선택되는 1종 이상의 구조를 포함하는 알칼리 가용성 수지, 2종 이상의 열가교성 화합물, 감광제 및 용매를 포함하여, 감도, 잔막율, 접착성, 내화학성, 및 내열성이 우수한 감광성 수지 조성물 및 이를 포함하는 표시 장치에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939ef37838d7979f243d6aab986516bf23773eaf573a4397876d20882bbb9ce0a14f6b102e49f90b0b9318f4322e7eaecdf9adc8dc82b8f1e3,True,True,False,0,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,2
1020210111834,1020210111834,1020230029396,1020230029396,1029662590000,1029662590000,등록,등록,등록 등록,신규한 캡핑층용 유기화합물 및 이를 포함하는 유기 발광 소자,신규한 캡핑층용 유기화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20210824,2021,20230303,20230303,20260513,20260513,H10K 85/60|H10K 50/805|H10K 50/844,H10K 85/60|H10K 50/805|H10K 50/844,,,"본 발명은 제1 전극 및 제2 전극; 상기 제1 전극 및 상기 제2 전극의 내측에 개재되는 유기물층; 및 상기 제1 전극 또는 상기 제2 전극 중 어느 하나 이상의 전극 외측에 배치되는 캡핑층을 구비하며,상기 캡핑층은 하기 조건(1) 내지 조건(3)을 만족하고 하기 화학식1로 표시되는 화합물을 포함하는, 유기 발광 소자를 제공한다. 조건(1) n(@450nm) ≥ 2.50 조건(2) k(@450nm) ≤ 0.30 조건(3) k(@380nm) ≥ 0.90 (이때, 상기 n은 각 파장에서의 굴절률을 나타내며, k는 각 파장에서의 소광계수를 나타낸다) 003c#화학식 1003e#",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a25175827ef58f8c2404729a91b4a83335152d951de1ca198e78345908018622900bbfe1c460bc574edee93189f6344da875ebf917b5ddf1,True,True,False,1,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,3
1020230093118,1020230093118,1020230115273,1020230115273,,,공개,공개,공개 공개,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,신규한 캡핑층용 화합물 및 이를 포함하는 유기 발광 소자,주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20230718,2023,20230802,20230802,,,C07D 307/77|C07D 407/14|C07D 409/14|C07D 405/14|C07D 413/14|C07D 417/14|C07D 333/50|C07D 345/00|H10K 85/60|H10K 50/844|H10K 50/858,C07D 307/77|C07D 407/14|C07D 409/14|C07D 405/14|C07D 413/14|C07D 417/14|C07D 333/50|C07D 345/00|H10K 85/60|H10K 50/844|H10K 50/858,,,본 발명은 하기 화학식 1로 표시되는 캡핑층용 화합물 및 이를 함유하는 유기 발광 소자를 제공한다. 003c#화학식1003e#,,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93835ea04139438bef7cd435b3cb40055d182444704b677c6d7fac086c945c3b1eb5d3d77482ede64287c4ec8a36e263f360b320c83d7a8943,False,False,False,1,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,4
1020210181042,1020210181042,1020230092100,1020230092100,,,공개,공개,공개 공개,"염 화합물 및 이를 포함하는 산확산 억제제, 포토레지스트 조성물","염 화합물 및 이를 포함하는 산확산 억제제, 포토레지스트 조성물",주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20211216,2021,20230626,20230626,,,C07C 311/06|C07C 311/14|C07C 311/17|C07C 321/28|C07C 323/22|C07C 323/66|C07C 25/18|C07D 319/20|G03F 7/004,C07C 311/06|C07C 311/14|C07C 311/17|C07C 321/28|C07C 323/22|C07C 323/66|C07C 25/18|C07D 319/20|G03F 7/004,,,"본 발명은 화학식 1로 표시되는 특정 구조를 갖는 음이온, 및 화학식 2로 표시되는 양이온을 포함하는 염 화합물, 및 이를 포함하는 산확산 억제제, 및 포토레지스트 조성물에 관한 것이다.",,,,,False,False,False,0,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,5
1020210084673,1020210084673,1020220004560,1020220004560,,,공개,공개,공개 공개,휘발산을 포함하지 않는 식각액 조성물,휘발산을 포함하지 않는 식각액 조성물,주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20210629,2021,20220111,20220111,,,C23F 1/30|C09K 13/06,C23F 1/30|C09K 13/06,,,"본 발명은 어레이 기판의 금속 배선 형성 시, 사용할 수 있는 초산을 포함하지 않는 식각액 조성물에 관한 것이다. 본 발명은 인산 40 내지 65 중량%, 질산 2 내지 10 중량% 및 1 내지 10 중량%의 비휘발성 유기산, 암모늄염 화합물 및 아미노산을 포함하고, 상기 암모늄염 화합물의 함량 및 상기 아미노산의 함량의 합이 2 내지 10 중량%인 식각액 조성물을 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939f0fed7b14e7e104f547896188e47b6b2f2062acb819e7d59f12397be324fe8cb9d52c34c1ea02ed9805c625422dd366eeef896d0dca32b0,False,False,False,1,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,6
1020210030932,1020210030932,1020210114353,1020210114353,,,공개,공개,공개 공개,"광경화 접착성 조성물, 적층체 및 기재 제조 방법","광경화 접착성 조성물, 적층체 및 기재 제조 방법",주식회사 동진쎄미켐|삼성디스플레이 주식회사,주식회사 동진쎄미켐|삼성디스플레이 주식회사,,20210309,2021,20210923,20210923,,,C09J 4/06|C09J 133/04|C08F 220/14|C08F 2/50|C08F 2/44|B32B 7/12|B32B 37/12,C09J 4/06|C09J 133/04|C08F 220/14|C08F 2/50|C08F 2/44|B32B 7/12|B32B 37/12,,,"본 발명은 단관능 모노머 또는 올리고머를 포함하는 단관능 성분; 다관능 모노머 또는 올리고머를 포함하는 다관능 성분; 광중합 개시제; 및 열분해성 화합물을 포함하는 광경화 접착성 조성물, 그 경화층이 포함된 적층체 및 기재 가공 방법을 제공한다.",,,,,False,False,False,0,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,7
1020210193377,1020210193377,1020230102906,1020230102906,1029641180000,1029641180000,등록,등록,등록 등록,태양 전지 및 이를 형성하는 방법,태양 전지 및 이를 형성하는 방법,주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20211230,2021,20230707,20230707,20260508,20260508,H10K 30/50|H10K 30/15|H10K 30/82,H10K 30/50|H10K 30/15|H10K 30/82,,,"태양 전지 및 이를 형성하는 방법이 제공된다. 태양 전지는 기판; 제1 전극, 액티브층 및 제2 전극을 포함하는 복수개의 단위셀;을 포함하고, 단위셀은 서로 이격되어 기판이 노출된다. 본 발명에 따른 태양 전지 및 이를 형성하는 방법은 단위셀이 서로 이격되어 기판이 노출되는 절연 구조 또는 비발전 영역을 가짐으로써 누설 전류를 최소화하고, 태양광 소자의 발전 효율을 높이는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93983a0f4c690714d80b95565b2964ffbb9b6f2eec81b53f943768ebad1aa626741d316ae10d2d0afc4d97c8de20184d6c824a56925f3353b1,True,True,False,2,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,8
1020220093907,1020220093907,1020240015965,1020240015965,,,공개,공개,공개 공개,"경화막, 이를 형성하는 감광성 수지 조성물 및 표시장치","경화막, 이를 형성하는 감광성 수지 조성물 및 표시장치",주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20220728,2022,20240206,20240206,,,G03F 7/004|G03F 7/023|G03F 7/039|C08L 75/04|H10K 50/00,G03F 7/004|G03F 7/023|G03F 7/039|C08L 75/04|H10K 50/00,,,"신규한 파라미터를 도출하여 소자의 신뢰성을 개선하는 경화막이 제공된다. 본 발명의 일 실시예는 감광성 수지 조성물로 제조된 경화막으로, 상기 감광성 수지 조성물은, 알칼리 가용성 수지 및 광활성 화합물(photoactive compound; PAC)을 포함하고, 퍼지앤트랩(Purge 0026# Trap) 분석법으로 측정된 상기 경화막에서, 전체 아웃가스(outgas) 중 페놀계 가스의 함량이 30%(v/v) 이하인, 경화막을 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93620fc635aa7be36b52daec3fb6cda990b8101e5960698d3e1537173743f7661e9fd95b15a11604c30c8b7bd94004b8d59fe9dcebb246b931,False,False,False,1,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,9
1020210188962,1020210188962,1020230099525,1020230099525,,,공개,공개,공개 공개,"산화 흑연, 산화 그래핀 및 환원된 산화 그래핀","산화 흑연, 산화 그래핀 및 환원된 산화 그래핀",주식회사 동진쎄미켐,주식회사 동진쎄미켐,,20211227,2021,20230704,20230704,,,C01B 32/182|C01B 32/198|C01B 32/23,C01B 32/182|C01B 32/198|C01B 32/23,,,"본 발명은 산화 흑연, 산화 그래핀 및 환원된 산화 그래핀에 관한 것으로서, 보다 상세하게는 산화 그래핀이 산소(O)를 25 내지 45 at%로 포함하면서도 효과적으로 산화 흑연으로부터 박리되며, 환원 후 우수한 분체전도도 구현이 가능한 산화 흑연, 산화 그래핀 및 환원된 산화 그래핀에 관한 것이다.",,,,,False,False,False,0,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,10
1020210194071,1020210194071,1020230103290,1020230103290,,,공개,공개,공개 공개,입체 영상 가변 장치 및 이를 포함하는 디스플레이 장치,입체 영상 가변 장치 및 이를 포함하는 디스플레이 장치,주식회사 동진쎄미켐|가천대학교 산학협력단,주식회사 동진쎄미켐|가천대학교 산학협력단,,20211231,2021,20230707,20230707,,,G02B 30/27|G02F 1/1335|G06F 3/041|H04N 13/305,G02B 30/27|G02F 1/1335|G06F 3/041|H04N 13/305,,,"본 발명은 베이스 기재; 상기 베이스 기재 상의 제1액정전극, 2D 편광과 3D편광을 선택적으로 차단하는 상기 제1액정전극 상의 액정층을 포함하는 액정부; 상기 액정부의 상의 렌티큘러렌즈부; 및 상기 렌티큘러렌즈부 상의 커버 기재;를 포함하는 입체 영상 가변 장치 및 이를 포함하는 디스플레이 장치를 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a2debee5e8f2b965d040e5e2ff9daa8aa1832e517dc34205eec0752c4bd1235390c65ea768cd12ef03b3542dd3c51c317286409350997b5d,False,False,False,0,data\반도체\동진쎄미켐\tech\source\dongjin_semichem_kipris_plus_bibliographic_raw.csv,,11
