application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020110091552,1020110091552,,,1011497590000.0,1011497590000.0,등록,등록,등록 등록,반도체 디바이스의 검사장치,반도체 디바이스의 검사장치,리노공업주식회사,리노공업주식회사,,20110909,2011,20120601,20120601,20120518.0,20120518.0,G01R 1/067|H01R 33/76|H10P 74/00,G01R 1/067|H01R 33/76|H10P 74/00,,,"본 발명은 복수의 전기적 피검사 접점을 가진 피검사체의 전기적 특성을 검사하기 위한 반도체 디바이스 검사장치에 있어서, 길이방향으로 신축가능한 복수의 프루브핀과, 상기 프루브핀들을 상호 평행하게 지지하는 프루브핀 지지부와, 상기 프루브핀들의 일단부가 접촉하는 복수의 고정접점을 갖는 소켓보드를 포함하는 소켓 어셈블리와; 상기 피검사 접점들이 상기 프루브핀들의 타단부를 향하도록 상기 피검사체를 수용하는 피검사체 수용부와, 상기 피검사체와 상기 프루브핀 지지부 사이에 개재되며 상기 피검사 접점들에 대응하여 관통형성되어 상기 프루브핀의 상기 타단부가 통과하는 프루브공들을 갖는 바닥부재를 포함하는 피검사체 캐리어를 포함하는 것을 특징으로 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf72613372e3f89580c5d24477e61b45a974d52985742479768ccf0611995388016f802cc82eb4ef2be2add75392e52325efc9dfa7c521daec1f7,True,True,False,1,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,2,G01R,G01R 1,False,True,1,True,True,2011.0
1020130044195,1020130044195,,,1013985500000.0,1013985500000.0,등록,등록,등록 등록,컨택트 프로브 및 그 제조방법,컨택트 프로브 및 그 제조방법,리노공업주식회사,리노공업주식회사,,20130422,2013,20140527,20140527,20140516.0,20140516.0,G01R 3/00|H10P 74/00|G01R 1/067,G01R 3/00|H10P 74/00|G01R 1/067,,,"본 발명은 반도체와 같은 검사대상을 검사하기 위한 컨택트 프로브 및 그 제조방법에 관한 것이다. 본 발명에 따른 피검사체 검사용 컨택트 프로브의 제조방법는, 상기 피검사체의 피검사접점에 접촉하는 단부를 가진 상부 플런저, 검사회로기판의 검사접점에 접촉하는 하부 플런저 및 상기 상부 플런저와 하부 플런저를 연결하는 중간연결부를 단일체로 1차 가공하는 단계, 및 상기 중간 연결부를 2차 소성가공하여 탄성연결부로 형성하는 단계를 포함하는 것을 특징으로 한다. 본 발명에 의하면, 제조과정을 단순화할 수 있어 제조비용을 절감할 수 있고, 제품의 수명을 향상시킬 수 있고, 피사체의 형상에 알맞은 팁부를 용이하게 제공할 수 있고, 저항을 낮추어 테스트 신뢰성을 향상시킬 수 있는 컨택트 프로브를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e0097803719215c7b6bc2f8b5d6860df1cde8f475190299a65ccc63d99675747f58d71bf7603bf25edf581534144d1cd56eb85acd3038815c01,True,True,False,4,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,3,G01R,G01R 3,False,True,4,True,True,2013.0
1020090060509,1020090060509,1020110002959.0,1020110002959.0,1011497600000.0,1011497600000.0,등록,등록,등록 등록,검사용 탐침 장치,검사용 탐침 장치,리노공업주식회사,리노공업주식회사,,20090703,2009,20110111,20110111,20120518.0,20120518.0,G01R 1/067|G01R 31/303,G01R 1/067|G01R 31/303,,,"본 발명은 반도체 칩 검사용 탐침 장치에 관한 것으로서, 검사 전류가 안정적으로 흐를 수 있도록 구조를 개선하여 검사신뢰성이 향상한 검사용 탐침 장치를 제공하기 위하여, 상하가 개구된 배럴과 반도체 칩의 접속 단자에 접촉되는 탐침 돌기가 상단부에 형성되고 상기 배럴의 상부에 하부가 수용되는 상부 플런저와 상기 배럴의 하부에 상부가 수용되는 하부 플런저를 포함하여 이루어지는 반도체 칩을 검사하기 위한 검사용 탐침 장치에 있어서, 원통 형상의 실리콘에 금속볼이 함유되어 도전성을 띠는 도전성 실리콘부가 상기 배럴의 내부에 수용되되 상기 도전성 실리콘부는 상기 상부 플런저와 하부 플런저를 전기적으로 연결시키고, 반도체 칩 검사 과정에서 상부 플런저에 전달되는 하방 압력을 탄성 지지함을 특징으로 하여, 배럴 내부에 금속볼이 함유되어 도전성을 띠는 도전성 실리콘부가 삽입되어 검사 과정에서 상부 플런저를 탄성지지하고, 상기 도전성 실리콘부를 따라 검사 전류가 안정적으로 흐를 수 있도록 하여 검사 신뢰성을 향상시킬 수 있는 장점이 있다. 반도체 칩 검사 테스트 프로브 탐침",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf72613372e3f89580c5d9fc781b9cbdafb931297b97a36afc4473901eab8ea22088e7e371523889fdccafbbae1a84188a9aab2eb680dec4f58e3,True,True,False,4,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,4,G01R,G01R 1,False,True,4,True,True,2009.0
1020100018708,1020100018708,1020110099588.0,1020110099588.0,1011497610000.0,1011497610000.0,등록,등록,등록 등록,마이크로 니들 장치,마이크로 니들 장치,리노공업주식회사,리노공업주식회사,,20100302,2010,20110908,20110908,20120518.0,20120518.0,A61M 37/00,A61M 37/00,,,"본 발명은 마이크로 니들 장치에 관한 것으로, 파이프 형상이고 약물이 유동되는 유동로가 형성되며, 하단부에 피부와 접촉되는 첨부가 형성된 니들과; 상하부로 관통된 통공이 형성되고, 상기 통공에 상기 니들의 하부가 결합되며, 상기 니들의 첨부가 통공 외측으로 돌출되게 형성된 하부베이스와; 상기 하부베이스의 통공과 대응되는 위치에 관통공이 형성되고, 상기 관통공에 상기 니들의 상부가 결합되도록 상기 하부베이스의 상부에 구비되며, 상기 관통공을 통하여 외부의 약물이 유입되는 상부베이스와; 상기 상부베이스의 상부에 구비되며, 상부에는 약물이 수용되는 약물수용부가 형성되고, 하부에는 상하로 관통되고 상기 약물수용부와 연결되어 약물수용부에 수용된 약물의 이동통로가 되며 상기 상부베이스의 관통공과 연통되는 약물유입로가 형성되고, 상기 약물유입로와 연통되어 가로방향으로 가로홈이 형성된 약물챔버와; 상기 약물챔버의 가로홈에 설치되고, 상기 약물유입로를 선택적으로 개폐시키는 개폐수단;을 포함하여 구성되는 마이크로 니들장치를 기술적 요지로 한다. 이에 따라, 니들을 이용하여 필요 시 피부 조직 내에 미공을 형성시킴과 동시에 니들의 유동로를 통하여 유동된 약물을 미공을 통하여 직접 주입할 수 있다는 이점이 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf72613372e3f89580c5d6ce77846d4795fd58b35e514e3766a3b1806e02c8395beb397d5cef50ad26e465940be74ed4c2e0393b4c0e2721f70de,True,True,False,0,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,5,A61M,A61M 37,False,False,0,True,True,2010.0
1020100063058,1020100063058,1020120002264.0,1020120002264.0,1011497580000.0,1011497580000.0,등록,등록,등록 등록,프로브,프로브,리노공업주식회사,리노공업주식회사,,20100630,2010,20120105,20120105,20120518.0,20120518.0,H10P 74/00,H10P 74/00,,,"검사신호를 안정적으로 전달할 수 있는 프로브를 개시한다. 개시된 프로브는, 반도체 디바이스 및 상기 반도체 디바이스를 테스트 하기 위한 테스터 사이를 전기적으로 연결하기 위한 것으로서, 상기 반도체 디바이스와 전기적으로 연결 가능한 상부 플런저와; 상기 테스트와 전기적으로 연결 가능한 하부 플런저와; 상기 상부 플런저와 상기 하부 플런저 사이에 배치되어 상기 상부 플런저 및 상기 하부 플런저가 서로 이격되도록 상기 상부 플런저 및 상기 하부 플런저를 탄성바이어스 시키는 탄성부재와; 상기 탄성부재 내부 또는 외부에 배치되어 상기 상부 플런저와 상기 하부 플런저를 전기적으로 연결하는 도전성부재와; 상기 상부 및 하부플런저, 상기 탄성부재 및 상기 도전성부재를 수용하는 배럴을 포함하는 것을 특징으로 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf726b2a75a479fdf43b1b29ee662eab4932997337862ffd26a5c6a6552d0544ac9a5867fddf099f4fc42041d6ea6c79c0019bee33ac17ee72fbf,True,True,False,3,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,6,H10P,H10P 74,False,False,3,True,True,2010.0
1020250078819,1020250078819,1020260023961.0,1020260023961.0,,,공개,공개,공개 공개,검사프로브,검사프로브,리노공업주식회사,리노공업주식회사,,20250616,2025,20260220,20260220,,,G01R 1/067|G01R 3/00,G01R 1/067|G01R 3/00,,,"피검사체의 전기적특성을 검사하는 검사프로브가 개시된다. 검사프로브는 관상의 배럴본체부와, 상기 배럴본체부의 일단부에 길이방향으로 형성된 복수의 슬릿에 의해 상호 분리된 복수의 스커트부를 갖는 배럴 및 상기 배럴본체부 내에 수용되어 상기 배럴의 축선을 따라 슬라이딩 가능한 슬라이딩부와, 상기 슬라이딩부로부터 상기 스커트부를 넘어 상기 축선 방향을 따라 연장되는 단자접촉부를 가진 플런저를 포함한다. 상기 스커트부는, 상기 배럴본체부의 길이방향으로 연장된 스커트본체부와, 상기 스커트본체부의 선단영역에서 상기 배럴의 축선방향으로 축경굴곡되어 상기 단자접촉부에 접촉하는 스커트축경부를 가진다. 상기 스커트축경부는 상기 축선방향에서 보았을 때 원주방향을 따라 중심영역에서 가장자리영역으로 갈수록 명목두께가 감소한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f8ee6873af8eb594bd1ff060b990a828500bf106ec00a5c2db5d721a3f1d646518b1a73dbc89e6620aa6b6c1d05be3478762b58da91ab0b9,False,False,False,1,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,7,G01R,G01R 1,False,True,1,False,False,2025.0
1020240014344,1020240014344,1020250106162.0,1020250106162.0,1029649910000.0,1029649910000.0,등록,등록,등록 등록,접촉팁 제조 방법 및 접촉팁을 포함하는 전기 전도성 핀,접촉팁 제조 방법 및 접촉팁을 포함하는 전기 전도성 핀,리노공업주식회사,리노공업주식회사,,20240130,2024,20250709,20250709,20260511.0,20260511.0,G01R 1/067|G01R 3/00,G01R 1/067|G01R 3/00,,,"본 발명은 접촉팁 및 첨단부의 형상을 다양하게 형성할 수 있는 접촉팁 제조 방법을 제공하고, 다양한 형상의 접촉팁 및 첨단부를 포함하는 전기 전도성 핀을 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934a677ec7646dfd8d59d52749d6d948c0ea181977a3b77db0a8bfe7df99abc48ea0708df535baa535e359f1522fef679839f300b6579f1ce0,True,True,False,0,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,8,G01R,G01R 1,False,True,0,True,True,2024.0
1020060105424,1020060105424,1020080038485.0,1020080038485.0,1008301900000.0,1008301900000.0,등록,등록,등록 등록,플럭스 돗팅 툴,플럭스 돗팅 툴,리노공업주식회사,리노공업주식회사,,20061030,2006,20080507,20080507,20080509.0,20080509.0,H10W 72/00|H10W 70/40,H10W 72/00|H10W 70/40,,,"본 발명은 플럭스 돗팅 툴에 관한 것으로서, 플럭스의 돗팅이 균일하게 이루어지는 플럭스 돗팅 툴을 제공하기 위하여, 솔더볼이 형성되는 패드의 표면에 플럭스를 돗팅하기 위한 반도체 제조공정의 플럭스 돗팅 툴에 있어서, 하방향으로 탄성력을 제공하는 탄성부재가 포함되고, 돗팅하고자 하는 플럭스에 접촉되는 플럭스 핀과; 상기 플럭스 핀이 복 수개 고정되는 스토퍼와; 상기 스토퍼가 고정되는 하우징과; 상기 플럭스 핀이 결합 구멍을 통해 돌출되며, 상기 플럭스 핀이 하방향으로 떨어지지 않도록 상기 하우징에 고정되는 커버;로 구성되어 플럭스핀에 탄성부재가 직접결합되는 것을 특징으로 하여, 틸트 현상을 방지하여 돗팅 작업을 균일하게 할 수 있어 돗팅 작업으로 인한 불량율을 개선하고, 장기간 사용으로 플럭스 핀에 플럭스가 달라붙는 경우에도 세척이 쉽고 플럭스가 잔존하는 경우에도 균일한 탄성력을 제공할 수 있는 플럭스 돗팅 툴을 제공할 수 있는 장점이 있다. 플럭스 돗팅 탄성부재 핀 반도체",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cfe49d03e6a3dce01fbb968171060e831e1ec7de7114b4a91fa2747f9db5d1897,True,True,False,1,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,9,H10W,H10W 72,False,True,1,True,True,2006.0
1020080071818,1020080071818,1020100010780.0,1020100010780.0,1009581360000.0,1009581360000.0,등록,등록,등록 등록,이차 전지의 충방전용 테스트 프로브,이차 전지의 충방전용 테스트 프로브,리노공업주식회사,리노공업주식회사,,20080723,2008,20100202,20100202,20100507.0,20100507.0,G01R 1/067|G01R 31/36|H01M 10/42|F16B 4/00,G01R 1/067|G01R 31/36|H01M 10/42|F16B 4/00,,,"본 발명은 테스트 프로브에 관한 것으로서, 제작이 용이한 이차 전지 충방전용 테스트 프로브를 제공하기 위하여, 내부가 관통된 원통 형상의 외부 플런저와, 상기 외부 플런저의 내부에 수용된 내부 플런저와, 상기 외부 플런저와 내부 플런저 사이에 형성되어 외부 플런저와 내부 플런저를 전기적으로 절연시키는 절연부와, 상기 내부 플런저에 탄성력을 제공하는 제1탄성 스프링과, 상기 외부 플런저에 탄성력을 제공하는 제2탄성 스프링과, 상기 외부 플런저의 상단부에 형성된 헤드부를 포함하여 구성되는 이차 전지의 충방전용 테스트 프로브에 있어서, 상기 헤드부는 외부 플런저의 상단부와 억지 끼워 맞춤을 통해 결합됨을 특징으로 하여, 헤드부가 외부 플런저와 억지끼워맞춤을 통해서 결합되는 구조를 채택하고, 체결부의 외주면에는 쐐기 형상의 돌기가 형성되어 외부 플런저에 단단하게 고정될 수 있으므로 제작이 용이하다는 장점이 있다. 리튬이온 전지 프로브 대전류 테스트",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf7260d16ccc6ace7836c4b07ee3d90788e054f55cb8f78177f6c13b64743d63de2d1107734ae81181cfce2a9c2e60f8f37f53088b1d274ec856f,True,True,False,2,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,10,G01R,G01R 1,False,True,2,True,True,2008.0
1020080051366,1020080051366,1020090093738.0,1020090093738.0,1009581350000.0,1009581350000.0,등록,등록,등록 등록,검사용 탐침 장치,검사용 탐침 장치,리노공업주식회사,리노공업주식회사,,20080602,2008,20090902,20090902,20100507.0,20100507.0,G01R 1/067|G01R 31/26|G01R 31/28|G01R 3/00,G01R 1/067|G01R 31/26|G01R 31/28|G01R 3/00,,,"본 발명은 반도체 칩 검사용 탐침 장치에 관한 것으로서, 반도체 칩 검사 과정에서 코일 스프링의 압축 및 탄성 복원으로 인한 상부 플런저 및 하부 플런저의 회전을 방지할 수 있는 검사용 탐침 장치를 제공하기 위하여, 반도체 칩의 접속 단자에 접촉되는 탐침 돌기가 형성된 상부 플런저와 상하가 개구되어 상기 상부 플런저의 하부가 수용되는 배럴과 상기 배럴의 내부에 수용되어 상부 플런저에 탄성력을 제공하는 코일 스프링과 상기 배럴의 하부에 상부가 수용되는 하부 플런저와 상기 상부 플런저와 코일 스프링 사이에 결합되는 상부 플런저의 하부면과 점접촉되는 접촉편으로 구성됨을 특징으로 하여, 상부 플런저와 코일 스프링 또는 코일 스프링과 하부 플런저 사이에 접촉편이 결합되어 코일 스프링의 압축 및 탄성 복원으로 인한 회전력이 상부 및 하부 플런저에 전달되는 것을 차단할 수 있어 반도체 칩 검사 신뢰성을 확보할 수 있는 장점이 있다. 반도체 칩 검사 프로브 배럴 회전",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf7260d16ccc6ace7836c4b07ee3d90788e0567eb100f473be29a248e87abaff4e064e43f29cb2c71392122eca6756effca6fa0fccdb6aec817f0,True,True,False,3,data\반도체\리노공업\tech\source\leeno_kipris_plus_bibliographic_raw.csv,,11,G01R,G01R 1,False,True,3,True,True,2008.0
