application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020190114945,1020190114945,,,1021947400000.0,1021947400000.0,등록,등록,등록 등록,7-ADCA 제조를 위한 데아세트옥시세팔로스포린 C의 고농도 생산 재조합 아크레모니움 크리소제눔 균주의 제조방법 및 이 방법으로 제조된 균주,7-ADCA 제조를 위한 데아세트옥시세팔로스포린 C의 고농도 생산 재조합 아크레모니움 크리소제눔 균주의 제조방법 및 이 방법으로 제조된 균주,아미코젠주식회사,아미코젠주식회사,,20190918,2019,20201223,20201223,20201217.0,20201217.0,C12N 9/10|C12N 9/02|C12P 35/00,C12N 9/10|C12N 9/02|C12P 35/00,,,"본 발명은 데아세트옥시세팔로스포린 C(DAOC)의 고농도 생산 재조합 아크레모니움 크리소제눔 균주의 제조방법 및 이 방법으로 제조된 균주에 관한 것으로, 보다 상세하게는 DAOC 고생산성 아크레모니움 크리소제눔 균주의 제조방법, 이 방법으로 제조된 재조합 아크레모니움 크리소제눔 균주, 상기 균주를 DAOC를 생산할 수 있는 조건에서 배양하고 이를 회수하는 DAOC 생산방법, 상기 제조방법에 이용된 아크레모니움 크리소제눔 균주에서의 DAOC 고발현용 폴리뉴클레오티드, 아크레모니움 크리소제눔 균주에서 DAOC 고발현용 발현벡터 및 상기 생산된 DAOC에 CPC 아실라제를 처리하여 7-ADCA를 생산하는 방법에 관한 것이다. 본 발명에 의하면 DAOC 고생성능을 가진 아크레모니움 크리소제눔 균주를 제조할 수 있으며, 이들 균주에 의해 생성된 DAOC를 CPC 아실라제로 처리함으로써 유독부산물 없이 환경 친화적이고 효율적인 방법으로 7-ADCA를 생산할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00241f959d6253dbf6d3f78af6625b69f7c1b24f51338f62d9ff380a93dabe1700f424f55430a73a7db3a5d04774e9f55906c4715434c068d6,True,True,False,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,2,C12N,C12N 9,False,False,0,True,True,2019.0
1020127014717,1020127014717,1020120085892.0,1020120085892.0,1017754090000.0,1017754090000.0,소멸,소멸,소멸 소멸,루테늄(0)-올레핀 착물의 제조방법,루테늄(0)-올레핀 착물의 제조방법,우미코레 아게 운트 코 카게,우미코레 아게 운트 코 카게,,20101111,2010,20120801,20120801,20170831.0,20170831.0,C07F 15/00|B01J 31/28|B01J 31/22,C07F 15/00|B01J 31/28|B01J 31/22,,,"본 발명은 화학식 Ru(+II)(X) p (Y) q 의 루테늄 출발 화합물(여기서, X는 음이온성 그룹이고, Y는 비하전된 2-전자 공여체 리간드이고, p는 1 또는 2이고, q는 1 내지 6의 정수이다)을 사이클로헥사디엔 유도체와 또는 사이클로헥사디엔 유도체를 포함하는 디엔 혼합물과 염기의 존재하에 반응시켜 (아렌)(디엔)Ru(0) 타입의 루테늄(0)-올레핀 착물을 제조하는 방법에 관한 것이다. 이 방법에서, (아렌)(디엔)Ru(0) 착물 중의 결합된 아렌은 이 사이클로헥사디엔으로부터 산화에 의해 형성된다. 적합한 루테늄(II) 출발 화합물은 예를 들어 RuCl 2 (아세토니트릴) 4 , RuCl 2 (피리딘) 4 또는 RuCl 2 (DMSO) 4 이다. 사용된 염기는 무기 염기 또는 유기 염기이다. 본 발명에 따르는 방법으로 제조된 루테늄(0)-올레핀 착물은 고순도를 가지며, 균질한 촉매용 전구체로서, 기능성 루테늄 함유 층 또는 루테늄 산화물 함유 층의 제조를 위해 사용되고 치료 분야에 사용될 수 있다.",,,,,True,False,True,1,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,3,C07F,C07F 15,False,False,0,True,False,2010.0
1020137030593,1020137030593,1020140053887.0,1020140053887.0,,,취하,취하,취하 취하,면역 반응을 증진시키는 조성물 및 방법,면역 반응을 증진시키는 조성물 및 방법,"미코 바이오, 인크.","미코 바이오, 인크.",,20120419,2012,20140508,20140508,,,A61K 35/74|A61K 35/66|A61K 31/59|A61K 9/22|A61K 47/30|A61P 1/00,A61K 35/74|A61K 35/66|A61K 31/59|A61K 9/22|A61K 47/30|A61P 1/00,,,본 발명은 미생물 감염을 치료 또는 예방하는 방법 및 조성물을 개시한다.,,,,,False,False,True,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,4,A61K,A61K 35,False,False,0,False,False,2012.0
1020247014526,1020247014526,1020240070672.0,1020240070672.0,,,공개,공개,공개 공개,에폭시 수지,에폭시 수지,"스폴렉 프로 케미코우 어 허트니 비로부, 아크시오바 스폴렉노스트","스폴렉 프로 케미코우 어 허트니 비로부, 아크시오바 스폴렉노스트",,20221103,2022,20240521,20240521,,,C08G 59/14|C08G 59/06|C08G 59/24|C08L 63/00|C08G 59/42|C09D 163/00,C08G 59/14|C08G 59/06|C08G 59/24|C08L 63/00|C08G 59/42|C09D 163/00,,,"본 발명은 고분자량 에폭시 수지 조성물에 관한 것으로서, 상기 조성물은: 에폭시 당량이 172 내지 500 g/mol인 저분자량 BPA계 에폭시 수지와, (a) 디사이클로펜탄디엔 디페놀의 올리고머 및/또는 모노머 및/또는 폴리머 및/또는 (b) 비스페놀 F 또는 S 또는 Z 또는 C 또는 폴리알킬 BPF, 알킬 비페놀, 폴리알킬 비페놀, 또는 폴리알킬 BPA, 및/또는 (c) 페놀 물질 (a)와 (b)의 혼합물, 및/또는 (d) 지방족, 환상지방족 및 방향족 폴리산 또는 이들의 무수물, 및/또는 (e) 지방족 및/또는 환상지방족 및/또는 방향족 폴리알코올 또는 폴리페놀; 및/또는 (f) (a), (d) 및 (e)에 따른 모노머의 혼합물로부터 제조되며, 상기 최종 고분자량 에폭시 수지 중의 유리 BPA의 함량은 2 ppm 미만, 바람직하게는 1 ppm 미만이다. 또한, 에폭시 수지의 제조 방법도 개시된다.",,,,,False,False,False,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,5,C08G,C08G 59,False,False,0,False,False,2022.0
1020257023635,1020257023635,1020250127105.0,1020250127105.0,,,공개,공개,공개 공개,양극 활물질 및 양극 활물질의 제조 방법,양극 활물질 및 양극 활물질의 제조 방법,유미코아,유미코아,,20231214,2023,20250826,20250826,,,H01M 4/525|H01M 4/505|H01M 10/0562|H01M 10/052|H01M 4/36|H01M 4/62|C01G 53/504|H01M 4/02,H01M 4/525|H01M 4/505|H01M 10/0562|H01M 10/052|H01M 4/36|H01M 4/62|C01G 53/504|H01M 4/02,,,"본 발명은 리튬, 산소, 니켈, 및 망간과 코발트로 이루어진 군으로부터 선택되는 적어도 하나의 금속을 포함하는 고체 배터리용 양극 활물질에 관한 것이며, 여기서 양극 활물질은 표면층에 풍부한 양의 Si를 갖고, 양극 활물질은 단결정성 입자를 포함한다. 본 발명자들은 놀랍게도 발명의 양극 활물질이 양극 활물질의 저장 안정성을 개선시킨다는 것을 밝혀내었다. 특히, 양극 활물질 상에 Si의 표면층을 적용함으로써 물 및 탄소 (또는 이산화탄소)의 감소된 흡수량이 관찰된다. 또한, 양극 활물질은 배터리의 전기 화학적 안정성을 개선시킨다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93c4bc3fae4b24c40bea5cf1dfb80ff68953db1a4724d2834f5d8cbae9b3c335449bfa925dba8e5bffba55cd2c78bfa3136de58b78857b7eca,False,False,False,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,6,H01M,H01M 4,False,False,0,False,False,2023.0
1020227023862,1020227023862,1020220108821.0,1020220108821.0,,,공개,공개,공개 공개,높은 NO2 대 NOx 비에서의 효율적인 SCR을 위한 시스템 및 방법,높은 NO2 대 NOx 비에서의 효율적인 SCR을 위한 시스템 및 방법,우미코레 아게 운트 코 카게,우미코레 아게 운트 코 카게,,20201130,2020,20220803,20220803,,,B01D 53/86|B01D 53/90|F23R 3/40,B01D 53/86|B01D 53/90|F23R 3/40,,,"본 발명은, NO 2 대 NO x 비(상기 NO x 중 NO 2 의 양은 50mol% 이상임)가 높은 경우에도 오프-가스로부터 휘발성 유기 화합물, 일산화탄소 및 질소 산화물을 제거하기 위한 시스템으로서, 암모니아 공급원; 암모니아를 SCR 기능을 갖는 촉매 물품 내로 도입하기 위한 수단; 산화 기능 및 SCR 기능 둘 다를 갖는 촉매 물품으로서, 상기 촉매 물품은, 촉매 기재, 및 적어도 하나의 백금족 금속 및/또는 적어도 하나의 백금족 금속 산화물, 적어도 하나의 티탄의 산화물 및 적어도 하나의 바나듐의 산화물을 포함하는 촉매 조성물을 포함하고, 워시코트가 상기 촉매 기재의 벽 내부에 그리고/또는 벽 상에 위치하는, 상기 촉매 물품; 상기 촉매 물품의 유출구 단부와 스택 사이에서 또는 스택에서 NO x 및/또는 암모니아 슬립의 양을 계측하기 위한 수단; 적어도 하나의 일산화탄소 공급원; 및 일산화탄소를 상기 촉매 물품 내로 도입하기 위한 수단을 포함하는 시스템을 제공한다. 임의로, SCR 촉매 물품은 산화 기능 및 SCR 기능 둘 다를 갖는 촉매 물품의 다운스트림의 업스트림에 배치될 수 있다. 본 발명은 또한, 촉매 물품의 유출구 단부와 스택 사이에서 또는 스택에서 NO x 및/또는 암모니아 슬립의 양을 미리 결정된 값으로 유지하기 위해, 오프-가스로부터 휘발성 유기 화합물...(이하생략)",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9327062f2baf75f4449123d186c9a38a58e4f7770af3b61361a99f7798ba4b75eed3e52a823c9c6e638e7254a52c1da755c26d517985025e56,False,False,False,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,7,B01D,B01D 53,False,False,0,False,False,2020.0
1020257000857,1020257000857,1020250023495.0,1020250023495.0,,,공개,공개,공개 공개,Ni 및/또는 Co를 포함하는 고체 금속 공급물의 황화,Ni 및/또는 Co를 포함하는 고체 금속 공급물의 황화,유미코아,유미코아,,20230609,2023,20250218,20250218,,,C22B 3/08|C22B 3/44|C22B 3/00|H01M 10/54,C22B 3/08|C22B 3/44|C22B 3/00|H01M 10/54,,,"본 발명은 적어도 하나의 Ni 화합물 및/또는 적어도 하나의 Co 화합물을 포함하는 금속 함유 공급물을 처리하는 방법을 제공하며, 상기 공급물은 하나 이상의 불순물을 더 포함하며, 상기 방법은 하기 단계를 포함한다: i. pH 1.5 내지 10의 수성 매체에서 상기 금속 함유 공급물을 황화제와 접촉시켜, Ni 및/또는 Co가 포함된 고체상과 Mn, Mg, Al, Fe, Ca, B, Na 및/또는 U 중 하나 이상의 수용성 염을 포함하는 수성상을 포함하는 슬러리를 얻는 단계; ii. 상기 고체상과 상기 수성상을 분리하는 단계.",,,,,False,False,False,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,8,C22B,C22B 3,False,False,0,False,False,2023.0
1020137014080,1020137014080,1020130114172.0,1020130114172.0,1015298030000.0,1015298030000.0,등록,등록,등록 등록,표면에 대한 폴리아이소시아네이트 작용성 접착제의 접착성이 개선되도록 개질된 하나 이상의 표면을 갖는 폴리올레핀,표면에 대한 폴리아이소시아네이트 작용성 접착제의 접착성이 개선되도록 개질된 하나 이상의 표면을 갖는 폴리올레핀,다우 브라질 인더스트리아 이 코메르시오 디 프로두토스 퀴미코스 엘티디에이.,다우 브라질 인더스트리아 이 코메르시오 디 프로두토스 퀴미코스 엘티디에이.,,20111007,2011,20131016,20131016,20150611.0,20150611.0,B32B 27/32|B32B 27/38|B32B 27/18|B32B 7/12|C08J 7/04,B32B 27/32|B32B 27/38|B32B 27/18|B32B 7/12|C08J 7/04,,,"본 발명은, 폴리올레핀 구조물의 표면에 대한 극성 접착제의 결합을 개선시키기 위해 조립체에 사용되는 폴리올레핀 구조물, 부품 또는 구성성분의 개질에 관한 것이다. 본원에는, 본 발명에 따라 개질된 하나 이상의 표면을 갖는 폴리올레핀 구조물을 포함하는 신규한 제품이 개시되어 있다. 폴리올레핀 구조물은, 상기 표면 바로 위에 배치된, 에폭시 수지 층의 하나 이상의 표면 및 상기 에폭시 수지 층 위에 배치된, 반응성 아이소시아네이트 기를 갖는 하나 이상의 화합물, 올리고머 또는 예비중합체의 층을 갖는다. 본 발명은 또한 상기 표면 위에 에폭시 수지 층 및 반응성 아이소시아네이트 기를 갖는 하나 이상의 화합물, 올리고머 또는 예비중합체의 층을 연속적으로 침착함으로써 폴리올레핀 구조물의 하나 이상의 표면을 개질시키는 방법에 관한 것이다. 또한, 극성 반응성 기를 갖는 하나 이상의 접착제 또는 코팅, 및 개질된 폴리올레핀 구조물의 키트도 개시되어 있다. 추가로, 개질된 표면과 다른 기판 사이에 접착제가 배치되도록, 극성 반응성 기를 갖는 접착제를 개질된 표면 및 기타 기판과 접촉시킴으로써, 개질된 폴리올레핀 구조물을 다른 기판에 결합시키는 방법이 개시되어 있다. 또한, 극성 반응성 기를 포함하는 하나 이상의 코팅을 폴리올레핀 구조물의 개질된 표면과 접촉시킴을 포함하는 코팅 방법도 개시되어 있다.",,,,,True,True,False,1,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,9,B32B,B32B 27,False,False,1,True,True,2011.0
1020257023625,1020257023625,1020250123881.0,1020250123881.0,,,공개,공개,공개 공개,황화물 고체 충전식 배터리용 양극 활물질로서의 리튬 니켈-기반 복합체 산화물,황화물 고체 충전식 배터리용 양극 활물질로서의 리튬 니켈-기반 복합체 산화물,유미코아,유미코아,,20231214,2023,20250818,20250818,,,H01M 4/525|H01M 4/505|H01M 4/36|H01M 10/0562|H01M 10/052|C01G 53/50|C01G 53/82|H01M 4/02,H01M 4/525|H01M 4/505|H01M 4/36|H01M 10/0562|H01M 10/052|C01G 53/50|C01G 53/82|H01M 4/02,,,"본 발명은 Li, M' 및 O를 포함하는 고체 배터리용 양극 활물질에 관한 것이며, 여기서 M'는 Si 및/또는 Zr을 포함한다. 본 발명자들은 놀랍게도 발명의 양극 활물질이 배터리, 특히 황화물 고체 배터리의 사이클링 효율을 증가시킨다는 것을 밝혀내었다. 또한, 이러한 코팅된 양극 활물질은 높은 제1 방전 용량을 나타낸다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9379d33ad6429f17c32d91a0963c78c0cbe7825dffe123a9ab8e0e3ccecd77e3f860110595f0e4209d2fc8071eeaa21bb986b2324b4989e8e4,False,False,False,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,10,H01M,H01M 4,False,False,0,False,False,2023.0
1020247006649,1020247006649,1020240041984.0,1020240041984.0,,,공개,공개,공개 공개,금속의 분리를 위한 결정화 방법,금속의 분리를 위한 결정화 방법,유미코아,유미코아,,20220727,2022,20240401,20240401,,,C22B 3/08|C22B 3/22|C22B 7/00|C22B 26/12|H01M 10/54,C22B 3/08|C22B 3/22|C22B 7/00|C22B 26/12|H01M 10/54,,,"본 개시내용은 Ni 및 Li를 포함하는 출발 물질로부터 금속을 회수하는 결정화 방법에 관한 것이다. 수용액 내의 또는 고체 형태의 출발 물질을 수용액과 반응시켜, 적어도 45℃의 온도에서 바람직하게는 적어도 500 g/L의 산도에 도달시킨다. 반응 생성물의 고체/액체 분리 시, 대부분의 Ni를 포함하는 고체 잔류물이 수화된 황산염으로서 얻어지고, 대부분의 Li를 포함하는 유출 용액이 얻어진다. 이 방법은 리튬 이온 재충전 가능한 배터리의 재활용에 특히 적합하다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a5a798137168402cfa47d3518888f0615dca2ab90d056ac8878f864be8e160c8f6310cfbc16e014fca04d74426231ad6bd5794afebe2ef88,False,False,False,0,data\반도체\미코\tech\source\mico_kipris_plus_bibliographic_raw.csv,,11,C22B,C22B 3,False,False,0,False,False,2022.0
