application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020240160483,1020260071665,,공개,공개,실리콘 게르마늄 막 식각용 식각 조성물 및 이를 이용하는 집적회로 소자의 제조 방법,삼성전자주식회사|솔브레인 주식회사
1020210190905,1020220055447,,공개,공개,화학적 기계적 연마 슬러리 조성물 및 반도체 소자의 제조 방법,솔브레인 주식회사
1020170178590,1020180075416,1025348410000,등록,등록,식각용 조성물 및 이를 이용한 반도체 소자의 제조방법,솔브레인 주식회사
1020210081292,1020220170456,,공개,공개,전지용 전해액 및 이를 포함하는 이차전지,솔브레인 주식회사
1020250160555,1020260069430,,공개,공개,고순도 아이오딘화수소의 정제방법,솔브레인 주식회사
1020250119032,1020260030679,,공개,공개,"옥시던트 흡수제, 이를 이용한 박막 표면의 산화제어 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사
1020230147439,1020240131239,,공개,공개,"박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사
1020200115382,1020220033231,1029644440000,등록,등록,전해염의 제조방법,솔브레인 주식회사
1020220139425,1020240058557,,공개,공개,"진공 기반 박막 개질제, 이를 포함한 박막 개질 조성물, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사
1020240149442,1020260062431,,공개,공개,금속막 연마를 위한 화학적 기계적 연마 슬러리 조성물 및 이를 이용한 연마 방법,솔브레인 주식회사
1020210105178,1020220019642,,공개,공개,식각 조성물 및 이를 이용한 반도체 소자의 제조방법,솔브레인 주식회사
1020220189125,1020230010027,,공개,공개,"산화 세륨 입자, 이를 포함하는 화학적 기계적 연마 슬러리 조성물 및 반도체 소자의 제조 방법",솔브레인 주식회사
1020240149441,1020260062430,,공개,공개,금속막 연마를 위한 화학적 기계적 연마 슬러리 조성물 및 이를 이용한 연마 방법,솔브레인 주식회사
1020200133836,1020210066708,1029615830000,등록,등록,"유기 화합물, 이를 포함하는 유기발광다이오드 및 유기발광장치",엘지디스플레이 주식회사|솔브레인 주식회사
