application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020240160483,1020240160483,1020260071665.0,1020260071665.0,,,공개,공개,공개 공개,실리콘 게르마늄 막 식각용 식각 조성물 및 이를 이용하는 집적회로 소자의 제조 방법,실리콘 게르마늄 막 식각용 식각 조성물 및 이를 이용하는 집적회로 소자의 제조 방법,삼성전자주식회사|솔브레인 주식회사,삼성전자주식회사|솔브레인 주식회사,,20241112,2024,20260519,20260519,,,C09K 13/00|C09K 13/08|H10D 84/03|H10P 50/00,C09K 13/00|C09K 13/08|H10D 84/03|H10P 50/00,,,"본 발명의 기술적 사상에 의한 일 양태에 따른 식각 조성물은 실리콘 게르마늄 막 식각용 식각 조성물로서, 상기 식각 조성물은 식각 조성물 총량을 기준으로 3 wt% 내지 90 wt%의 산화제; 상기 식각 조성물 총량을 기준으로 0.01 wt% 내지 5 wt%의 불소 화합물; 상기 식각 조성물 총량을 기준으로 0.01 wt% 내지 5 wt%의 아민 화합물; 상기 식각 조성물 총량을 기준으로 0.01 wt% 내지 1 wt%의 저해제; 상기 식각 조성물 총량을 기준으로 1.5 wt% 내지 88.5 wt%의 유기 용매; 및 잔량의 물로 이루어진다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ed40ad8e276e0201091b9a35720d37fa083888374b650e77ead4cbbf62ff8e166eee037a943d5e48886b4f3529c267721a31576e870a84a9,False,False,False,1,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,2,C09K,C09K 13,False,True,1,False,False,2024.0
1020210190905,1020210190905,1020220055447.0,1020220055447.0,,,공개,공개,공개 공개,화학적 기계적 연마 슬러리 조성물 및 반도체 소자의 제조 방법,화학적 기계적 연마 슬러리 조성물 및 반도체 소자의 제조 방법,솔브레인 주식회사,솔브레인 주식회사,,20211229,2021,20220503,20220503,,,C09G 1/02|C09K 3/14|H10P 50/00|B24B 37/04,C09G 1/02|C09K 3/14|H10P 50/00|B24B 37/04,,,"산화 세륨 입자; 및 용매를 포함하고, 상기 산화 세륨 입자는 1차 입자의 크기가 1 내지 5nm이며, 2차 입자의 크기가 2 내지15nm이고, 상기 산화 세륨 입자의 표면에는 Ce 3+ 및 Ce 4+ 를 포함하고 있는 것을 특징으로 하는, 화학적 기계적 연마용 슬러리 조성물을 제공한다. 이에 따르면, 세리아 표면의 Ce 3+ 의 비율을 증가시켜 작은 입자 크기에도 불구하고 저함량에서 높은 산화막 제거 속도를 보유할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a104a9a3f60ce7c65d60378c146a11701166e9ef5d116317874aecb3b2b5d0497cbd8f4229fbfb152165c228e15fc5e8bef79d7b875b8fbc,False,False,False,2,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,3,C09G,C09G 1,False,False,2,False,False,2021.0
1020170178590,1020170178590,1020180075416.0,1020180075416.0,1025348410000.0,1025348410000.0,등록,등록,등록 등록,식각용 조성물 및 이를 이용한 반도체 소자의 제조방법,식각용 조성물 및 이를 이용한 반도체 소자의 제조방법,솔브레인 주식회사,솔브레인 주식회사,,20171222,2017,20180704,20180704,20230516.0,20230516.0,C09K 13/06|H10P 50/00|C09K 13/04,C09K 13/06|H10P 50/00|C09K 13/04,,,"본 발명은 식각용 조성물 및 이 식각용 조성물을 이용한 식각 공정을 포함하는 반도체 소자의 제조 방법에 관한 것으로서, 상기 식각용 조성물은 제 1 무기산, 제 1 첨가제, 그리고 용매를 포함한다. 상기 식각용 조성물은 산화막의 식각율을 최소화하면서 질화막을 선택적으로 제거할 수 있으며, 소자 특성에 악영향을 미치는 파티클 발생 등의 문제점을 갖지 않는 고선택비의 식각용 조성물이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e6e145716681d841c7f10ea6aee5cf9742c2bab427cc2ead4fdd6de89e03e0148012a8f2bb193764daa4da5f82fe47d077eaf7c309f6f4c4,True,True,False,2,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,4,C09K,C09K 13,False,False,2,True,True,2017.0
1020210081292,1020210081292,1020220170456.0,1020220170456.0,,,공개,공개,공개 공개,전지용 전해액 및 이를 포함하는 이차전지,전지용 전해액 및 이를 포함하는 이차전지,솔브레인 주식회사,솔브레인 주식회사,,20210623,2021,20221230,20221230,,,H01M 10/0567|H01M 10/052,H01M 10/0567|H01M 10/052,,,"본 발명은 전해액 첨가제, 전지용 전해액 및 이를 포함하는 이차전지에 관한 것으로, 본 발명에 따르면 방전 저항이 낮아 충전 효율 및 출력이 향상될 수 있고, 가스발생을 억제하여 장기 수명 및 고온 용량 유지율이 우수한 이차전지를 제공하는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9374f15c8a0c717cba4c9acae95aec482c7193c0c04fb871fd65ae640de89ebd397440b5c5916ad81e23a28df9e938179cf0bfb93a627af722,False,False,False,0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,5,H01M,H01M 10,False,False,0,False,False,2021.0
1020250160555,1020250160555,1020260069430.0,1020260069430.0,,,공개,공개,공개 공개,고순도 아이오딘화수소의 정제방법,고순도 아이오딘화수소의 정제방법,솔브레인 주식회사,솔브레인 주식회사,,20251030,2025,20260515,20260515,,,C01B 7/13|C23C 16/40|C23C 16/34|C23C 16/14|H10P 10/00|H10P 14/42,C01B 7/13|C23C 16/40|C23C 16/34|C23C 16/14|H10P 10/00|H10P 14/42,,,"본 발명은 초고순도 아이오딘화수소의 정제방법에 관한 것으로, 본 발명에 따르면 고순도 아이오딘화수소를 분해 또는 흡착하지 않으면서 고순도 아이오딘화수소에 포함된 10 ppm 이하의 수분만 0.1 ppm 이하로 제거할 수 있는 순도 99.999 내지 99.99999999%의 초고순도 아이오딘화수소의 정제방법을 제공하는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c937307e90534ec1c8469f688cc033fde1d9d0ceaef2271d00eda9f17959b6490988b65600c725b8505180d3e50206ff79efa46605cb14474df,False,False,False,0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,6,C01B,C01B 7,False,False,0,False,False,2025.0
1020250119032,1020250119032,1020260030679.0,1020260030679.0,,,공개,공개,공개 공개,"옥시던트 흡수제, 이를 이용한 박막 표면의 산화제어 방법, 이로부터 제조된 반도체 기판 및 반도체 소자","옥시던트 흡수제, 이를 이용한 박막 표면의 산화제어 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,솔브레인 주식회사,,20250826,2025,20260306,20260306,,,H10P 10/00|C23C 16/40|C23C 16/455,H10P 10/00|C23C 16/40|C23C 16/455,,,"본 발명은 옥시던트 흡수제, 이를 이용한 박막 표면의 산화제어 방법 및 이로부터 제조된 반도체 기판 및 반도체 소자에 관한 것으로, 본 발명에 따르면 소정 구조의 화합물을 옥시던트 흡수제로 제공하여 기판 또는 상기 기판 상의 전극에 유전층을 형성할 때 불가피한 표면의 산화를 줄임으로써 불순물 함량을 저감할 수 있고, 복잡한 구조의 박막에 적용하더라도 전극금속 산화막 또는 기판 산화막 등의 계면 층 두께를 최소를 최소화하거나 바람직하게는 전극금속 산화막 또는 기판 산화막을 없앨 수 있어 박막의 막질과 전기적 특성 및 터널링 효과을 개선하는 옥시던트 흡수제, 이를 이용한 박막 표면의 산화제어 방법 및 이로부터 제조된 반도체 기판 등을 제공하는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=348aaf18c46825cf02d6c2de1c78338eac833154c0a37dacc3b70644ce56eaf141dcfbf09c7f476f0b7e7fc119433885de3ad434b7c3e1eceb1795e9bc3ad5769eb1e6b1ee666628,False,False,False,3,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,7,H10P,H10P 10,False,False,3,False,False,2025.0
1020230147439,1020230147439,1020240131239.0,1020240131239.0,,,공개,공개,공개 공개,"박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자","박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,솔브레인 주식회사,,20231031,2023,20240830,20240830,,,H10P 14/42|H10P 10/00|C23C 16/06|C23C 16/34|C23C 16/455,H10P 14/42|H10P 10/00|C23C 16/06|C23C 16/34|C23C 16/455,,,"본 발명은 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자에 관한 것으로, 소정의 환원제를 적용하여 고집적화되거나 복잡한 구조를 갖는 기판위에 박막을 형성하는 경우에도 박막의 두께 균일도를 크게 향상시킬 수 있고, 불순물이 저감, 박막 밀도, 비저항 개선을 통해 막질이 효과적으로 개선되는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9301b09aebc21c1e7bcb8d0dd5030668d63371f00a1d123fdd76243f553779b3bc0a4507bbc40e2f2f1e6a6b62d5e0943959bf121971169761,False,False,False,3,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,8,H10P,H10P 14,False,False,3,False,False,2023.0
1020200115382,1020200115382,1020220033231.0,1020220033231.0,1029644440000.0,1029644440000.0,등록,등록,등록 등록,전해염의 제조방법,전해염의 제조방법,솔브레인 주식회사,솔브레인 주식회사,,20200909,2020,20220316,20220316,20260508.0,20260508.0,H01M 10/0568|C07F 19/00|C07F 1/02|C07F 5/02,H01M 10/0568|C07F 19/00|C07F 1/02|C07F 5/02,,,"본 발명은 전해염의 제조방법에관한 것으로, 보다 구체적으로는 리튬 화합물 및 붕소 화합물을 특정 범위의 크기를 갖는 입자로 분쇄하고, 상기 분쇄물 및 옥살산 화합물을 물에 분산시킨 후, 물에 분산된 반응물들을 반응시켜 리튬-붕소 착염을 생성하는 것을 특징으로 한다. 본 발명은 전해염을 보다 개선된 수율로 제조하며, 상기 전해염을 전지의 전해액에 첨가 시 전지 성능 향상 효과를 보다 개선시키는 효과를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93983a0f4c690714d8d8035c1f347be870c548102ba6edbeee0e8bc74cd62e51b0ecf2b42a929728db2d2ce612be7cedf88f655cd756fcef02,True,True,False,0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,9,H01M,H01M 10,False,False,0,True,True,2020.0
1020220139425,1020220139425,1020240058557.0,1020240058557.0,,,공개,공개,공개 공개,"진공 기반 박막 개질제, 이를 포함한 박막 개질 조성물, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자","진공 기반 박막 개질제, 이를 포함한 박막 개질 조성물, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,솔브레인 주식회사,,20221026,2022,20240503,20240503,,,H10P 10/00|H10P 50/28|C23C 16/02|C23C 16/455,H10P 10/00|H10P 50/28|C23C 16/02|C23C 16/455,,,"본 발명은 진공 기반 박막 개질제, 이를 포함한 박막 개질 조성물, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자에 관한 것으로, 소정 구조의 화합물을 진공 기반 박막 개질제로 제공하여 진공 기반의 박막 공정시 증착막의 성장률을 적절히 낮추어 복잡한 구조를 갖는 기판위에 박막을 형성하는 경우에도 단차 피복성(step coverage) 및 박막의 두께 균일성을 크게 향상시킬 수 있고, 식각막의 효율을 개선할 수 있으며, 탄소 등의 불순물 오염이 현저하게 저감되는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b1bd11bec33dcd6cac554707b1b96cffa2365904ed14fb227598e827fb41d950c75071f17664e3adc06edd8f00c21f71f43e192d35379889,False,False,False,3,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,10,H10P,H10P 10,False,False,3,False,False,2022.0
1020240149442,1020240149442,1020260062431.0,1020260062431.0,,,공개,공개,공개 공개,금속막 연마를 위한 화학적 기계적 연마 슬러리 조성물 및 이를 이용한 연마 방법,금속막 연마를 위한 화학적 기계적 연마 슬러리 조성물 및 이를 이용한 연마 방법,솔브레인 주식회사,솔브레인 주식회사,,20241029,2024,20260507,20260507,,,C09G 1/02|C09K 3/14|H10P 14/40,C09G 1/02|C09K 3/14|H10P 14/40,,,"본 발명의 일 실시예는 연마재; 탈이온수; 산화제; 및 부식방지제;를 포함하고 상기 부식방지제에 의해 금속막의 연마율은 높게 유지하면서도, 에칭 속도는 크게 저감할 수 있는 것을 특징으로 하는, 금속막 연마용 슬러리 조성물을 제공한다. 이와 더불어 부식방지 성능을 슬러리 단계에서 확인할 수 있는 기준 범위를 제시하는 것을 그 목적으로 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931745e9cb461845bb7fdb522d285ef1ee8f4eb6902dc3a7aa4cbc682e1a968565676fb75fecb095f49cdc8abba426adf315071e551963c91f,False,False,False,0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,,11,C09G,C09G 1,False,False,0,False,False,2024.0
