record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
"1020240189632|1029568130000|원자층 식각 물질, 원자층 식각 방법, 이로부터 제조된 반도체 기판 및 반도체 소자|솔브레인 주식회사","원자층 식각 물질, 원자층 식각 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,1020240189632,1020250095547,1029568130000,등록,2024,2025,2026,C09K; H10P,,공정; 기판; 반도체; 소자,True,True,False,61.0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,30
"1020220138088|1028553700000|계단율 개선제, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자|솔브레인 주식회사","계단율 개선제, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,1020220138088,1020230139760,1028553700000,등록,2022,2023,2025,C23C; H10P,,차폐; 기판; 반도체; 소자,True,True,False,61.0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,35
1020170178590|1025348410000|식각용 조성물 및 이를 이용한 반도체 소자의 제조방법|솔브레인 주식회사,식각용 조성물 및 이를 이용한 반도체 소자의 제조방법,솔브레인 주식회사,1020170178590,1020180075416,1025348410000,등록,2017,2018,2023,C09K; H10P,,공정; 반도체; 소자,True,True,False,54.0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,3
1020080080626|1010375260000|화학적 기계적 연마 조성물 및 이를 이용한 반도체 소자의 제조 방법|에스케이하이닉스 주식회사|솔브레인홀딩스 주식회사,화학적 기계적 연마 조성물 및 이를 이용한 반도체 소자의 제조 방법,에스케이하이닉스 주식회사|솔브레인홀딩스 주식회사,1020080080626,1020100021941,1010375260000,등록,2008,2010,2011,C09G; C09K; H10P,,기판; 반도체; 소자,True,True,False,51.5,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,27
"1020220139425||진공 기반 박막 개질제, 이를 포함한 박막 개질 조성물, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자|솔브레인 주식회사","진공 기반 박막 개질제, 이를 포함한 박막 개질 조성물, 이를 이용한 박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,1020220139425,1020240058557,,공개,2022,2024,,H10P; C23C,,공정; 기판; 반도체; 소자,True,False,False,51.0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,9
"1020210115060|1024846520000|산화 세륨 입자 및 이의 제조방법, 산화 세륨 입자를 포함하는 화학적 기계적 연마 슬러리 조성물의 제조방법|솔브레인 주식회사","산화 세륨 입자 및 이의 제조방법, 산화 세륨 입자를 포함하는 화학적 기계적 연마 슬러리 조성물의 제조방법",솔브레인 주식회사,1020210115060,1020220029510,1024846520000,등록,2021,2022,2022,C09G; C09K; H10P,,,True,True,False,50.5,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,32
"1020240151750||초박막, 초박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자|솔브레인 주식회사","초박막, 초박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,1020240151750,1020250064633,,공개,2024,2025,,H10P; C23C; H10W,,기판; 반도체; 소자,True,False,False,49.5,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,37
1020210190905||화학적 기계적 연마 슬러리 조성물 및 반도체 소자의 제조 방법|솔브레인 주식회사,화학적 기계적 연마 슬러리 조성물 및 반도체 소자의 제조 방법,솔브레인 주식회사,1020210190905,1020220055447,,공개,2021,2022,,C09G; C09K; H10P; B24B,,반도체; 소자,True,False,False,48.0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,2
"1020250119032||옥시던트 흡수제, 이를 이용한 박막 표면의 산화제어 방법, 이로부터 제조된 반도체 기판 및 반도체 소자|솔브레인 주식회사","옥시던트 흡수제, 이를 이용한 박막 표면의 산화제어 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,1020250119032,1020260030679,,공개,2025,2026,,H10P; C23C,,기판; 반도체; 소자,True,False,False,48.0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,6
"1020230147439||박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자|솔브레인 주식회사","박막 형성 방법, 이로부터 제조된 반도체 기판 및 반도체 소자",솔브레인 주식회사,1020230147439,1020240131239,,공개,2023,2024,,H10P; C23C,,기판; 반도체; 소자,True,False,False,48.0,data\반도체\솔브레인\tech\source\soulbrain_kipris_plus_bibliographic_raw.csv,7
