source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020170027133,63355514,,CN,CN,CN,,201810154906,20180223,108541079,20180914,,,201810154906,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020170027133,63355514,,CN,CN,CN,,201810154906,20180223,108541079,20220318,,,201810154906,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020170027133,63355514,,US,US,US,,201815901542,20180221,2018255598,20180906,,,201815901542,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170027133,63355514,,US,US,US,,201815901542,20180221,10314097,20190604,,,201815901542,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020190056251,73228072,,CN,CN,CN,,201910665145,20190723,111947691,20201117,,,201910665145,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190056251,73228072,,CN,CN,CN,,201910665145,20190723,111947691,20220318,,,201910665145,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190056251,73228072,,US,US,US,,201916447984,20190621,2020363553,20201119,,,201916447984,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020190056251,73228072,,US,US,US,,201916447984,20190621,10884152,20210105,,,201916447984,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020250211141,85512969,,KR,KR,KR,,20210115502,20210831,20230032542,20230307,,,20210115502,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020210115502,85512969,,KR,KR,KR,,20250211141,20251226,20260010669,20260121,,,20250211141,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020170184495,67059052,,US,US,US,,201816157034,20181010,10523416,20191231,,,201816157034,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170184495,67059052,,US,US,US,,201816157034,20181010,2019207743,20190704,,,201816157034,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170157993,66632882,,US,US,US,,201816156999,20181010,11057855,20210706,,,201816156999,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170157993,66632882,,US,US,US,,201816156999,20181010,2019166573,20190530,,,201816156999,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220175685,91485241,,CN,CN,CN,,202380069754,20231201,119968769,20250509,,,202380069754,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220175685,91485241,,JP,JP,JP,,2025515433,20231201,2025529439,20250904,,,2025515433,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220175685,91485241,,KR,KR,WO,,2023019644,20231201,2024128645,20240620,,,2023019644,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020200063226,78672705,,CN,CN,CN,,202110534907,20210517,113719443,20211130,,,202110534907,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020200063226,78672705,,CN,CN,CN,,202110534907,20210517,113719443,20230919,,,202110534907,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020200115677,80742551,,CN,CN,CN,,202111045830,20210907,114244233,20220325,,,202111045830,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020140012386,53778176,,KR,KR,WO,,2015001138,20150204,2015119422,20150813,,,2015001138,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020130036324,51658605,,US,US,US,,201514873351,20151002,2017060333,20170302,,,201514873351,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020130036324,51658605,,KR,KR,WO,,2014002782,20140401,2014163374,20141009,,,2014002782,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
