record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020240153040|1029278550000|역률 보상 회로의 전류 검출 장치|어보브반도체 주식회사|국립목포해양대학교산학협력단,역률 보상 회로의 전류 검출 장치,어보브반도체 주식회사|국립목포해양대학교산학협력단,1020240153040,,1029278550000,등록,2024,2026,2026,G01R,,소자,True,True,False,50.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,12
1020230180307|1028570390000|역률 보상 회로의 스위칭 지연 보상 장치 및 방법|어보브반도체 주식회사|국립목포해양대학교산학협력단,역률 보상 회로의 스위칭 지연 보상 장치 및 방법,어보브반도체 주식회사|국립목포해양대학교산학협력단,1020230180307,1020250090553,1028570390000,등록,2023,2025,2025,H02M,,소자,True,True,False,50.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,14
1020250038101|1028806010000|하이 사이드 스위치 제어를 이용한 DC-LINK 대용량 캐퍼시터 충전 시스템 및 방법|어보브반도체 주식회사,하이 사이드 스위치 제어를 이용한 DC-LINK 대용량 캐퍼시터 충전 시스템 및 방법,어보브반도체 주식회사,1020250038101,,1028806010000,등록,2025,2025,2025,H02J; H01M,,,True,True,False,49.0,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,23
1020210056331|1025923310000|배터리 장착 감지 시스템|어보브반도체 주식회사,배터리 장착 감지 시스템,어보브반도체 주식회사,1020210056331,1020220149114,1025923310000,등록,2021,2022,2023,H02J; G01R,,,True,True,False,49.0,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,24
1020240165268|1029604750000|오프셋 자동제거 증폭기|어보브반도체 주식회사|충남대학교산학협력단,오프셋 자동제거 증폭기,어보브반도체 주식회사|충남대학교산학협력단,1020240165268,,1029604750000,등록,2024,2026,2026,H03F,,,True,True,False,47.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,2
1020210067166|1025519410000|터치 감지 장치|어보브반도체 주식회사,터치 감지 장치,어보브반도체 주식회사,1020210067166,1020220159161,1025519410000,등록,2021,2022,2023,G06F,,,True,True,False,47.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,9
1020220175685|1027335270000|전동기 부하 변동 보상 장치|어보브반도체 주식회사|국립목포해양대학교산학협력단,전동기 부하 변동 보상 장치,어보브반도체 주식회사|국립목포해양대학교산학협력단,1020220175685,1020240092889,1027335270000,등록,2022,2024,2024,H02P,,,True,True,False,47.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,25
1020190005025|1020973070000|무선 전력 전송 수신단의 전류 복조 장치|어보브반도체 주식회사,무선 전력 전송 수신단의 전류 복조 장치,어보브반도체 주식회사,1020190005025,,1020973070000,등록,2019,2020,2020,H02J,,소자,True,True,False,46.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,30
1020100024730|1011986980000|배터리 충전회로|어보브반도체 주식회사,배터리 충전회로,어보브반도체 주식회사,1020100024730,1020110105536,1011986980000,등록,2010,2011,2012,H02J; H05K; H01M,,EMI,True,True,False,45.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,22
1020190056251|1022525720000|그립 센싱 방법 및 장치|어보브반도체 주식회사,그립 센싱 방법 및 장치,어보브반도체 주식회사,1020190056251,1020200131524,1022525720000,등록,2019,2020,2021,G06F; H03K,,,True,True,False,45.0,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,6
1020190089315|1022489840000|고감도 터치 센서|어보브반도체 주식회사|김윤기,고감도 터치 센서,어보브반도체 주식회사|김윤기,1020190089315,1020210012132,1022489840000,등록,2019,2021,2021,G06F; H03K,,,True,True,False,45.0,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,8
1020200063226|1023420010000|압축기의 제어 장치 및 압축기의 제어 방법|어보브반도체 주식회사|국립목포해양대학교산학협력단,압축기의 제어 장치 및 압축기의 제어 방법,어보브반도체 주식회사|국립목포해양대학교산학협력단,1020200063226,1020210146137,1023420010000,등록,2020,2021,2021,F04B,,,True,True,False,43.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,26
1020200115677|1024611280000|영구자석 전동기의 센서리스 제어 장치 및 제어 방법|어보브반도체 주식회사|국립목포해양대학교산학협력단,영구자석 전동기의 센서리스 제어 장치 및 제어 방법,어보브반도체 주식회사|국립목포해양대학교산학협력단,1020200115677,1020220033367,1024611280000,등록,2020,2022,2022,H02P,,,True,True,False,43.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,27
1020150175604|1021262860000|송신 전력을 조절하는 전자 장치 및 방법|삼성전자주식회사|어보브반도체 주식회사,송신 전력을 조절하는 전자 장치 및 방법,삼성전자주식회사|어보브반도체 주식회사,1020150175604,1020170068754,1021262860000,등록,2015,2017,2020,H04B; H04M; H04W,,,True,True,False,42.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,1
1020110126336|1012662890000|오프셋 전하량이 제거된 터치 패널의 전하량 감지장치 및 방법|어보브반도체 주식회사,오프셋 전하량이 제거된 터치 패널의 전하량 감지장치 및 방법,어보브반도체 주식회사,1020110126336,,1012662890000,등록,2011,2013,2013,G01R; G06F; G01D,,,True,True,False,42.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,5
1020110048995|1012593950000|마이크로 컨트롤러 및 그의 동작방법|어보브반도체 주식회사,마이크로 컨트롤러 및 그의 동작방법,어보브반도체 주식회사,1020110048995,1020120130923,1012593950000,등록,2011,2012,2013,G06F,,공정,True,True,False,42.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,10
1020140012386|1015859290000|근접 터치 방지용 터치 키 모듈 및 근접 터치 방지 방법|어보브반도체 주식회사,근접 터치 방지용 터치 키 모듈 및 근접 터치 방지 방법,어보브반도체 주식회사,1020140012386,1020150091761,1015859290000,등록,2014,2015,2016,G06F,,기판,True,True,False,42.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,28
1020170157993|1020973650000|채널 코딩이 적용된 블루투스 신호의 액세스 어드레스 검출 방법 및 그 블루투스 장치|어보브반도체 주식회사,채널 코딩이 적용된 블루투스 신호의 액세스 어드레스 검출 방법 및 그 블루투스 장치,어보브반도체 주식회사,1020170157993,1020190060131,1020973650000,소멸,2017,2019,2020,H04L; H04W,,,True,True,True,40.0,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,21
1020130036320|1015134370000|동적으로 클럭 속도를 관리하는 시스템 및 그 방법|어보브반도체 주식회사,동적으로 클럭 속도를 관리하는 시스템 및 그 방법,어보브반도체 주식회사,1020130036320,1020140120502,1015134370000,등록,2013,2014,2015,H03K,,,True,True,False,39.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,7
1020130036324|1015859340000|정전용량 방식 터치패널|어보브반도체 주식회사,정전용량 방식 터치패널,어보브반도체 주식회사,1020130036324,1020140120504,1015859340000,등록,2013,2014,2016,G06F,,,True,True,False,39.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,29
1020240085280||파워 온 리셋 회로|어보브반도체 주식회사,파워 온 리셋 회로,어보브반도체 주식회사,1020240085280,1020260001816,,공개,2024,2026,,H03K; G06F,,,True,False,False,39.0,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,11
1020170027133|1020013660000|복수 기기의 저전력블루투스 연결방법|어보브반도체 주식회사,복수 기기의 저전력블루투스 연결방법,어보브반도체 주식회사,1020170027133,1020180100833,1020013660000,소멸,2017,2018,2019,H04W,,,True,True,True,38.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,3
1020170184494|1021292850000|이원 상관기와 구간합 궤환을 이용하여 반송파 주파수 오프셋 추정 및 패킷 검출을 동시에 수행하는 방법 및 그 수신 장치|어보브반도체 주식회사,이원 상관기와 구간합 궤환을 이용하여 반송파 주파수 오프셋 추정 및 패킷 검출을 동시에 수행하는 방법 및 그 수신 장치,어보브반도체 주식회사,1020170184494,1020190081746,1021292850000,소멸,2017,2019,2020,H04L,,,True,True,True,38.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,4
1020170160602|1021107740000|채널 코딩이 적용된 GFSK 신호의 연판정 복조 방법 및 그 방법을 사용하는 수신 장치|어보브반도체 주식회사,채널 코딩이 적용된 GFSK 신호의 연판정 복조 방법 및 그 방법을 사용하는 수신 장치,어보브반도체 주식회사,1020170160602,1020190061827,1021107740000,소멸,2017,2019,2020,H04L,,,True,True,True,38.5,data\반도체\어보브반도체\tech\source\abov_kipris_plus_bibliographic_raw.csv,13
