application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020220160392,1020220160392,,,1025468870000.0,1025468870000.0,등록,등록,등록 등록,커플링 장치,커플링 장치,(주)에스티아이,(주)에스티아이,,20221125,2022,20230626,20230626,20230620.0,20230620.0,B67B 7/42|B67B 7/18|B67D 7/02,B67B 7/42|B67B 7/18|B67D 7/02,,,"실시예는, 소정의 길이를 갖는 튜브를 포함하는 커플링 유닛을 고정하는 체결부; 상기 체결부를 수직 방향으로 이동시켜 상기 커플링 유닛을 용기의 입구에 삽입하거나 또는 분리시키는 구동부; 및 상기 구동부의 하강시 상기 튜브가 상기 용기의 입구에 정상적으로 삽입되는지 감지하는 감지부를 포함하는 커플링 장치를 개시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93676b5d52850a81e56d72f7aa286445c123adf60f1c3d50bbd434568bac495d647bd4050793431257cac69cfadcc1632addd31d61e7b21911,True,True,False,0,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,2,B67B,B67B 7,False,False,0,True,True,2022.0
1020200185863,1020200185863,1020220020745.0,1020220020745.0,1025517920000.0,1025517920000.0,등록,등록,등록 등록,일체형 커플링 모듈 및 이를 포함하는 커플링 시스템,일체형 커플링 모듈 및 이를 포함하는 커플링 시스템,(주)에스티아이,(주)에스티아이,,20201229,2020,20220221,20220221,20230630.0,20230630.0,B67B 7/42|B67B 7/18,B67B 7/42|B67B 7/18,,,"실시예는 용기의 뚜껑을 파지하는 캡 파지부를 포함하는 개폐 모듈; 및 상기 용기 내의 액체를 외부로 배출하는 커플러를 고정하는 커플러 고정 모듈을 포함하고, 상기 커플러는 상기 캡 파지부의 상부에 배치되는 일체형 커플링 모듈 및 이를 포함하는 커플링 시스템을 개시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93eff3e94a9178e75ac4098e6fb3c2b9755db7c2c805278d60b0fb355608d967ed86fc10b6d5c289783064e903cbf25bc81d46a4a457f4f376,True,True,False,0,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,3,B67B,B67B 7,False,False,1,True,True,2020.0
1020240152131,1020240152131,,,1029182120000.0,1029182120000.0,등록,등록,등록 등록,건식 세정 장치,건식 세정 장치,(주)에스티아이,(주)에스티아이,,20241031,2024,20260127,20260127,20260122.0,20260122.0,H10P 72/00|H10P 72/30|H10P 72/50|H10P 10/00|B08B 3/12|B08B 5/04,H10P 72/00|H10P 72/30|H10P 72/50|H10P 10/00|B08B 3/12|B08B 5/04,,,"건식 세정 장치가 개시된다. 본 발명의 일 실시 예에 따른 건식 세정 장치는, 기판을 제1 방향으로 반송 가능한 반송 모듈; 및 상기 반송 모듈과 나란하게 구비되고, 상기 기판에 기체를 분사하여, 상기 기판 상의 이물질을 흡기 가능한 세정 모듈을 포함하되, 상기 반송 모듈은, 상기 기판의 일면을 지지 가능한 제1 반송 모듈; 및 상기 제1 반송 모듈과 상기 제1 방향과 직교하는 제2 방향으로 대향하고, 상기 기판의 타면을 지지 가능한 제2 반송 모듈을 포함하고, 상기 세정 모듈은, 상기 기판의 일면을 향하며 세정 가능한 제1 세정 모듈; 및 상기 제1 세정 모듈과 상기 제2 방향으로 대향하고, 상기 기판의 타면을 항하며 세정 가능한 제2 세정 모듈을 포함하고, 상기 제1 세정 모듈은, 초음파를 조사 가능한 초음파 조사기; 및 기류 조성부가 형성된 하우징을 더 포함하고, 상기 제1 반송 모듈은, 동력에 의해 회전 가능한 반송 샤프트; 및 상기 반송 샤프트의 회전력에 의해 회전하며 상기 기판을 반송 가능한 반송 롤러를 포함하고, 상기 반송 샤프트 중 적어도 어느 하나는, 상기 하우징의 기류 조성부 내 수용되도록 배치되어, 상기 기판의 반송과 동시에 상기 기판의 세정을 수행할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b144c06a58faaf7bd8db83f724310456e869e4cf23c21aaf9a7a3b1ba0d2198059d5111a81b9c1a3bdd7f16e574cb7e80978046bbba1637e,True,True,False,1,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,4,H10P,H10P 72,False,False,2,True,True,2024.0
1020210005962,1020210005962,1020220020747.0,1020220020747.0,1025517930000.0,1025517930000.0,등록,등록,등록 등록,일체형 커플링 모듈 및 이를 포함하는 커플링 시스템,일체형 커플링 모듈 및 이를 포함하는 커플링 시스템,(주)에스티아이,(주)에스티아이,,20210115,2021,20220221,20220221,20230630.0,20230630.0,B67B 7/42|B67B 7/18,B67B 7/42|B67B 7/18,,,"실시예는, 용기의 뚜껑을 파지하는 캡 파지부를 포함하는 개폐 모듈; 및 상기 용기 내의 액체를 외부로 배출하는 커플러를 고정하는 커플러 고정 모듈을 포함하고, 상기 커플러는 상기 캡 파지부의 상부에서 하강하여 상기 용기에 결합되는 일체형 커플링 모듈 및 이를 포함하는 커플링 시스템을 개시한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93eff3e94a9178e75a46d1bf582d92098fef7321090734ec72d60c563de8709dd3d2301d34e6f05928569984833a09332458fae3abf39873d8,True,True,False,0,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,5,B67B,B67B 7,False,False,1,True,True,2021.0
1020240161486,1020240161486,1020260072368.0,1020260072368.0,,,공개,공개,공개 공개,단결정 성장 장치,단결정 성장 장치,주식회사 에스티아이,주식회사 에스티아이,,20241113,2024,20260520,20260520,,,C30B 15/14|C30B 15/20|C30B 15/28|C30B 15/10|C30B 35/00,C30B 15/14|C30B 15/20|C30B 15/28|C30B 15/10|C30B 35/00,,,"본 발명은 단결정 잉곳을 제조하기 위한 단결정 성장 장치에 관한 것으로, 도가니(100)와, 상기 도가니 상부에 구비되고 종자결정이 부착된 단결정 인상봉(210)과 이를 구동하는 구동모터(220), 상기 도가니(100)를 둘러싸도록 형성된 항온 가열수단(300), 상기 도가니(100)와 항온 가열수단(300)을 둘러싸도록 형성된 챔버(400), 상기 챔버(400)의 상부에 구비되어 도가니(100)의 내부 용융 재료 용액 온도를 측정하는 적어도 하나 이상의 온도측정센서(500), 상기 온도측정센서(500)로부터 출력되는 신호에 따라 상기 항온 가열수단(300)의 동작을 제어함과 아울러 단결정 인상봉(210)의 승강을 제어하는 제어부(600)를 포함하여 구성되어 단결정 성장 속도를 정확하게 제어하면서 도가니를 균일하게 가열하여 단결정 성장 품질을 향상시키는 단결정 성장 장치에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939ef37838d7979f248b24efc013628b2424ea7f49d72ea134a9b95f1f7d9871fe0036d4dff4d3063d4b598d43e4d53b8707c34151010b6ff9,False,False,False,0,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,6,C30B,C30B 15,False,False,0,False,False,2024.0
1020240100125,1020240100125,,,1029070960000.0,1029070960000.0,등록,등록,등록 등록,캐리어 및 기판적재용 로봇암,캐리어 및 기판적재용 로봇암,(주)에스티아이,(주)에스티아이,,20240729,2024,20260102,20260102,20251229.0,20251229.0,H10P 72/10|H10P 72/30|H10P 72/76|H10P 72/70|C23C 14/50|B25J 15/06,H10P 72/10|H10P 72/30|H10P 72/76|H10P 72/70|C23C 14/50|B25J 15/06,,,"본 발명은 생산능력을 향상시키고, 자동으로 기판을 캐리어에 수납할 수 있는 캐리어 및 기판적재용 로봇암에 관한 것이다. 이를 위하여, 본 발명은 복수의 기판이 수납되어 증착공정에 투입되는 캐리어에 있어서, 상기 캐리어에는 기판이 수납되는 기판수납부가 복수개 구비되며, 상기 기판수납부는 사각형의 기판을 수납하도록 구비되고, 상기 기판이 수평면에 비해 일정 각도 경사지게 수납되도록 구비되는 캐리어를 제공한다. 따라서, 본 발명에 의하면, 하나의 캐리어에 적재되는 기판의 개수를 증가시켜 생산성을 향상시키고, 수직이송 캐리어에서 기판을 견고하게 고정하여 품질을 향상시킬 수 있는 이점이 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d3814478d4f451ce5b686d3c121f4dc5e3050ac28d94998209da89dc81bd91fabd8ce6c12987b39a8fa24e5bc702281983106c169d759f20,True,True,False,1,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,7,H10P,H10P 72,False,False,1,True,True,2024.0
1020240108851,1020240108851,1020260024677.0,1020260024677.0,,,공개,공개,공개 공개,타겟교체용 대차리프트,타겟교체용 대차리프트,(주)에스티아이,(주)에스티아이,,20240814,2024,20260223,20260223,,,B62B 3/06|B62B 3/10|B62B 5/00|B62B 5/04,B62B 3/06|B62B 3/10|B62B 5/00|B62B 5/04,,,"본 발명은 처리장치 내의 타겟을 교체 및 수리하기 위하여 용이하게 하부리드를 분해 및 결합할 수 있도록 하여 주는 타겟교체용 대차리프트에 관한 것이다. 이를 위하여, 본 발명은 이동가능한 바퀴부; 상기 바퀴부의 상부에 구비되어 상하로 구동되는 리프트부; 및 상기 리프트부의 상단에 구비되어 처리장치의 하부리드와 접촉하는 탑플레이트를 포함하여 구성되며, 상기 탑플레이트에는 상기 하부리드와의 안정적인 접촉을 위해 상하로 이동가능한 복수의 레벨러가 구비되는 타겟교체용 대차리프트를 제공한다. 따라서, 본 발명에 의하면, 증착 처리장치에서 하부리드의 타겟 교체시 교체시간 및 노동력을 절감하여 효율적으로 교체 및 보수할 수 있는 이점이 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933e4fb881f1a77054010fa31f2bce4889ba5ad53ff6086a10991e7dc1fee8b6304529ae920d05a16d1a8ee69c66dccbe4d5723407c0bea4e8,False,False,False,0,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,8,B62B,B62B 3,False,False,0,False,False,2024.0
1020240151012,1020240151012,1020260064925.0,1020260064925.0,,,공개,공개,공개 공개,박막 두께 측정용 보조기구 및 그것을 이용한 박막 두께 측정방법,박막 두께 측정용 보조기구 및 그것을 이용한 박막 두께 측정방법,(주)에스티아이,(주)에스티아이,,20241030,2024,20260508,20260508,,,G01B 21/08|G01B 21/04,G01B 21/08|G01B 21/04,,,"본 발명은 실제 기판을 사용하지 않고 금속박막의 정확한 두께를 측정할 수 있는 박막 두께 측정용 보조기구 및 그것을 이용한 박막 두께 측정방법에 관한 것이다. 이를 위하여, 본 발명은 중앙에 제1중공이 형성된 하판에 유리판을 삽입하는 단계; 상기 유리판 위에 제2중공이 형성된 상판을 결합하는 단계; 상기 유리판 위에 박막을 증착하는 단계; 상기 유리판 중 증착이 되지 않은 부분 및 증착이 완료된 부분의 두께를 측정하여 박막의 두께를 결정하는 단계를 수행하는 박막 두께 측정방법을 제공한다. 따라서, 본 발명에 의하면, 실제 기판을 사용하지 않고 용이한 방법으로 금속박막의 두께를 정확하게 측정할 수 있으며, 보조기구를 클리닝하여 재사용이 가능하므로 박막 두께 측정을 위해 필요한 비용을 대폭 절감할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9368411ab1e9d5975d919e2d886549a8061aac06ce524be1433bbea748a5cd8c74f7889a2aeb7c52b1e0177a63aadb3ca1852b02f5c9f62de5,False,False,False,1,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,9,G01B,G01B 21,False,False,1,False,False,2024.0
1020240145505,1020240145505,1020260059057.0,1020260059057.0,,,공개,공개,공개 공개,자동 기판배출장치,자동 기판배출장치,(주)에스티아이,(주)에스티아이,,20241023,2024,20260430,20260430,,,H10P 72/30|H10P 72/70|H10P 72/76,H10P 72/30|H10P 72/70|H10P 72/76,,,"본 발명은 증착과 같은 처리가 완료된 기판을 자동으로 다른 기판과 함께 적층하여 외부로 반출하도록 한 자동 기판배출장치에 관한 것이다. 이를 위하여, 본 발명은 처리된 제1기판이 적재된 캐리어를 수납하는 캐리어수납부; 복수의 기판이 적층되어 이송되는 합체베이스; 상기 캐리어에 적재된 제1기판을 상기 합체베이스로 이송하는 제1기판이송부; 상기 제1기판과 함께 적층될 제2기판을 상기 합체베이스로 이송하는 제2기판이송부; 및 각 장치의 구동을 제어하는 제어부를 포함하여 구성되는 자동 기판배출장치를 제공한다. 따라서, 본 발명에 의하면, 처리가 완료된 기판을 캐리어에서 인출하여 다른 기판과 함께 자동으로 적층시켜 배출함으로써 빠른 시간에 정확하게 처리완료 기판의 배출작업을 수행할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b005ae81dc5fc8d1b70ecd5a8276ddf0ecd5a59707ef93cc9712c545d6c407ded628f9375753aa84a6a352951671b0dae76a753077e575bf,False,False,False,1,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,10,H10P,H10P 72,False,False,1,False,False,2024.0
1020240093765,1020240093765,1020260011433.0,1020260011433.0,,,공개,공개,공개 공개,기판 공정 시스템 및 이를 이용한 기판 공정 방법,기판 공정 시스템 및 이를 이용한 기판 공정 방법,(주)에스티아이,(주)에스티아이,,20240716,2024,20260123,20260123,,,H10P 72/30|H10P 72/00,H10P 72/30|H10P 72/00,,,"기판 공정 시스템과 이를 이용한 기판 공정 방법이 개시된다. 본 발명의 일 실시 예에 따른 기판 공정 시스템은, 승하강 모듈에 의해 제1 방향으로 위치 이동하고, 복수개의 캐리어를 적재 가능한 로딩 스태커를 가지는 로딩 섹션; 상기 제1 방향과 직교하는 제2 방향에서 복수개의 공정 챔버를 연속적으로 배치한 공정 섹션; 및 상기 로딩 섹션과 상기 공정 섹션을 따라 상기 캐리어를 위치 이동시키는 이송 모듈을 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933f486c1a3733c774eb56d332080146138ea7bf74fba75ec2203d8edd94f2704361c04ddea4d4f221062bcd2fa91db7b93a9c0d23e03ca1c8,False,False,False,1,data\반도체\에스티아이\tech\source\sti_kipris_plus_bibliographic_raw.csv,,11,H10P,H10P 72,False,False,2,False,False,2024.0
