date,open,high,low,close,adj_close,volume,daily_return,drawdown,ma20,ma60,ma120,rolling_vol_20,rolling_vol_60,return_20d,return_60d,return_120d,distance_to_ma20,distance_to_ma60,distance_to_ma120,rolling_high_52w,rolling_low_52w,price_to_52w_high,price_to_52w_low,shares_outstanding,market_cap,trading_value,trading_value_ma20,turnover_ratio,source,ticker
2021-01-04,18450.0,18450.0,17850.0,18100.0,17080.447265625,336840.0,,,,,,,,,,,,,,,,,,,,6096804000.0,,,local_price_csv_fallback,039440.KQ
2021-01-05,18000.0,18100.0,17250.0,17700.0,16702.98046875,487723.0,,,,,,,,,,,,,,,,,,,,8632697100.0,,,local_price_csv_fallback,039440.KQ
2021-01-06,17650.0,18000.0,17400.0,17500.0,16514.24609375,372039.0,,,,,,,,,,,,,,,,,,,,6510682500.0,,,local_price_csv_fallback,039440.KQ
2021-01-07,17700.0,19300.0,17500.0,19000.0,17929.755859375,1651136.0,,,,,,,,,,,,,,,,,,,,31371584000.0,,,local_price_csv_fallback,039440.KQ
2021-01-08,19300.0,19400.0,18650.0,18900.0,17835.38671875,936065.0,,,,,,,,,,,,,,,,,,,,17691628500.0,,,local_price_csv_fallback,039440.KQ
2021-01-11,19150.0,19500.0,18550.0,19100.0,18024.123046875,647196.0,,,,,,,,,,,,,,,,,,,,12361443600.0,,,local_price_csv_fallback,039440.KQ
2021-01-12,19550.0,19550.0,18450.0,19000.0,17929.755859375,401847.0,,,,,,,,,,,,,,,,,,,,7635093000.0,,,local_price_csv_fallback,039440.KQ
2021-01-13,19350.0,19450.0,18900.0,19050.0,17976.9375,297835.0,,,,,,,,,,,,,,,,,,,,5673756750.0,,,local_price_csv_fallback,039440.KQ
2021-01-14,19050.0,19900.0,18450.0,19050.0,17976.9375,1078205.0,,,,,,,,,,,,,,,,,,,,20539805250.0,,,local_price_csv_fallback,039440.KQ
2021-01-15,19200.0,19400.0,18500.0,18900.0,17835.38671875,699694.0,,,,,,,,,,,,,,,,,,,,13224216600.0,,,local_price_csv_fallback,039440.KQ
2021-01-18,18650.0,18750.0,18150.0,18250.0,17222.001953125,383095.0,,,,,,,,,,,,,,,,,,,,6991483750.0,,,local_price_csv_fallback,039440.KQ
2021-01-19,18450.0,18850.0,17750.0,18700.0,17646.65234375,412440.0,,,,,,,,,,,,,,,,,,,,7712628000.0,,,local_price_csv_fallback,039440.KQ
2021-01-20,19000.0,19400.0,18700.0,19300.0,18212.853515625,428049.0,,,,,,,,,,,,,,,,,,,,8261345700.0,,,local_price_csv_fallback,039440.KQ
2021-01-21,19550.0,19550.0,19050.0,19300.0,18212.853515625,246326.0,,,,,,,,,,,,,,,,,,,,4754091800.0,,,local_price_csv_fallback,039440.KQ
2021-01-22,19500.0,19500.0,19100.0,19100.0,18024.123046875,256718.0,,,,,,,,,,,,,,,,,,,,4903313800.0,,,local_price_csv_fallback,039440.KQ
2021-01-25,19100.0,19350.0,19000.0,19200.0,18118.48828125,183079.0,,,,,,,,,,,,,,,,,,,,3515116800.0,,,local_price_csv_fallback,039440.KQ
2021-01-26,19200.0,21200.0,19150.0,20550.0,19392.443359375,2342163.0,,,,,,,,,,,,,,,,,,,,48131449650.0,,,local_price_csv_fallback,039440.KQ
2021-01-27,20500.0,20600.0,19500.0,19650.0,18543.138671875,581947.0,,,,,,,,,,,,,,,,,,,,11435258550.0,,,local_price_csv_fallback,039440.KQ
2021-01-28,19100.0,19250.0,18450.0,19000.0,17929.755859375,521510.0,,,,,,,,,,,,,,,,,,,,9908690000.0,,,local_price_csv_fallback,039440.KQ
2021-01-29,19150.0,19200.0,17800.0,18000.0,16986.08203125,442897.0,,,,,,,,,,,,,,,,,,,,7972146000.0,,,local_price_csv_fallback,039440.KQ
2021-02-01,18600.0,18950.0,18250.0,18950.0,17882.568359375,338396.0,,,,,,,,,,,,,,,,,,,,6412604200.0,,,local_price_csv_fallback,039440.KQ
