record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020160028670|1020856770000|통합 공정 씬너 조성물|엘티씨에이엠 주식회사,통합 공정 씬너 조성물,엘티씨에이엠 주식회사,1020160028670,,1020856770000,등록,2016,2020,2020,G03F; C11D; H10P; G02F,,세정; 공정; 반도체; 소자,True,True,False,60.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,25
1020190150198|1023344250000|디스플레이 제조용 포토레지스트 박리액 조성물|엘티씨 (주),디스플레이 제조용 포토레지스트 박리액 조성물,엘티씨 (주),1020190150198,,1023344250000,등록,2019,2021,2021,G03F; C11D,,박리액; 식각; 박리; 공정; 반도체,True,True,False,60.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,59
1020190105421|1023543780000|과산화수소를 이용한 질화티탄막 식각용 고선택비 식각액 조성물|엘티씨에이엠 주식회사,과산화수소를 이용한 질화티탄막 식각용 고선택비 식각액 조성물,엘티씨에이엠 주식회사,1020190105421,,1023543780000,등록,2019,2022,2022,C09K; H10P,,식각액; 식각; 공정; 반도체,True,True,False,57.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,44
1020150096355|1015726390000|CMP 후 세정액 조성물|엘티씨에이엠 주식회사,CMP 후 세정액 조성물,엘티씨에이엠 주식회사,1020150096355,,1015726390000,등록,2015,2015,2015,C11D; H10P,,세정액; 식각; 세정; 기판; 반도체,True,True,False,56.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,45
1020150114310|1017645770000|LCD 제조용 포토레지스트 박리액 조성물|엘티씨 (주),LCD 제조용 포토레지스트 박리액 조성물,엘티씨 (주),1020150114310,,1017645770000,등록,2015,2017,2017,G03F; H10P,,박리액; 식각; 박리; 공정; 반도체,True,True,False,56.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,51
1020140058040|1014597250000|포스트-에칭 포토레지스트 에칭 중합체 및 잔류물을 제거하기 위한 스트리퍼 조성물|엘티씨에이엠 주식회사,포스트-에칭 포토레지스트 에칭 중합체 및 잔류물을 제거하기 위한 스트리퍼 조성물,엘티씨에이엠 주식회사,1020140058040,,1014597250000,등록,2014,2014,2014,G03F; C11D,,식각; EMI; 공정; 반도체; 웨이퍼,True,True,False,56.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,67
1020140150717|1016702390000|포스트-에칭 포토레지스트 에칭 중합체 및 잔류물을 제거하기 위한 스트리퍼 조성물|엘티씨에이엠 주식회사,포스트-에칭 포토레지스트 에칭 중합체 및 잔류물을 제거하기 위한 스트리퍼 조성물,엘티씨에이엠 주식회사,1020140150717,,1016702390000,등록,2014,2016,2016,G03F; C11D,,식각; EMI; 공정; 반도체; 웨이퍼,True,True,False,56.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,68
1020240076853|1028251300000|디스플레이 제조용 포토레지스트 박리액 조성물|엘티씨 (주),디스플레이 제조용 포토레지스트 박리액 조성물,엘티씨 (주),1020240076853,,1028251300000,등록,2024,2025,2025,G03F; C11D,,박리액; 박리,True,True,False,55.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,66
1020180044429|1022249070000|드라이필름 레지스트 박리액 조성물|엘티씨 (주),드라이필름 레지스트 박리액 조성물,엘티씨 (주),1020180044429,,1022249070000,등록,2018,2021,2021,G03F; C11D,,박리액; 박리; 공정,True,True,False,54.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,35
1020190096350|1020715990000|실리콘질화막 식각을 위한 고선택비 식각용 조성물|에스케이하이닉스 주식회사|엘티씨에이엠 주식회사,실리콘질화막 식각을 위한 고선택비 식각용 조성물,에스케이하이닉스 주식회사|엘티씨에이엠 주식회사,1020190096350,,1020715990000,등록,2019,2020,2020,C09K; H10P,,식각; 공정; 반도체,True,True,False,54.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,48
1020150191064|1017519040000|유연기판용 폴리실세스퀴옥산 수지 조성물|엘티씨 (주),유연기판용 폴리실세스퀴옥산 수지 조성물,엘티씨 (주),1020150191064,,1017519040000,등록,2015,2017,2017,C08G; C08L; C08K; H05K,,박리; 공정; 기판,True,True,False,53.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,72
"1020240114199||금속막 및 금속배리어막 적층체용 식각조성물, 이를 이용한 식각방법 및 이로부터 제조된 반도체 소자|엘티씨에이엠 주식회사","금속막 및 금속배리어막 적층체용 식각조성물, 이를 이용한 식각방법 및 이로부터 제조된 반도체 소자",엘티씨에이엠 주식회사,1020240114199,,,공개,2024,,,C09K; C23F; H10P,,식각; 기판; 반도체; 소자,True,False,False,52.5,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,24
1020190096349|1020715980000|실리콘질화막 식각을 위한 고선택비 식각용 조성물|에스케이하이닉스 주식회사|엘티씨에이엠 주식회사,실리콘질화막 식각을 위한 고선택비 식각용 조성물,에스케이하이닉스 주식회사|엘티씨에이엠 주식회사,1020190096349,,1020715980000,등록,2019,2020,2020,C09K,,식각; 공정; 반도체,True,True,False,52.5,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,57
1020180016410|1019076370000|실리콘질화막의 고선택비 식각 조성물|엘티씨에이엠 주식회사,실리콘질화막의 고선택비 식각 조성물,엘티씨에이엠 주식회사,1020180016410,,1019076370000,등록,2018,2018,2018,C09K,,식각; 공정; 반도체,True,True,False,52.5,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,60
1020170097856|1019342990000|재배선층 또는 복합막질의 선택적 티타늄 식각액 조성물|엘티씨에이엠 주식회사,재배선층 또는 복합막질의 선택적 티타늄 식각액 조성물,엘티씨에이엠 주식회사,1020170097856,,1019342990000,등록,2017,2019,2018,C23F,,식각액; 식각; 재배선,True,True,False,52.5,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,65
1020210164549|1028631850000|신규한 트리페닐메탄 디아민 화합물|엘티씨 (주),신규한 트리페닐메탄 디아민 화합물,엘티씨 (주),1020210164549,,1028631850000,등록,2021,2025,2025,C07C; C08G; C08L; C08J; C09D,,,True,True,False,52.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,61
1020100122001|1010892110000|1차 알칸올 아민을 포함하는 LCD 제조용 포토레지스트 박리액 조성물|엘티씨 (주),1차 알칸올 아민을 포함하는 LCD 제조용 포토레지스트 박리액 조성물,엘티씨 (주),1020100122001,,1010892110000,등록,2010,2011,2011,G03F; H10P; G02F,,박리액; 박리; 공정,True,True,False,51.5,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,52
1020150012299|1023260280000|반도체 및 디스플레이 제조공정용 세정제 조성물|엘티씨에이엠 주식회사|삼성디스플레이 주식회사,반도체 및 디스플레이 제조공정용 세정제 조성물,엘티씨에이엠 주식회사|삼성디스플레이 주식회사,1020150012299,,1023260280000,등록,2015,2021,2021,C11D,,식각; 세정; 공정; 반도체,True,True,False,51.5,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,58
1020220053809||표시 장치의 제조 방법|삼성디스플레이 주식회사|주식회사 테스|엘티씨 (주),표시 장치의 제조 방법,삼성디스플레이 주식회사|주식회사 테스|엘티씨 (주),1020220053809,,,공개,2022,,,H10D; H10K,,식각; 세정; 기판; 반도체,True,False,False,51.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,10
1020160019718|1017514110000|폴리실세스퀴옥산 수지 조성물 및 이를 포함하는 차광용 블랙 레지스트 조성물|엘티씨 (주),폴리실세스퀴옥산 수지 조성물 및 이를 포함하는 차광용 블랙 레지스트 조성물,엘티씨 (주),1020160019718,,1017514110000,등록,2016,2017,2017,C08G; C08L; H10P; G03F; H10K; G06F; G02F,,공정,True,True,False,51.0,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,42
