keyword,year,patent_application_count
advanced_packaging,2004,1
advanced_packaging,2023,1
bump_rdl_interposer,2007,2
bump_rdl_interposer,2010,4
bump_rdl_interposer,2011,1
bump_rdl_interposer,2012,2
bump_rdl_interposer,2013,2
bump_rdl_interposer,2015,5
bump_rdl_interposer,2017,1
bump_rdl_interposer,2020,3
bump_rdl_interposer,2021,1
bump_rdl_interposer,2022,4
bump_rdl_interposer,2024,1
bump_rdl_interposer,2025,1
semiconductor_test,2004,1
semiconductor_test,2009,2
semiconductor_test,2011,2
semiconductor_test,2012,1
semiconductor_test,2013,1
semiconductor_test,2014,1
semiconductor_test,2016,1
semiconductor_test,2017,2
semiconductor_test,2021,1
semiconductor_test,2022,1
semiconductor_test,2023,8
semiconductor_test,2024,4
semiconductor_test,2025,7
semiconductor_materials,2004,1
semiconductor_materials,2006,1
semiconductor_materials,2007,2
semiconductor_materials,2008,1
semiconductor_materials,2009,1
semiconductor_materials,2010,8
semiconductor_materials,2012,6
semiconductor_materials,2013,2
semiconductor_materials,2014,2
semiconductor_materials,2015,4
semiconductor_materials,2017,1
semiconductor_materials,2018,4
semiconductor_materials,2019,6
semiconductor_materials,2020,2
semiconductor_materials,2021,3
semiconductor_materials,2022,9
semiconductor_materials,2023,4
semiconductor_materials,2024,10
process_yield_quality,2006,3
process_yield_quality,2008,3
process_yield_quality,2009,3
process_yield_quality,2010,5
process_yield_quality,2011,1
process_yield_quality,2012,5
process_yield_quality,2013,7
process_yield_quality,2014,4
process_yield_quality,2015,8
process_yield_quality,2016,3
process_yield_quality,2018,4
process_yield_quality,2019,5
process_yield_quality,2020,3
process_yield_quality,2021,2
process_yield_quality,2023,6
process_yield_quality,2024,2
process_yield_quality,2025,2
power_thermal_efficiency,1999,1
power_thermal_efficiency,2004,2
power_thermal_efficiency,2006,5
power_thermal_efficiency,2007,2
power_thermal_efficiency,2008,2
power_thermal_efficiency,2009,4
power_thermal_efficiency,2010,10
power_thermal_efficiency,2011,4
power_thermal_efficiency,2012,5
power_thermal_efficiency,2013,13
power_thermal_efficiency,2014,5
power_thermal_efficiency,2015,6
power_thermal_efficiency,2016,4
power_thermal_efficiency,2017,7
power_thermal_efficiency,2018,7
power_thermal_efficiency,2019,12
power_thermal_efficiency,2020,14
power_thermal_efficiency,2021,9
power_thermal_efficiency,2022,8
power_thermal_efficiency,2023,12
power_thermal_efficiency,2024,4
power_thermal_efficiency,2025,4
