application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020230077995,1020240177041,,공개,공개,기판처리장치,주식회사 원익아이피에스
1020220068947,1020230168463,,공개,공개,기판처리장치,주식회사 원익아이피에스
1020230071087,1020240172577,,공개,공개,"플라즈마 소스, 플라즈마 소스 어셈블리 및 기판 처리 장치",주식회사 원익아이피에스
1020230109147,1020250028033,,공개,공개,금속 질화물 박막의 형성방법,주식회사 원익아이피에스
1020240114599,1020260029893,,공개,공개,노즐조립어댑터 및 그를 가지는 기판처리장치,주식회사 원익아이피에스
1020220062937,1020230163175,,공개,공개,기판처리장치,주식회사 원익아이피에스
1020240002958,1020250108325,,공개,공개,봉상 구조체 설치용 브라켓 어셈블리 및 이를 포함하는 밸브 어셈블리,주식회사 원익아이피에스
1020220078339,1020240001548,,공개,공개,기판처리장치,주식회사 원익아이피에스
1020230153692,1020250067501,,공개,공개,박막 형성 방법,주식회사 원익아이피에스
1020210184131,1020230094745,,공개,공개,기판 처리 방법,주식회사 원익아이피에스
1020230143335,1020250059217,,공개,공개,기판 처리 장치 및 그 운용 방법,주식회사 원익아이피에스
1020220075095,1020230174357,,공개,공개,반도체 소자의 제조방법 및 이에 제조된 반도체 소자용 구조체,주식회사 원익아이피에스
1020230033232,1020240139339,,공개,공개,기판처리장치 및 이를 이용한 기판처리방법,주식회사 원익아이피에스
1020220102654,1020240024542,,공개,공개,샤워헤드 어셈블리 및 이를 포함하는 기판 처리 장치,주식회사 원익아이피에스
1020250128348,1020250139255,,공개,공개,박막 증착 방법 및 이를 이용한 반도체 소자의 제조방법,주식회사 원익아이피에스
1020240133160,1020250129521,,공개,공개,기판 처리 장치 및 방법,주식회사 원익아이피에스
1020220179302,1020240098234,,공개,공개,고체 소스 공급 장치 및 이를 포함하는 반도체 장치 제조 시스템,주식회사 원익아이피에스
1020220183364,1020240102090,,공개,공개,기판 처리 장치 및 기판 처리 장치의 가변형 가이드 모듈,주식회사 원익아이피에스
1020230105585,1020250024285,,공개,공개,기판 처리 장치,주식회사 원익아이피에스
1020220052902,1020230153554,,공개,공개,원자층 증착 공정을 활용한 박막 증착방법 및 이를 위한 박막 증착장치,주식회사 원익아이피에스
1020220045908,1020230146905,,공개,공개,기화기 및 이를 이용한 기판 처리 방법,주식회사 원익아이피에스
1020220099919,1020240021516,,공개,공개,피딩블록 및 이를 포함하는 기판 처리 장치,주식회사 원익아이피에스
1020230184982,1020250094305,,공개,공개,기판 처리 방법,주식회사 원익아이피에스
1020210175009,1020230086404,1029639800000,등록,등록,기판지지모듈 및 이를 포함하는 기판처리장치,주식회사 원익아이피에스
1020200180494,1020220090609,1029623890000,등록,등록,기판 처리 방법,주식회사 원익아이피에스
1020220123389,1020240044087,1029637720000,등록,등록,기판지지장치 및 이를 포함하는 기판처리장치,주식회사 원익아이피에스
1020210161466,1020230075152,1029628030000,등록,등록,기판 처리 장치,주식회사 원익아이피에스
1020220170595,1020240085581,1029639410000,등록,등록,기판처리방법,주식회사 원익아이피에스
1020230188489,1020250097329,,공개,공개,박막 증착 방법 및 이를 이용한 반도체 소자의 하드 마스크막 형성 방법,주식회사 원익아이피에스
1020250047491,1020250056860,,공개,공개,"기판 지지대, 기판 처리 장치 및 기판 처리 방법",주식회사 원익아이피에스
1020220075533,1020230174512,1029096190000,등록,등록,도어조립체 및 이를 구비하는 기판처리장치,주식회사 원익아이피에스
1020190081357,1020210004633,1027582260000,등록,등록,기판처리장치 및 기판처리방법,주식회사 원익아이피에스
1020170146254,1020190050656,1022299830000,등록,등록,기판처리장치,주식회사 원익아이피에스
1020190146326,1020210059201,,취하,취하,쓰로틀 밸브 및 이를 포함하는 반도체 제조 장치,주식회사 원익아이피에스
1020210186353,1020230096653,1029104290000,등록,등록,반송 로봇의 티칭 장치와 방법 및 카메라 지그 장치,주식회사 원익아이피에스
1020200182243,1020220091083,1029106860000,등록,등록,"마스크지지모듈, 마스크 얼라인모듈 및 기판처리장치",주식회사 원익아이피에스
1020200168621,1020220079153,1028106760000,등록,등록,기판 처리 장치,주식회사 원익아이피에스
1020130119030,1020150041237,1019498500000,등록,등록,유도결합 플라즈마 처리장치,주식회사 원익아이피에스
1020200116435,1020220033946,1027791630000,등록,등록,기판 처리 장치,주식회사 원익아이피에스
1020160088201,1020180007230,,거절,거절,기판 처리 시스템 및 기판 처리 방법,주식회사 원익아이피에스
1020200141393,1020220056636,1028587940000,등록,등록,기판처리장치,주식회사 원익아이피에스
1020190171926,1020210079782,,거절,거절,기판 처리 방법 및 기판 처리 장치,주식회사 원익아이피에스
