application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020230166964,1020230166964,1020250079605,1020250079605,,,공개,공개,공개 공개,반도체 부품 세정용 고정클램프,반도체 부품 세정용 고정클램프,주식회사 월덱스,주식회사 월덱스,,20231127,2023,20250604,20250604,,,H10P 72/76|H10P 72/00|H10P 72/30,H10P 72/76|H10P 72/00|H10P 72/30,,,"본 발명은 반도체 부품 세정용 고정클램프에 관한 것으로, 보다 상세하게는, 반도체용 부품을 고정 지지하기 위한 고정클램프로써, 메인샤프트(10); 상기 메인샤프트(10)의 중앙부에 하부에 끼워지며 상, 하부로 이동하는 조작부(20); 상기 메인샤프트(10)의 외주를 감싸며 구성되는 고정링(30); 상기 조작부(20)의 끝단에 연결되는 삼각대(40); 일측이 상기 삼각대(40)의 일측과 힌지 결합되어 회동하며 타측이 반도체 부품을 클램핑하는 다수의 집계부(50); 일측이 상기 집계부(50)의 일측과 힌지결합되고 타측이 상기 고정링(30)의 일측과 힌지 결합되는 링크부(60);를 포함하여, 상기 클램핑수단(20)의 상, 하 이동으로 상기 집계부(50)가 외측방향으로 벌어지고, 내측방향으로 좁혀지도록 구성됨으로써, 반도체 부품을 세정 시 고정 지지하는 클램프의 본연의 목적을 그대로 유지함과 동시에 간단한 구조를 가지며, 사용자가 편리하게 손으로 쉽게 조작이 가능한 원터치 방식을 가지고 있으며, 상기 반도체 부품을 고정 시 외측과 더불어 집계부의 구조에 의해 반도체 부품과의 맞닿는 면적은 최소화하면서도 그 고정력은 극대화시킬 수가 있어, 반도체 부품을 고정시킨 상태에서 세정로에 넣어 세정 시 전체적인 세정력을 가지면서도 얼룩 등을 방지할 수 있는 유용한 발명이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9351e454fd4c7cb3812817c2fbd904dbc6b0e9dcd2bd2d213f28a206a37e4f31445cef1f7bca70cd19c2f133771e1e26d4dd4cda01e1a37396,False,False,False,1,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,2
1020240066669,1020240066669,1020250167401,1020250167401,,,공개,공개,공개 공개,"고저항 및 낮은 잔류 실리콘 함량을 갖는 반응소결 탄화규소 소재, 그 조성물 및 그 제조방법","고저항 및 낮은 잔류 실리콘 함량을 갖는 반응소결 탄화규소 소재, 그 조성물 및 그 제조방법",주식회사 월덱스,주식회사 월덱스,,20240522,2024,20251201,20251201,,,C04B 35/573|C04B 35/626,C04B 35/573|C04B 35/626,,,"본 발명은 반도체 제조공정용 치구로 사용되는 탄화규소(SiC) 소재에서 비저항이 0.5~20 Ωcm 범위이고, 동시에 잔류 실리콘 함량이 0.5~6.0 부피% 범위인 반응소결 방법으로 제조된 탄화규소 소재, 상기 범위의 비저항을 갖는 탄화규소 소재의 제조용 조성물 및 그 제조방법에 관한 것으로서, 보다 상세하게는 조성물 전체중량을 100 중량%로 하였을 때, 탄화규소 입자 10.0~83.0 중량%, 탄소원료로 분해에 의하여 수 나노 미터 크기 범위(1.0~9.9nm)의 탄소인 제1 탄소입자 2.0~20.0 중량%를 생성하는 탄소전구체, 10~999nm의 크기 범위를 갖는 제2 탄소입자 10.0~50.0 중량%, 및 1~9.9㎛의 크기 범위를 갖는 제3 탄소입자 5.0~20.0 중량%,를 포함하며, 서로 다른 온도에서 진행되는 3단계 반응소결 공정에 의해 탄화규소 소재로 제조되는 것을 특징으로 하는 반응소결 탄화규소 소재용 조성물을 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93359d077b6a0e3ae98e40183e6277f2d68c112b521e137c9fd8db854094d4ee943487dec88bdf363aeb8ba35391b0b626c965ee946db27ea2,False,False,False,3,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,3
102020180001640,102020180001640,2020180003064,2020180003064,2004911650000,2004911650000,등록,등록,등록 등록,플라즈마 에칭장치용 이체형 한정 링,플라즈마 에칭장치용 이체형 한정 링,주식회사 월덱스,주식회사 월덱스,,20180412,2018,20181024,20181024,20200220,20200220,H01J 37/32|H10P 50/20,H01J 37/32|H10P 50/20,,,"본 고안은 플라즈마 에칭장치용 이체형 한정 링에 관한 것으로, 더욱 자세하게는 다수의 슬롯이 형성되어 챔버의 내부에 장착되는 플라즈마 에칭장치용 한정 링에 있어서, 상부링(10)과 하부링(20)으로 각각 구성되되, 상기 상부링(10)은 중앙부의 둘레를 따라 관통되는 다수의 슬롯(15)이 형성되며 하부에는 가장자리에 근접되게 둘레를 따라 다수의 홈부(11)가 일정간격 이격되게 형성되고, 상기 하부링(20)의 가장자리에 근접되되 상기 홈부(11)와 대응되는 위치에 관통홀(21)이 형성되어, 결합부재(30)를 이용하여 상기 관통홀(21)과 홈부(11)에 순차적으로 각각 끼워져 결합됨으로써, 한정 링의 본연의 목적을 그대로 유지함과 동시에 종래에 챔버의 내부에서 장착하여 지속적인 사용 시 단일품으로 소모부품의 특성을 고려하여 전체적인 교체를 하지 않고 부분적인 교체를 통한 경제적 효율성을 높일 수 있고, 상호 조립되어 맞닿는 부분으로 플라즈마 가스가 누설되지 않도록 하는 유용한 고안인 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e009f6f22ecf00a16230e8c7bd5fed552519bdfc674a4ae7d9dca54267a356057b2d104abf78ac67bffc1a04e0f167b72b615237f1c6f2a01ea,True,True,False,0,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,4
102020050016263,102020050016263,,,2003935340000,2003935340000,소멸,소멸,소멸 소멸,플라즈마 챔버 캐소드의 관통구멍 폴리싱 장치,플라즈마 챔버 캐소드의 관통구멍 폴리싱 장치,주식회사 월덱스,주식회사 월덱스,,20050608,2005,20050822,20050822,20050816,20050816,H10P 50/20|H01J 37/32|H10P 72/00,H10P 50/20|H01J 37/32|H10P 72/00,,,"본 고안은 일정 두께의 규소 원판으로 형성되고 0.5mm 이하의 미세한 다수의 관통 구멍들이 형성되는 플라즈마 챔버의 캐소드에 관한 것으로 반도체 웨이퍼의 플라즈마 공정에 사용되는 챔버 내부에 구성되는 캐소드의 내주면을 균일하게 가공하여 플라즈마 챔버의 내부로 가스를 안정적으로 유입시킬 수 있는 캐소드를 제공코자 하는 것으로, 캐소드의 상기 관통구멍 내주면을 가공하기 위한 것으로, 상기 캐소드(20)의 관통 구멍들의 배열과 같은 모양의 구멍배열을 가지며 마모성이 강한 지그를 구성하여 캐소드 상하부에 밀착 고정시킨 후, 착탈 가능하게 덮이도록 상부가 개방되고 내주면에 복수개의 분사노즐(31)이 일정 경사를 두고 내부로 향하여 형성되는 복수개의 분사기(30)가 본체(40) 상부에 소정 간격을 두고 설치되고, 상기 각 분사기(30)의 분사노즐(31)들이 콤프레셔(50)와 펌프(60)에 연통되게 연결되며, 각 분사기(30)의 하부에 연마용액이 저장되는 탱크(70)가 상기 펌프(60)에 연통되게 연결되어, 상기 캐소드(20)를 분사노즐(31)이 형성되는 분사기(30) 상부에 고정시키고, 상기 분사노즐(31)을 통해 일정 압력의 연마용액을 공기와 함께 분사시켜 연마용액이 상하 지그(a)를 통해 상기 캐소드의 관통구멍(21)들 내주면을 관통하며 내주면 표면을 연마하도록 하는 반도체 웨이퍼 가공용 플라즈마 챔버 ...(이하생략)",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00d3f0be54e0a8850b291aeaf10a1e12d9019b1a52a8dc583b3c03101396be7114,True,False,True,2,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,5
102020060020627,102020060020627,,,2004290950000,2004290950000,소멸,소멸,소멸 소멸,실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링,실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링,주식회사 월덱스,주식회사 월덱스,,20060801,2006,20061017,20061017,20061011,20061011,H10P 50/00|H10P 50/20,H10P 50/00|H10P 50/20,,,"본 고안은 실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링에 관한 것으로서, 반도체 웨이퍼의 플라즈마 공정에 사용되는 전압장치인 애노드가 R.F가스의 압력으로 인해 변형을 가져오고 애노드의 하부에 연결 구성된 캐소드도 같이 연동 변형하여야 하는데 상기 캐소드의 재질은 실리콘(Silicon)과 그레파이트(Graphite)를 엘라스토머 본딩하여 구성되어 애노드의 변형에 따른 유기적 연동이 이루어지지 않아 애노드와 캐소드 및 아웃링과 결합하는 볼트가 깨지고 이탈되는 등의 훼손이 쉽게 일어나고, 그레파이트의 소재는 쉽게 파티클이 발생하는 등의 불량현상을 해소하고자. 캐소드를 실리콘의 단일재질로 구성하고 내부로 원형의 홈 및 홈선을 구성, 플레이트 및 링을 삽입하여 홈과 플레이트 및 링의 사이에 소정의 공간부를 구성하여 애노드의 변형에 따라 캐소드의 연동이 쉽게 이루어지며 파티클의 발생을 억제하도록 구성된 것을 특징으로 하는 캐소드에 관한 것이다. 캐소드, 애노드",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e005befd6bfb2d370cced6c1bc1bde081003e9179c34351c9a346d6e25cd3ed4376,True,False,True,3,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,6
102020050019218,102020050019218,,,2004073340000,2004073340000,소멸,소멸,소멸 소멸,미세홀 가공을 위한 앵글 헤드 고속 드릴머신,미세홀 가공을 위한 앵글 헤드 고속 드릴머신,주식회사 월덱스,주식회사 월덱스,,20050701,2005,20060131,20060131,20060123,20060123,B23B 41/14|B23B 47/34|B23B 47/18,B23B 41/14|B23B 47/34|B23B 47/18,,,"본 고안은 드릴머신(drill machine)에 관한 것으로, 구멍가공 시에 발생하는 칩(chip)이 원활히 배출되도록 구성하여 절삭 시 드릴을 고속으로 회전시켜 피삭재에 구멍 절삭함으로 제품의 품질을 향상시킬 뿐만 아니라 종래 드릴머신 보다 현저히 그 절삭속도를 증가시킬 수 있어 생산성을 향상시키는 드릴머신에 관한 것이다. 이에, 더욱 상세하게는 피삭재가 고정되는 테이블을 지지하는 새들(Saddle)을 일정한 각도를 두고 설치하고, 상기 테이블에 고정되는 피삭재와 상기 드릴이 직각으로 이루어져 드릴작업을 하도록 컬럼상에 드릴헤드부를 설치하여 상기 드릴헤드부가 이송하면서 테이블에 설치 고정되어 있는 피삭재를 구멍 절삭하도록 구성하여 절삭 시에 발생하는 칩이 원활하게 제거되도록 하는 앵글 헤드 고속 드릴머신에 관한 것이다. 드릴머신, 세들, 테이블, 컬럼",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00d3f0be54e0a8850b3f184b5e19cbc2075a916ed9a84124d6e2818cd80a1455d2,True,False,True,2,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,7
1020130077833,1020130077833,1020150004975,1020150004975,1014959010000,1014959010000,등록,등록,등록 등록,세라믹소재의 보트 결합 구조 및 그 접합 방법,세라믹소재의 보트 결합 구조 및 그 접합 방법,주식회사 월덱스,주식회사 월덱스,,20130703,2013,20150114,20150114,20150216,20150216,H10P 72/10|H10P 72/76,H10P 72/10|H10P 72/76,,,"본 발명은 세라믹 소재의 보트 결합 구조 및 그 접합 방법에 관한 것으로, 보다 상세하게는 내부식성과 고온강도와 반도체 공정 사용 수명이 긴 세라믹 소재로 구성되되, 상부플레이트(10)와 하부플레이트(20)를 상호 대응되는 방향으로 관통되게 결합홈(11, 21)을 각각 구성하고, 상기 상부플레이트(10)와 하부플레이트(20) 사이에 다수개의 지지바(30)를 구성하되, 상기 지지바(30)에 양측 단부에 상기 결합홈(11, 21)과 대응되는 연결홈(32)을 구성하여 대응되게 위치시킨 후, 하부 외주연에 다수개의 접합홈(41)과 상기 접합홈(41)에 접합제(42)가 포함된 결합부재(40)를 이용하여 결합하며 상기 결합부재(40)가 고온의 공정에서 열변형에 의해 풀림을 방지 할 수 있도록 상기 결합부재(40)로 결합 한 후 열처리 하여 접합하며 CVD SiC Coating으로 표면처리 함으로써, Particle 감소 및 내구성 향상과 Gas 분사의 효율성이 향상되어 생산 수율을 증대 시킬 수 있는 효과가 있는 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e005db2066998b44fb7acb371604e9dc96007baa784e47c133d2ba50481afd0cb302a55cce3a72da4fad537e41acdf7d1326a8ce3a73f833b17,True,True,False,3,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,8
1020210047960,1020210047960,1020220141622,1020220141622,1024988960000,1024988960000,등록,등록,등록 등록,샤워헤드 전극판용 부시 조립체 및 전극판과 플레이트의 결합구조체,샤워헤드 전극판용 부시 조립체 및 전극판과 플레이트의 결합구조체,주식회사 월덱스,주식회사 월덱스,,20210413,2021,20221020,20221020,20230207,20230207,H01J 37/32|H10P 72/00,H01J 37/32|H10P 72/00,,,"본 발명은 샤워헤드 전극판용 부시 조립체 및 전극판과 플레이트의 결합구조체에 관한 것으로, 더욱 자세하게는 전극판과 플레이트를 결합 시, 그 사이에 부시 조립체를 구성하되, 상기 부시조립체를 전극판에 끼움시킨 후, 부시 조립체를 구성하는 하나인 체결부재를 부시의 상부에 결합시킬 시, 부시의 하부와 결합부재의 하부가 전극판의 지지테의 상하측과 완전히 맞닿음과 동시에 서로 마주하는 방향으로 밀려짐으로 지지테를 강하게 압박하여 고정됨으로써, 상기 부시 조립체가 전극판으로부터 강제적인 이탈을 방지할 수가 있으며, 상기 전극판의 상부에 결합되는 플라이트를 볼트로 결합 시, 조임된 방향으로의 조임을 억제할 수가 있어, 자칫 결합 시 발생할 수 있는 부시 조립체의 파손 등과 같은 것을 방지하는 유용한 발명이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9356bfacdb9c80f5918966feebe723392b805ee3d58a6bb165989b0a9e01857cad668aa9aafe57a9aff65485c8d1b18a01e7ed3471363a4e8b,True,True,False,0,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,9
1020100010996,1020100010996,1020110091253,1020110091253,1011139870000,1011139870000,등록,등록,등록 등록,캐소드 결합을 위한 체결구 구조,캐소드 결합을 위한 체결구 구조,주식회사 월덱스,주식회사 월덱스,,20100205,2010,20110811,20110811,20120201,20120201,H10P 72/00|H01J 37/32,H10P 72/00|H01J 37/32,,,"본 발명은 플라즈마 챔버 캐소드(100)의 체결홀(1)에 삽입하여 반도체 웨이퍼 식각 공정을 위한 장치에 결합할 수 있도록 하는 체결구 구조에 관한 것으로서, 보다 상세하게는 캐소드(100)의 체결홀(1)에 삽입되어 볼트삽입구(14)를 형성하는 부시(10)와, 상기 캐소드(100)가 결합되는 플레이트(200) 및 상기 캐소드(100) 상에 위치되는 부시(10)의 체결홀(1)에 각각 삽입되어 상호 결합시키도록 하는 조립스크류(30)와, 상기 캐소드(100)의 체결홀(1)에 삽입되어 상기 부시(10)의 외측을 감싸 고정시키는 조립링(20)을 구비하되, 상기 캐소드(100) 체결홀(1)의 둘레부 일측과, 상기 조립링(20)과, 부시(10)에 각각 홈(50) 및 절개홈(52, 54)을 형성하여, 상기 홈(50) 및 절개홈(52, 54)을 일직선으로 위치시키고 고정핀(40)을 삽입하여 고정시킬 수 있도록 구성하여 웨이퍼 식각 공정의 환경에서 부시(10)의 회전 유동이 방지될 수 있도록 하는 특징이 있는 캐소드 결합을 위한 체결구 구조에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf726839d55a0e459ca52ca3204d0e6f15c6a4e5188d4517f982b84f1f00fbba59ddc3d1d610959e92160afea92affd9f1358fbba1f93ccbe412c,True,True,False,2,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,10
1020230162591,1020230162591,1020250075289,1020250075289,,,공개,공개,공개 공개,"방전가공이 가능한 상압고상소결 탄화규소 소결체, 그 조성물 및 그 제조방법","방전가공이 가능한 상압고상소결 탄화규소 소결체, 그 조성물 및 그 제조방법",주식회사 월덱스,주식회사 월덱스,,20231121,2023,20250528,20250528,,,C04B 35/565|C04B 35/626|C04B 35/64,C04B 35/565|C04B 35/626|C04B 35/64,,,"본 발명은 1.0~9.0 mm/분의 빠른 속도로 방전가공이 가능한 저저항 상압 고상소결 탄화규소 소결체, 그 조성물 및 그 제조방법에 관한 것으로서, 상기 조성물의 제조방법은 서브마이크론 α-SiC 분말에 전기전도성을 향상시키기 위해 전기전도성 비금속 첨가제를 첨가하고, SiC 입자에 고용될 수 있는 범위내의 소결첨가제를 첨가하여, 고온에서 상압소결함으로, 소결체의 입계 및 삼중점에 편석된 비금속 전기전도성 입자를 6.0~14.0 중량% 포함하는 미세조직적 특징을 가지며, 9.0 × 10 ~4 ~ 9.0 × 10 ~2 Ωcm 범위의 비저항을 가지는 저저항 상압 고상소결 소재 및 그 조성물 및 그 제조방법이 도출될 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9385f595290fd0a5ae9795b1d907314b6261124e330c35d8bc91545975058a03243f095cc36aa8940941d6216086d636b2869f081b003f01e4,False,False,False,1,data\반도체\월덱스\tech\source\woldex_kipris_plus_bibliographic_raw.csv,,11
