source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020220075791,기판 이송장치 및 기판 이송장치의 운용방법,H10P 72/00|H10P 72/30|H10P 72/76|B25J 11/00|B25J 13/08,2022-06-21,등록,등록,주식회사 유진테크,1,BACKWARD_CITATION_ESTIMATED,1020220075791,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020220075791&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020230096254,기판 처리 장치 및 기판 처리 방법,H01J 37/32|H10P 72/00,2023-07-24,등록,등록,주식회사 유진테크,1,BACKWARD_CITATION_ESTIMATED,1020230096254,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020230096254&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150187865,기판 처리 장치,H10P 72/00,2015-12-28,등록,등록,주식회사 유진테크,1,BACKWARD_CITATION_ESTIMATED,1020150187865,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150187865&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190071561,기판 처리장치 및 기판 처리방법,H10P 72/00|H10P 10/00|C23C 16/44,2019-06-17,등록,등록,주식회사 유진테크|에스케이하이닉스 주식회사,1,BACKWARD_CITATION_ESTIMATED,1020190071561,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190071561&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020100020432,전동 파워 스티어링 장치용 메인샤프트 제조방법,B23K 20/12|C21D 9/00|B62D 15/02|B62D 1/10|B23K 101/00,2010-03-08,등록,등록,유진테크주식회사,1,BACKWARD_CITATION_ESTIMATED,1020100020432,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020100020432&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020120071851,3차원 구조의 메모리 소자를 제조하는 장치,H10P 10/00|H01L 21/8247|H10B 69/00,2012-07-02,등록,등록,주식회사 유진테크,1,BACKWARD_CITATION_ESTIMATED,1020120071851,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020120071851&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020200053711,탄성부재를 이용한 수배전반용 내진구조체,H02B 1/54|H02B 1/50|F16F 15/08,2020-05-06,등록,등록,주식회사 유진테크놀로지|이앤에이치(주),1,BACKWARD_CITATION_ESTIMATED,1020200053711,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020200053711&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020250209229,전극 탭 처짐 방지 장치를 가지는 이차전지용 전극 노칭금형,B26F 1/12|B26F 1/14|B26D 7/08|B26D 7/20|H01M 4/04,2025-12-24,등록,등록,주식회사 유진테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020250209229,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020250209229&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150139054,이차전지 전극단자용 표면처리 장치,H01M 50/543|H01M 50/531|C23F 1/16|C25D 3/12|H01M 10/04,2015-10-02,등록,등록,주식회사 유진테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020150139054,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150139054&ServiceKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150139062,이차전지 전극단자용 표면처리 장치의 스퀴저,H01M 50/543|H01M 50/531|H01M 10/052,2015-10-02,등록,등록,주식회사 유진테크놀로지,1,BACKWARD_CITATION_ESTIMATED,1020150139062,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150139062&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
