source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020220075791,89380152,,CN,CN,CN,,202380048691,20230519,119452462,20250214,,,202380048691,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220075791,89380152,,EP,EP,EP,,23827380,20230519,4546403,20250430,,,23827380,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220075791,89380152,,JP,JP,JP,,2024572213,20230519,2025518893,20250619,,,2024572213,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220075791,89380152,,KR,KR,WO,,2023006840,20230519,2023249260,20231228,,,2023006840,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230096254,94306928,,CN,CN,CN,,202410970397,20240719,119351987,20250124,,,202410970397,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020230096254,94306928,,JP,JP,JP,,2024096462,20240614,2025017318,20250205,,,2024096462,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020230096254,94306928,,US,US,US,,202418416802,20240118,2025034704,20250130,,,202418416802,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230096254,94306928,,TW,TW,TW,,113124577,20240701,202505666,20250201,,,113124577,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020190071561,73744912,,CN,CN,CN,,201911240311,20191206,112095089,20201218,,,201911240311,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190071561,73744912,,US,US,US,,201916700921,20191202,2020392619,20201217,,,201916700921,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020190071561,73744912,,TW,TW,TW,,108144190,20191203,202101603,20210101,,,108144190,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020150187865,59087729,,CN,CN,CN,,201610915856,20161020,106920761,20170704,,,201610915856,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020150187865,59087729,,CN,CN,CN,,201610915856,20161020,106920761,20191011,,,201610915856,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020150187865,59087729,,JP,JP,JP,,2016196254,20161004,6294930,20180314,,,2016196254,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020150187865,59087729,,JP,JP,JP,,2016196254,20161004,2017120883,20170706,,,2016196254,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020150187865,59087729,,US,US,US,,201615289899,20161010,2017183771,20170629,,,201615289899,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020150187865,59087729,,US,US,US,,201615289899,20161010,10364494,20190730,,,201615289899,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020150187865,59087729,,TW,TW,TW,,105131824,20161003,I611529,20180111,,,105131824,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020150187865,59087729,,TW,TW,TW,,105131824,20161003,201724399,20170701,,,105131824,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
