record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020230096254|1029524800000|기판 처리 장치 및 기판 처리 방법|주식회사 유진테크,기판 처리 장치 및 기판 처리 방법,주식회사 유진테크,1020230096254,1020250015179,1029524800000,등록,2023,2025,2026,H01J; H10P,,공정; 기판,True,True,False,55.0,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,9
1020190071561|1022553150000|기판 처리장치 및 기판 처리방법|주식회사 유진테크|에스케이하이닉스 주식회사,기판 처리장치 및 기판 처리방법,주식회사 유진테크|에스케이하이닉스 주식회사,1020190071561,1020200143901,1022553150000,등록,2019,2020,2021,H10P; C23C,,공정; 기판; 방열,True,True,False,54.0,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,18
1020220075791|1029677460000|기판 이송장치 및 기판 이송장치의 운용방법|주식회사 유진테크,기판 이송장치 및 기판 이송장치의 운용방법,주식회사 유진테크,1020220075791,1020230174628,1029677460000,등록,2022,2023,2026,H10P; B25J,,기판,True,True,False,52.0,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,1
1020120071851|1012810850000|3차원 구조의 메모리 소자를 제조하는 장치|주식회사 유진테크,3차원 구조의 메모리 소자를 제조하는 장치,주식회사 유진테크,1020120071851,1020120090894,1012810850000,등록,2012,2012,2013,H10P; H01L; H10B,,공정; 기판; 소자,True,True,False,51.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,20
1020250209229|1029405690000|전극 탭 처짐 방지 장치를 가지는 이차전지용 전극 노칭금형|주식회사 유진테크놀로지,전극 탭 처짐 방지 장치를 가지는 이차전지용 전극 노칭금형,주식회사 유진테크놀로지,1020250209229,,1029405690000,등록,2025,2026,2026,B26F; B26D; H01M,,,True,True,False,50.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,10
1020180038608|1019689060000|이차전지용 리드탭 모서리 가공장치|주식회사 유진테크놀로지,이차전지용 리드탭 모서리 가공장치,주식회사 유진테크놀로지,1020180038608,,1019689060000,등록,2018,2019,2019,B21D; H01M,,리드탭,True,True,False,48.0,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,16
1020100020432|1011670860000|전동 파워 스티어링 장치용 메인샤프트 제조방법|유진테크주식회사,전동 파워 스티어링 장치용 메인샤프트 제조방법,유진테크주식회사,1020100020432,1020110101437,1011670860000,등록,2010,2011,2012,B23K; C21D; B62D,,공정,True,True,False,45.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,6
1020150187865|1017442010000|기판 처리 장치|주식회사 유진테크,기판 처리 장치,주식회사 유진테크,1020150187865,,1017442010000,등록,2015,2017,2017,H10P,,공정; 기판,True,True,False,45.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,21
1020240157952||배치식 기판 처리 장치|주식회사 유진테크,배치식 기판 처리 장치,주식회사 유진테크,1020240157952,1020260069048,,공개,2024,2026,,C23C; H10P,,공정; 기판,True,False,False,45.0,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,2
1020200053711|1022596070000|탄성부재를 이용한 수배전반용 내진구조체|주식회사 유진테크놀로지|이앤에이치(주),탄성부재를 이용한 수배전반용 내진구조체,주식회사 유진테크놀로지|이앤에이치(주),1020200053711,,1022596070000,등록,2020,2021,2021,H02B; F16F,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,3
1020240122767||배치식 기판 처리 장치|주식회사 유진테크,배치식 기판 처리 장치,주식회사 유진테크,1020240122767,1020260037195,,공개,2024,2026,,H10P,,공정; 기판,True,False,False,43.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,7
1020250086861||배치식 기판 처리 장치|주식회사 유진테크,배치식 기판 처리 장치,주식회사 유진테크,1020250086861,1020260035705,,공개,2025,2026,,H01J,,공정; 기판,True,False,False,43.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,8
1020240114686||기판 처리 장치|주식회사 유진테크,기판 처리 장치,주식회사 유진테크,1020240114686,1020260029932,,공개,2024,2026,,H10P,,공정; 기판,True,False,False,43.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,12
1020250086862||배치식 기판 처리 장치|주식회사 유진테크,배치식 기판 처리 장치,주식회사 유진테크,1020250086862,1020260035706,,공개,2025,2026,,H01J,,공정; 기판,True,False,False,43.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,17
1020170124725|1019867440000|플라즈마 처리 장치 및 방법|주식회사 유진테크,플라즈마 처리 장치 및 방법,주식회사 유진테크,1020170124725,1020190036017,1019867440000,등록,2017,2019,2019,H01J,,,True,True,False,43.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,19
1020150139054|1016134260000|이차전지 전극단자용 표면처리 장치|주식회사 유진테크놀로지,이차전지 전극단자용 표면처리 장치,주식회사 유진테크놀로지,1020150139054,,1016134260000,등록,2015,2016,2016,H01M; C23F; C25D,,,True,True,False,42.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,15
1020240112675||배치식 기판 처리 장치|주식회사 유진테크,배치식 기판 처리 장치,주식회사 유진테크,1020240112675,1020260028347,,공개,2024,2026,,H10P; C23C,,기판,True,False,False,42.0,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,4
1020240114744||배치식 기판 처리 장치|주식회사 유진테크,배치식 기판 처리 장치,주식회사 유진테크,1020240114744,1020260030255,,공개,2024,2026,,H10P,,기판,True,False,False,40.5,C:\Agent_6.9\data\반도체\유진테크\tech\source\eugene_tech_kipris_plus_bibliographic_raw.csv,5
