record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020080002056|1008978780000|반도체 디바이스의 파워업 회로|주식회사 제주반도체,반도체 디바이스의 파워업 회로,주식회사 제주반도체,1020080002056,,1008978780000,등록,2008,2009,2009,G05F; G11C,,반도체; 소자,True,True,False,47.0,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,1
1020050078985|1006706060000|크로스 토크를 감소시키는 이미지 센서의 소자 분리 구조체및 그 제조방법|주식회사 제주반도체,크로스 토크를 감소시키는 이미지 센서의 소자 분리 구조체및 그 제조방법,주식회사 제주반도체,1020050078985,,1006706060000,소멸,2005,2007,2007,H10W; H10F,,기판; 반도체; 소자,True,True,True,45.0,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,4
1020150124769|1017716260000|다양한 형태의 디스플레이 장치에 적용 가능한 반도체 메모리 디바이스|주식회사 제주반도체,다양한 형태의 디스플레이 장치에 적용 가능한 반도체 메모리 디바이스,주식회사 제주반도체,1020150124769,1020170028021,1017716260000,등록,2015,2017,2017,G11C,,반도체,True,True,False,42.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,5
1020080008397|1009092240000|공정조건에 안정적인 온도 보상형 셀프 리프레쉬 제어 회로|주식회사 제주반도체,공정조건에 안정적인 온도 보상형 셀프 리프레쉬 제어 회로,주식회사 제주반도체,1020080008397,,1009092240000,등록,2008,2009,2009,G11C,,공정,True,True,False,42.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,6
1020030036011|1005018000000|반도체 장치 및 그의 레이아웃 배치방법|주식회사 제주반도체,반도체 장치 및 그의 레이아웃 배치방법,주식회사 제주반도체,1020030036011,1020040104779,1005018000000,소멸,2003,2004,2005,H10P; H10W,,테스트; 반도체,True,True,True,42.0,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,2
1020030038020|1004880070000|반도체 장치의 배선 방법|주식회사 제주반도체,반도체 장치의 배선 방법,주식회사 제주반도체,1020030038020,1020040107139,1004880070000,소멸,2003,2004,2005,H10W,,공정; 반도체,True,True,True,40.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,3
1020000064853|1005727580000|로우 리던던시 리페어 효율을 증가시키는 반도체 메모리장치|주식회사 제주반도체,로우 리던던시 리페어 효율을 증가시키는 반도체 메모리장치,주식회사 제주반도체,1020000064853,1020020034490,1005727580000,소멸,2000,2002,2006,G11C,,수율; 반도체,True,True,True,40.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,24
1020020029342|1004212510000|웨이브 파이프라이닝 구조의 데이터 출력 회로를 가지는동기식 반도체 메모리 장치|주식회사 제주반도체,웨이브 파이프라이닝 구조의 데이터 출력 회로를 가지는동기식 반도체 메모리 장치,주식회사 제주반도체,1020020029342,1020030092152,1004212510000,소멸,2002,2003,2004,G11C,,반도체,True,True,True,37.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,7
1020060123214|1007623610000|디지털 이미지 테스트 부재의 광원 밝기 균일화 장치 및방법과 이를 이용한 디지털 이미지 색상 테스트 장치 및방법|주식회사 제주반도체,디지털 이미지 테스트 부재의 광원 밝기 균일화 장치 및방법과 이를 이용한 디지털 이미지 색상 테스트 장치 및방법,주식회사 제주반도체,1020060123214,1020070078050,1007623610000,소멸,2006,2007,2007,H04N,,테스트,True,True,True,37.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,12
1020020019377|1005222580000|동기식 반도체 메모리 장치의 열선택 제어 회로 및 열선택신호 구동 방법|주식회사 제주반도체,동기식 반도체 메모리 장치의 열선택 제어 회로 및 열선택신호 구동 방법,주식회사 제주반도체,1020020019377,1020030080639,1005222580000,소멸,2002,2003,2005,G11C,,반도체,True,True,True,37.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,15
