date,open,high,low,close,adj_close,volume,daily_return,drawdown,ma20,ma60,ma120,rolling_vol_20,rolling_vol_60,return_20d,return_60d,return_120d,distance_to_ma20,distance_to_ma60,distance_to_ma120,rolling_high_52w,rolling_low_52w,price_to_52w_high,price_to_52w_low,shares_outstanding,market_cap,trading_value,trading_value_ma20,turnover_ratio,source,ticker
2021-01-04,3770.0,3790.0,3700.0,3740.0,3740.0,770788.0,,,,,,,,,,,,,,,,,,,,2882747120.0,,,local_price_csv_fallback,080220.KQ
2021-01-05,3740.0,3740.0,3655.0,3700.0,3700.0,490077.0,,,,,,,,,,,,,,,,,,,,1813284900.0,,,local_price_csv_fallback,080220.KQ
2021-01-06,3705.0,3995.0,3705.0,3815.0,3815.0,4105868.0,,,,,,,,,,,,,,,,,,,,15663886420.0,,,local_price_csv_fallback,080220.KQ
2021-01-07,3865.0,4655.0,3825.0,4180.0,4180.0,28056870.0,,,,,,,,,,,,,,,,,,,,117277716600.0,,,local_price_csv_fallback,080220.KQ
2021-01-08,4230.0,4285.0,4060.0,4205.0,4205.0,4812752.0,,,,,,,,,,,,,,,,,,,,20237622160.0,,,local_price_csv_fallback,080220.KQ
2021-01-11,4265.0,4640.0,4125.0,4370.0,4370.0,12006640.0,,,,,,,,,,,,,,,,,,,,52469016800.0,,,local_price_csv_fallback,080220.KQ
2021-01-12,4275.0,4900.0,4090.0,4460.0,4460.0,18441440.0,,,,,,,,,,,,,,,,,,,,82248822400.0,,,local_price_csv_fallback,080220.KQ
2021-01-13,4535.0,4725.0,4420.0,4570.0,4570.0,5477718.0,,,,,,,,,,,,,,,,,,,,25033171260.0,,,local_price_csv_fallback,080220.KQ
2021-01-14,4520.0,4570.0,4330.0,4480.0,4480.0,2318542.0,,,,,,,,,,,,,,,,,,,,10387068160.0,,,local_price_csv_fallback,080220.KQ
2021-01-15,4520.0,4855.0,4345.0,4350.0,4350.0,8184002.0,,,,,,,,,,,,,,,,,,,,35600408700.0,,,local_price_csv_fallback,080220.KQ
2021-01-18,4250.0,4480.0,4170.0,4270.0,4270.0,1853854.0,,,,,,,,,,,,,,,,,,,,7915956580.0,,,local_price_csv_fallback,080220.KQ
2021-01-19,4310.0,4480.0,4180.0,4455.0,4455.0,1874277.0,,,,,,,,,,,,,,,,,,,,8349904035.0,,,local_price_csv_fallback,080220.KQ
2021-01-20,4510.0,4510.0,4310.0,4350.0,4350.0,1369245.0,,,,,,,,,,,,,,,,,,,,5956215750.0,,,local_price_csv_fallback,080220.KQ
2021-01-21,4450.0,5650.0,4385.0,5650.0,5650.0,18138430.0,,,,,,,,,,,,,,,,,,,,102482129500.0,,,local_price_csv_fallback,080220.KQ
2021-01-22,6400.0,7140.0,5760.0,5880.0,5880.0,99889080.0,,,,,,,,,,,,,,,,,,,,587347790400.0,,,local_price_csv_fallback,080220.KQ
2021-01-25,5860.0,6900.0,5800.0,6200.0,6200.0,51286920.0,,,,,,,,,,,,,,,,,,,,317978904000.0,,,local_price_csv_fallback,080220.KQ
2021-01-26,6090.0,6990.0,6010.0,6200.0,6200.0,41669030.0,,,,,,,,,,,,,,,,,,,,258347986000.0,,,local_price_csv_fallback,080220.KQ
2021-01-27,6450.0,6830.0,5950.0,5950.0,5950.0,14959480.0,,,,,,,,,,,,,,,,,,,,89008906000.0,,,local_price_csv_fallback,080220.KQ
