application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020200068001,1020200068001,1020210151332.0,1020210151332.0,1023394320000.0,1023394320000.0,등록,등록,등록 등록,소형 망원 광학계,소형 망원 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20200605,2020,20211214,20211214,20211210.0,20211210.0,G02B 13/00|G02B 13/02|G02B 9/62|G02B 13/18,G02B 13/00|G02B 13/02|G02B 9/62|G02B 13/18,,,"본 발명은, 정의 굴절력을 가지는 제1 렌즈; 부의 굴절력을 가지는 제2 렌즈; 정의 굴절력을 가지는 제3 렌즈; 부의 굴절력을 가지는 제4 렌즈; 정의 굴절력을 가지는 제5 렌즈; 부의 굴절력을 가지는 제6 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈 및 제6 렌즈는 물체 측에서부터 상 측으로 순서대로 배열되며, 조건식 0.6 003c# HFOV / TTL 003c# 1.4 (HFOV: 광학계의 수평화각, TTL: 제1 렌즈의 물체측면에서 이미지센서의 상면까지의 길이)을 만족하는 소형 망원 광학계를 제공한다. 본 발명에 따르면 수평 30도, 대각 33.3도의 화각을 갖는 소형 망원 광학계를 구현할 수 있다. 또한 일부 렌즈면에 평면 또는 평면에 근접한 형상을 적용함으로써 조립성을 개선하고 조립 공차에 대한 민감도를 개선할 수 있다. 또한 온도 변화에 관계없이 일정한 해상력 성능을 구현할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a9b771f368fa655e7f7a1562646a3d34403defa067eeb74aafa9b695564b9de1c0a72bcc6ded89f060a81b1d622495bb14dfcc58a660810b,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,2,G02B,G02B 13,False,False,0,True,True,2020.0
1020200136656,1020200136656,1020220040960.0,1020220040960.0,1024484650000.0,1024484650000.0,등록,등록,등록 등록,초고화소 모바일 광학계,초고화소 모바일 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20201021,2020,20220331,20220331,20220923.0,20220923.0,G02B 13/00|G02B 9/64|G02B 3/00|G02B 3/04|G02B 13/18,G02B 13/00|G02B 9/64|G02B 3/00|G02B 3/04|G02B 13/18,,,"본 발명은 초고화소 모바일 광학계를 제공한다. 본 발명에 따른 모바일 광학계는, 정의 굴절력을 가지는 제1 렌즈; 부의 굴절력을 가지는 제2 렌즈; 정의 굴절력을 가지는 제3 렌즈; 부의 굴절력을 가지는 제4 렌즈; 굴절력을 가지는 제5 렌즈; 굴절력을 가지는 제6 렌즈; 정의 굴절력을 가지는 제7 렌즈; 부의 굴절력을 가지는 제8 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈 및 제6 렌즈는 물체측에서부터 상측으로 순서대로 배열되고, 0.9 003c# TTL/Y 003c# 1.2 (TTL: 광학계의 전체 길이, Y: 이미지센서의 대각 길이의 1/2)을 만족한다. 본 발명에 따르면, 100M급 이상의 초고화소에 대응하는 높은 해상력을 발휘할 수 있고, 6.5mm 이하의 짧은 전장(TTL)과 F넘버 1.9 이하의 밝은 성능을 구현할 수 있으므로 종래에 비하여 초고화소 이미지센서에 적합한 모바일 카메라용 소형 광학계를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e7ccc07c8be1ba8f41d3d151087321cfaaea617e30d30054b9702f660bc41f3edc469102389d050ed69882a262662107e1c5f9bc946e4d82,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,3,G02B,G02B 13,False,False,0,True,True,2020.0
1020200183231,1020200183231,1020220091964.0,1020220091964.0,1024958820000.0,1024958820000.0,등록,등록,등록 등록,고화소 초소형 이미지센서를 위한 모바일 소형 광학계,고화소 초소형 이미지센서를 위한 모바일 소형 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20201224,2020,20220701,20220701,20230203.0,20230203.0,G02B 13/00|G02B 9/64|G02B 3/00|G02B 13/18,G02B 13/00|G02B 9/64|G02B 3/00|G02B 13/18,,,"본 발명은 고화소 초소형 이미지센서를 위한 모바일 소형 광학계를 제공한다. 본 발명에 따른 광학계는, 정의 굴절력을 가지는 제1 렌즈; 부의 굴절력을 가지는 제2 렌즈; 부의 굴절력을 가지는 제3 렌즈; 정의 굴절력을 가지는 제4 렌즈; 부의 굴절력을 가지는 제5 렌즈; 정의 굴절력을 가지는 제6 렌즈; 부의 굴절력을 가지는 제7 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈, 제6 렌즈 및 제7 렌즈는 물체 측에서부터 상 측으로 순서대로 배열되고, 조건식 2.0 003c# TTL / Y 003c# 2.5 (TTL: 광학계의 전체 길이(mm), Y: 이미지 센서의 대각 길이(mm)의 절반)을 만족할 수 있다. 본 발명에 따르면, 64M급 이상의 고화소 초소형 이미지센서에 적용할 수 있는 높은 해상력 성능을 발휘할 뿐만 아니라 7매 렌즈를 사용하면서도 5.6mm 이하의 매우 짧은 전장(TTL)과 F넘버 1.9 이하의 밝은 성능을 가진 모바일용 소형 광학계를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93db78754d5dbd5ab24bd88199c6f35482a04069254144e9213b264a8d1109a9c1a1b85ada54eba73caf0f443a92ea5f553deaa62a652f8c57,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,4,G02B,G02B 13,False,False,0,True,True,2020.0
1020200034939,1020200034939,1020210118553.0,1020210118553.0,1023681230000.0,1023681230000.0,등록,등록,등록 등록,광각 촬상 광학계,광각 촬상 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20200323,2020,20211001,20211001,20220223.0,20220223.0,G02B 9/62|G02B 13/18,G02B 9/62|G02B 13/18,,,"본 발명은, 부의 굴절력을 가지며, 물체측면은 물체측으로 볼록하고 상측면은 물체측으로 오목한 면을 포함하는 제1 렌즈; 정의 굴절력을 가지며, 물체측면은 상측으로 오목하고 상측면은 상측으로 볼록한 제2 렌즈; 정의 굴절력을 가지며, 물체측과 상측 양방향으로 볼록한 제3 렌즈; 부의 굴절력을 가지는 제4 렌즈; 정의 굴절력을 가지며, 물체측과 상측 양방향으로 볼록한 제5 렌즈; 부의 굴절력을 가지는 제6 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈 및 제6 렌즈는 물체측에서부터 상측으로 순서대로 배열되고, 조건식 |R7|003e#30 및 |R12|003e#30 (R7: 제4 렌즈(L4)의 물체측면의 곡률반경, R12: 제6 렌즈(L6)의 상측면의 곡률반경)을 모두 만족하는 광학계를 제공한다. 본 발명에 따르면 수평 125도, 대각 150도의 광각 촬상 광학계를 구현할 수 있을 뿐만 아니라 일부 렌즈면에 평면 또는 평면에 근접한 형상을 적용함으로써 조립성을 개선하고 조립 공차에 대한 민감도를 개선할 수 있다. 또한 온도 변화에 관계없이 일정한 해상력 성능을 구현할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93cddb60135cf54cd31373afd14d1f5fa8c804c3146f3f22243c57908335803b46d447c0620668158d59663bd9a6dbdd5c0043e8e51c02316a,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,5,G02B,G02B 9,False,False,0,True,True,2020.0
1020200006011,1020200006011,,,1021499830000.0,1021499830000.0,등록,등록,등록 등록,초고화소 모바일 카메라 광학계,초고화소 모바일 카메라 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20200116,2020,20200831,20200831,20200825.0,20200825.0,G02B 13/00|G02B 9/62|G02B 13/18|G02B 3/04,G02B 13/00|G02B 9/62|G02B 13/18|G02B 3/04,,,"본 발명은, 정의 굴절력을 가지는 제1 렌즈; 부의 굴절력을 가지는 제2 렌즈; 정의 굴절력을 가지는 제3 렌즈; 부의 굴절력을 가지는 제4 렌즈; 정의 굴절력을 가지는 제5 렌즈; 부의 굴절력을 가지는 제6 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈 및 제6 렌즈는 물체측에서부터 상측으로 순서대로 배열되며, 조건식 6.0 003c# FOV / I.H 003c# 8.5 (FOV: 광학계의 화각, I.H: 이미지 센서 대각 길이)을 만족하는 광학계를 제공한다. 본 발명에 따르면, 6매의 렌즈만으로 100M급의 초고화소에 대응하는 높은 해상력을 발휘할 수 있고, 7.0mm이하의 짧은 전장(TTL)과 F넘버 1.9 이하의 밝은 성능을 구현할 수 있으므로 종래에 비하여 초고화소 이미지센서에 적합한 모바일 카메라용 소형 광학계를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00b49fc7e887ad431d391693870500aaa4a0336de5de60fbd0498c526df35c20bf49627da1ff522444557fa3c18beb0f69a461e2eb6f289494,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,6,G02B,G02B 13,False,False,0,True,True,2020.0
1020210033380,1020210033380,1020220128801.0,1020220128801.0,1025759360000.0,1025759360000.0,등록,등록,등록 등록,고화소 소형 매크로 광학계,고화소 소형 매크로 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20210315,2021,20220922,20220922,20230904.0,20230904.0,G02B 13/00|G02B 9/12|G02B 3/00|G02B 13/18|G02B 13/24,G02B 13/00|G02B 9/12|G02B 3/00|G02B 13/18|G02B 13/24,,,"본 발명은 고화소 소형 매크로 광학계를 제공한다. 본 발명에 따른 소형 매크로 광학계는, 정의 굴절력을 가지는 제1 렌즈; 정의 굴절력을 가지는 제2 렌즈; 정 또는 부의 굴절력을 가지는 제3 렌즈를 포함하는 3매 렌즈 광학계이고, 상기 제1 렌즈, 제2 렌즈 및 제3렌즈는 물체 측에서부터 상 측으로 순서대로 배열되고, 조건식 35 003c# V1-V2 003c# 39 (V1: 제1 렌즈(L1)의 아베 수, V2: 제2 렌즈(L2)의 아베 수)을 만족할 수 있다. 본 발명에 따르면, 고화소 이미지센서에 적용할 수 있는 높은 해상력 성능을 발휘할 뿐만 아니라 4.1mm 이하의 매우 짧은 전장(TTL)과 95도 이상의 광각을 구현하는 소형 매크로 광학계를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9390b4cc17636c7cca404ff08f54bc498c835c4e98d9add92763706cd0e2c25cfaa8ca89ca22fb3eaefcff86e75e811b79e62eaaa1540197e0,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,7,G02B,G02B 13,False,False,0,True,True,2021.0
1020200068002,1020200068002,1020210151333.0,1020210151333.0,1023865960000.0,1023865960000.0,등록,등록,등록 등록,고화소 슈퍼 광각 모바일 광학계,고화소 슈퍼 광각 모바일 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20200605,2020,20211214,20211214,20220411.0,20220411.0,G02B 13/06|G02B 13/04|G02B 13/00|G02B 9/62|G02B 3/02|G02B 13/18,G02B 13/06|G02B 13/04|G02B 13/00|G02B 9/62|G02B 3/02|G02B 13/18,,,"본 발명은, 부의 굴절력을 가지는 제1 렌즈; 정의 굴절력을 가지는 제2 렌즈; 정의 굴절력을 가지는 제3 렌즈; 정의 굴절력을 가지는 제4 렌즈; 부의 굴절력을 가지는 제5 렌즈; 정의 굴절력을 가지는 제6 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈 및 제6 렌즈는 물체측에서부터 상측으로 순서대로 배열되고, 조건식 10 003c# Td56 / T56 003c# 30 (Td56: 제5 렌즈의 물체측면에서 제6 렌즈의 상측면 사이의 중심축 길이, T56: 제5 렌즈와 제6 렌즈 사이의 간격)을 만족하는 소형 모바일 광학계를 제공한다. 본 발명에 따르면, 135도 이상의 슈퍼 광각을 확보할 수 있을 뿐만 아니라 10 메가 이상의 고화소 이미지센서에 대응하는 고해상도를 구현하는 소형 모바일 광학계를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934ad912577adcb5b4b4b06e993adba68fbfba0f166d197a500587edadab73d932a1b59725343613da3adfceb446c4b50750775239707fdc59,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,8,G02B,G02B 13,False,False,0,True,True,2020.0
1020200136836,1020200136836,1020220040962.0,1020220040962.0,1024484690000.0,1024484690000.0,등록,등록,등록 등록,고화소 모바일 소형 망원 광학계,고화소 모바일 소형 망원 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20201021,2020,20220331,20220331,20220923.0,20220923.0,G02B 13/00|G02B 13/02|G02B 9/34|G02B 3/04|G02B 3/00,G02B 13/00|G02B 13/02|G02B 9/34|G02B 3/04|G02B 3/00,,,"본 발명은 고화소 모바일용 소형 망원 광학계를 제공한다. 본 발명에 따른 소형 망원 광학계는, 정의 굴절력을 가지는 제1 렌즈; 부의 굴절력을 가지는 제2 렌즈; 부의 굴절력을 가지는 제3 렌즈; 부의 굴절력을 가지는 제4 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈 및 제4 렌즈는 물체 측에서부터 상 측으로 순서대로 배열되고, 0.01 003c#(R1/R4)/f 003c# 0.05 (R1: 제1 렌즈의 물체측 면의 곡률반경, R4: 제2 렌즈의 상측 면의 곡률반경)의 조건식을 만족한다. 본 발명에 따르면, 8메가 급의 고화소 이미지센서에 대해 높은 해상력 성능을 발휘할 수 있을 뿐만 아니라 렌즈 매수를 최소화함으로써 전장 6mm 정도의 소형 망원 광학계를 구현할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e7ccc07c8be1ba8f41d3d151087321cfaaea617e30d30054ab41ed72ce47878bf3ec69fa77eb29c85569a67af5285fbb9e4e0c7fe52a9972,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,9,G02B,G02B 13,False,False,0,True,True,2020.0
1020200136835,1020200136835,1020220040961.0,1020220040961.0,1024484500000.0,1024484500000.0,등록,등록,등록 등록,초고화소 모바일 소형 광학계,초고화소 모바일 소형 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20201021,2020,20220331,20220331,20220923.0,20220923.0,G02B 13/00|G02B 9/64|G02B 3/00|G02B 3/04|G02B 13/18,G02B 13/00|G02B 9/64|G02B 3/00|G02B 3/04|G02B 13/18,,,"본 발명은 초고화소 모바일 광학계를 제공한다. 본 발명에 따른 모바일 광학계는, 정의 굴절력을 가지는 제1 렌즈; 정의 굴절력을 가지는 제2 렌즈; 부의 굴절력을 가지는 제3 렌즈; 부의 굴절력을 가지는 제4 렌즈; 정의 굴절력을 가지는 제5 렌즈; 정의 굴절력을 가지는 제6 렌즈; 부의 굴절력을 갖는 제7 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈, 제6 렌즈 및 제7렌즈는 물체 측에서부터 상 측으로 순서대로 배열되고, 1.5 003c# |f1|/|f3| 003c# 2 (f1: 제1 렌즈의 초점거리, f3: 제3 렌즈의 초점거리)의 조건식을 만족한다. 본 발명에 따르면, 100M급 이상의 초고화소에 대응하는 높은 해상력을 발휘할 수 있고, 7.0mm 이하의 짧은 전장(TTL)과 F넘버 2.0 이하의 밝은 성능을 구현할 수 있으므로 종래에 비하여 초고화소 이미지센서에 적합한 모바일 카메라용 소형 광학계를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93e7ccc07c8be1ba8f41d3d151087321cfaaea617e30d30054ab41ed72ce47878bc42ce5b9c60f0c8ad4f415f1b37461714f4d5a4c0277e474,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,10,G02B,G02B 13,False,False,0,True,True,2020.0
1020200098488,1020200098488,1020220018235.0,1020220018235.0,1023865890000.0,1023865890000.0,등록,등록,등록 등록,고화소 광각 모바일 광학계,고화소 광각 모바일 광학계,(주)코아시아씨엠,(주)코아시아씨엠,,20200806,2020,20220215,20220215,20220411.0,20220411.0,G02B 13/00|G02B 9/62|G02B 3/04|G02B 13/04|G02B 13/18,G02B 13/00|G02B 9/62|G02B 3/04|G02B 13/04|G02B 13/18,,,"본 발명은 소형 모바일 광학계를 제공한다. 본 발명에 따른 모바일 광학계는, 부의 굴절력을 가지는 제1 렌즈; 정의 굴절력을 가지는 제2 렌즈; 정의 굴절력을 가지는 제3 렌즈; 부의 굴절력을 가지는 제4 렌즈; 정의 굴절력을 가지는 제5 렌즈; 부의 굴절력을 가지는 제6 렌즈를 포함하고, 상기 제1 렌즈, 제2 렌즈, 제3 렌즈, 제4 렌즈, 제5 렌즈 및 제6 렌즈는 물체측에서부터 상측으로 순서대로 배열되고, 조건식 0.7 003c# BFL/EPD 003c# 1.2 (BFL: 제6 렌즈(L6)의 제2 면(상측 면)에서 센서면 까지의 광축상 거리(mm), EPD: 입사동(유효개구)의 직경(Entrance Pupil Diameter)(mm))을 만족할 수 있다. 본 발명에 따르면, 120도 정도의 광각을 확보할 수 있을 뿐만 아니라 20 메가 이상의 고화소 이미지센서에 대응하는 고해상도를 구현하는 소형 모바일 광학계를 제공할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934ad912577adcb5b4b4b06e993adba68f2d4527a26cb769665d694456373618f207a4085ad620576d3afa8188e96efc2522604267f97e420d,True,True,False,0,data\반도체\코아시아\tech\source\coasia_kipris_plus_bibliographic_raw.csv,,11,G02B,G02B 13,False,False,0,True,True,2020.0
