date,open,high,low,close,volume,market_cap,return,market_return,abnormal_return,mdd,ma20,ma60,ma20_ratio,ma60_ratio,vix,vkospi,eps,psr,car_3,car_5,inst_net_buy,foreign_net_buy,foreign_holding_shares,foreign_holding_pct
2021-04-01,30465.931042041364,30597.628150292265,29763.546464703235,30509.830078125,432992,603125216205.9727,0.016081978993861767,0.008486251847749982,0.007595727146111786,0.0,28870.1982421875,27052.778450520833,1.0567932309360293,1.1277891523758665,17.329999923706055,13.54,,,0.033716255124933925,0.02752228438410087,93049.0,-7133.0,1851720.0,9.37
2021-04-02,30817.121960554752,31387.80940426873,30246.434516840778,30465.9296875,819543,602257383362.6094,-0.0014388933177466035,0.008227034814988876,-0.00966592813273548,-0.0014388933177466759,28988.72568359375,27132.528385416666,1.0509578799713255,1.1228562725424067,17.329999923706055,13.54,,,0.02162011767925265,0.028719503177381478,58716.0,26099.0,1877873.0,9.5
2021-04-05,30729.32335805085,31256.111758474577,30378.131091101695,31080.515625,491685,614406657071.5312,0.020172892926755503,0.0025796804070015167,0.017593212519753987,0.0,29133.59248046875,27237.886100260417,1.0668274311119192,1.1410766426805363,17.90999984741211,13.54,,,0.015523011533130293,0.04164353951195243,-8811.0,19168.0,1895347.0,9.59
2021-04-06,31431.708438400576,31431.708438400576,30026.939346181556,30465.9296875,540185,602257383362.6094,-0.01977399425785753,0.0020026723158714788,-0.02177666657372901,-0.019773994257857568,29267.48466796875,27327.879134114584,1.040948001959419,1.1148296411143026,18.1200008392334,13.54,,,-0.013849382186710502,0.017436663625277626,17457.0,-106141.0,1789021.0,9.05
2021-04-07,30465.927388035972,30597.62448049146,29807.44192575854,30202.533203125,330556,597050502131.8789,-0.008645607965250157,0.003303348083931734,-0.011948956049181891,-0.02824864402084711,29427.716015625,27417.140462239582,1.0263295047121088,1.101593116347112,17.15999984741211,13.54,,,-0.016132410103156913,-0.018202611089780607,-33687.0,17913.0,1807561.0,9.14
2021-04-08,30158.63579087243,30378.130956744866,29807.443525476538,29939.140625,215189,591843698120.7812,-0.008720877032187047,0.0018646264976949212,-0.010585503529881968,-0.03672316810220227,29535.26875,27499.0853515625,1.013674223804041,1.0887322338995125,16.950000762939453,13.54,,,-0.04431112615279287,-0.03638384176577436,-21396.0,-1795.0,1806066.0,9.14
2021-04-09,30202.536191434847,30465.930402406662,29851.34391013909,29983.041015625,283309,592711530964.1445,0.0014663210001539806,-0.003620485393435069,0.0050868063935890495,-0.035310695054628735,29638.431640625,27585.420182291666,1.011627112364733,1.086916233919557,16.690000534057617,13.54,,,-0.01744765318547481,-0.02163110723944983,-60881.0,10662.0,1816965.0,9.19
2021-04-12,30202.53098404255,31036.61250831117,29939.136818484043,30948.814453125,372002,611803158541.4414,0.032210656584057196,0.0011846575274123694,0.031025999056644826,-0.004237419142720604,29796.46806640625,27689.314485677085,1.0386739255186406,1.1177168892763294,16.90999984741211,13.54,,,0.025527301920351908,-0.008198320702558992,48817.0,49822.0,1872101.0,9.47
2021-04-13,30641.524888878812,30685.4239216709,30114.73649537373,30246.43359375,362093,597918334975.2422,-0.022694919717807793,0.010680602150042073,-0.03337552186784987,-0.026836170973273576,29884.26611328125,27783.697428385418,1.01211900198907,1.0886396121938944,16.649999618530273,13.54,,,0.002737283582384009,-0.01979717599667985,-31743.0,-27020.0,1844681.0,9.33
2021-04-14,30422.02972491836,30597.62585608672,29851.34229862119,30246.43359375,342483,597918334975.2422,0.0,0.0041967398612940965,-0.0041967398612940965,-0.026836170973273576,29954.50458984375,27876.617057291667,1.0097457463544641,1.0850109083031099,16.989999771118164,13.54,,,-0.006546262672499137,-0.012044959808792055,-29154.0,-3646.0,1861217.0,9.42
