application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020210080048,1020210157893,1029387550000,등록,등록,"병렬 소켓 작동과 함께 능동형 열 인터포저(ATI) 또는 수동형 인터포저를 사용하는 테스트 장치, 및 통합 테스트 셀을 구성하는 방법",어드반테스트 테스트 솔루션스 인코포레이티드
1020220142573,1020230065902,1029387630000,등록,등록,고 전류 디바이스 테스트 장치 및 시스템,어드반테스트 테스트 솔루션스 인코포레이티드
1020257006092,1020250044709,,공개,공개,테스트 중인 디바이스 소켓에서 테스트 중인 각진 디바이스를 무선으로 테스트하기 위한 테스트 배열체,주식회사 아도반테스토
1020257006091,1020250044341,,공개,공개,개구부가 있는 캐리어 구조를 사용하여 테스트 중인 각진 디바이스를 무선으로 테스트하기 위한 테스트 배열체,주식회사 아도반테스토
1020257006089,1020250044889,,공개,공개,캐리어 구조 표면에 대해 기울어진 테스트 중인 각진 디바이스를 무선으로 테스트하기 위한 테스트 배열체,주식회사 아도반테스토
1020077003155,1020070062501,1009103550000,소멸,소멸,전자 부품 시험 장치,주식회사 아도반테스토
1019990017995,1019990088392,1003837280000,소멸,소멸,반도체 디바이스 시험 장치 및 그 캘리브레이션 방법,주식회사 아도반테스토
1020117001764,1020110022700,1012225040000,등록,등록,테스트부유니트 및 테스트헤드,주식회사 아도반테스토
1019970059141,1019980079453,1002818460000,소멸,소멸,하전입자빔노광방법및그노광장치,후지쯔 가부시끼가이샤|주식회사 아도반테스토
1020057015017,1020050099626,,거절,거절,집적 회로의 시험 방법 및 그 장치,주식회사 아도반테스토
1019990047929,1020000035135,1003503080000,소멸,소멸,전자빔 노출 장치를 위한 정전 편향기,주식회사 아도반테스토
1020000022196,1020010014831,1003391400000,소멸,소멸,전자빔 노출 장치,주식회사 아도반테스토
1019970702948,1019970707447,1002706520000,소멸,소멸,반도체디바이스반송처리장치,주식회사 아도반테스토
1019990051532,1020000062166,1003287850000,소멸,소멸,대전 입자빔 리소그라피 시스템,주식회사 아도반테스토
1020227003124,1020220044272,1028503610000,등록,등록,"처리 장치와 프로그램 및/또는 데이터 메모리를 포함하는 피시험 장치를 테스트하기 위한 자동 테스트 장비와, 테스트 제어기, 피시험 장치에 대한 하나 이상의 인터페이스 및 공유 메모리를 포함하는 자동 테스트 장비와, 피시험 장치를 테스트하기 위한 방법",주식회사 아도반테스토
1020217015278,1020210079348,1025693350000,등록,등록,"커맨드 오류 처리를 위해 하나 이상의 테스트 대상 디바이스를 테스트하기 위한 자동 테스트 장비, 하나 이상의 테스트 대상 디바이스의 자동 테스트를 위한 방법 및 컴퓨터 프로그램",주식회사 아도반테스토
1020217015271,1020210079347,1025913400000,등록,등록,"버퍼 메모리를 사용하여 하나 이상의 테스트 대상 디바이스를 테스트하기 위한 자동 테스트 장비, 하나 이상의 테스트 대상 디바이스의 자동 테스트를 위한 방법 및 컴퓨터 프로그램",주식회사 아도반테스토
1020170004128,1020170093062,1018941700000,등록,등록,노광장치,주식회사 아도반테스토
1020210186668,1020220097269,1028297020000,등록,등록,장치 테스트를 위한 다중 입력 다중 구역 열 제어,어드반테스트 테스트 솔루션스 인코포레이티드
