record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
"1020257027110|1029434710000|합성 그래핀의 도핑을 포함하는, 큰-면적/웨이퍼 스케일 CMOS-양립 가능 2D-재료 인터칼레이션 도핑 툴, 프로세스, 및 방법|테스티네이션 2디 인코포레이티드.,","합성 그래핀의 도핑을 포함하는, 큰-면적/웨이퍼 스케일 CMOS-양립 가능 2D-재료 인터칼레이션 도핑 툴, 프로세스, 및 방법","테스티네이션 2디 인코포레이티드.,",1020257027110,1020250151391,1029434710000,등록,2024,2025,2026,H01J; H10P; H10W,,기판; 웨이퍼,True,True,False,56.5,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,31
1020230085317|1027986100000|적층 칩 및 적층 칩의 제조 방법|주식회사 아도반테스토|고쿠리츠다이가쿠호진 도쿄가가쿠 다이가쿠,적층 칩 및 적층 칩의 제조 방법,주식회사 아도반테스토|고쿠리츠다이가쿠호진 도쿄가가쿠 다이가쿠,1020230085317,1020240057970,1027986100000,등록,2023,2024,2025,H10B; H10W,,기판; 반도체,True,True,False,55.0,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,77
1020230105972|1027637180000|기판처리장치 및 기판처리방법|주식회사 테스,기판처리장치 및 기판처리방법,주식회사 테스,1020230105972,,1027637180000,등록,2023,2025,2025,H10P; C23C,,공정; 기판,True,True,False,55.0,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,125
1020230083521|1026356880000|플레이트 기판 타입의 연속공정 방식 태양광 모듈의 전기적 특성 시험장치|주식회사 유니테스트,플레이트 기판 타입의 연속공정 방식 태양광 모듈의 전기적 특성 시험장치,주식회사 유니테스트,1020230083521,,1026356880000,등록,2023,2024,2024,H02S; H10P,,공정; 기판,True,True,False,55.0,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,136
1020210192186|1028828990000|기판지지유닛|주식회사 테스,기판지지유닛,주식회사 테스,1020210192186,1020230102228,1028828990000,등록,2021,2023,2025,H10K; C23C,,공정; 기판,True,True,False,55.0,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,175
1020230083520|1026625840000|Roll to Roll 필름 기판 타입의 연속공정 방식 태양광 모듈의 전기적 특성 시험장치|주식회사 유니테스트,Roll to Roll 필름 기판 타입의 연속공정 방식 태양광 모듈의 전기적 특성 시험장치,주식회사 유니테스트,1020230083520,,1026625840000,등록,2023,2024,2024,H02S; G01R,,공정; 기판,True,True,False,55.0,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,253
1020230039790|1027521030000|기판처리장치|주식회사 테스,기판처리장치,주식회사 테스,1020230039790,1020240145219,1027521030000,등록,2023,2024,2025,H10P,,공정; 기판,True,True,False,53.5,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,133
1020170183523|1021544790000|정전척|주식회사 테스,정전척,주식회사 테스,1020170183523,1020190081169,1021544790000,등록,2017,2019,2020,H10P; H02N; B23Q,,공정; 기판,True,True,False,52.5,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,137
1020230136503|1028316290000|저유전 절연막 및 그 증착 방법|주식회사 테스,저유전 절연막 및 그 증착 방법,주식회사 테스,1020230136503,1020250053370,1028316290000,등록,2023,2025,2025,H10P; H10W,,기판,True,True,False,52.0,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,73
1020247001280|1028299780000|고전압 구역과 이로부터 연장되고 안전 디바이스를 통해 연결된 복수의 저전압 구역을 갖는 차량 전기 시스템|비테스코 테크놀로지스 게엠베하,고전압 구역과 이로부터 연장되고 안전 디바이스를 통해 연결된 복수의 저전압 구역을 갖는 차량 전기 시스템,비테스코 테크놀로지스 게엠베하,1020247001280,1020240021903,1028299780000,등록,2022,2024,2025,B60L; B60R; H02H; H02J,,,True,True,False,52.0,C:\Agent_6.9\data\반도체\테스\tech\source\tes_kipris_plus_bibliographic_raw.csv,83
