application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020230189715,1020230189715,1020250098430.0,1020250098430.0,,,공개,공개,공개 공개,네트워크 온 칩의 설계 공간 탐색 방법 및 그 장치,네트워크 온 칩의 설계 공간 탐색 방법 및 그 장치,주식회사 텔레칩스,주식회사 텔레칩스,,20231222,2023,20250701,20250701,,,G06F 30/398|G06F 30/392|G06F 30/394|G06F 30/20|G06F 15/78|G06F 111/04|G06F 115/02|G06F 115/08|G06F 117/12|G06F 119/06,G06F 30/398|G06F 30/392|G06F 30/394|G06F 30/20|G06F 15/78|G06F 111/04|G06F 115/02|G06F 115/08|G06F 117/12|G06F 119/06,,,"적어도 하나의 프로세서에 의해 동작하는 설계 공간 탐색 장치의 동작 방법으로서, 칩 설계를 위한 요구 정보를 입력 받는 단계, 상기 요구 정보를 고려하여, 상기 칩을 구성하는 IP(Intellectual Property) 들간의 연결 경로 결정, 또는 상기 IP들 사이에 스위치 배치 중 적어도 하나 이상의 동작을 통해 칩의 구조를 생성하는 단계, 상기 생성된 칩을 동작시키는 시뮬레이션을 통해 성능 측정, 면적 추정 및 소비 전력 추정을 수행하는 단계, 성능(Performance) 측정치, 면적(Area) 추정치 및 소비 전력(Power) 추정치가 상기 요구 정보를 충족할 때까지 다양한 조건을 가변하는 시뮬레이션을 반복하는 단계, 그리고 상기 요구 정보를 충족할 때의 상기 칩의 설계 정보를 추출하여 출력하는 단계를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b92e947dc15209da6f6da52f7c56cdd6c92115664b022552c04a5d42fa46a23edad8a7b531aa13033d6aeeeeb0fc435155baacfa7b19e96d,False,False,False,1,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,2,G06F,G06F 30,False,False,1,False,False,2023.0
1020050130815,1020050130815,,,1007487150000.0,1007487150000.0,소멸,소멸,소멸 소멸,하드웨어 작업관리 장치,하드웨어 작업관리 장치,주식회사 텔레칩스,주식회사 텔레칩스,,20051227,2005,20070813,20070813,20070806.0,20070806.0,H04N 19/436,H04N 19/436,,,"본 발명은 독립적으로 동작가능한 하드웨어 블록들을 중앙처리장치의 간섭없이 운용되도록 지원하는 하드웨어 작업관리 기술에 관한 것이다. 본 발명에 따르면 하드웨어 작업을 수행하는 각각의 하드웨어 블록에 대한 상태 검사 및 관리가 중앙처리장치의 제어에서 벗어나 독립적으로 수행됨으로써 하드웨어 수행 중에 중앙처리장치에 의한 소프트웨어의 병렬 작업이 가능해지며, 중앙처리장치의 하드웨어 블록 상태 검사로 인한 하드웨어 블록 간의 대기 시간이 단축되어 하드웨어 블록 간에도 최대한 병렬적으로 동작할 수 있는 효과가 있다. 하드웨어, 작업관리, 병렬 작업, 태스크로더, FSM",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9c592fb536ea920a4ddc26fce002311356cc152b0d99da813534b5134762b277e0,True,False,True,0,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,3,H04N,H04N 19,False,False,0,True,False,2005.0
1020230189392,1020230189392,1020250098271.0,1020250098271.0,,,공개,공개,공개 공개,플로어 플랜 시각화를 이용한 GP 먹스 위치를 설정하는 반도체 칩의 설계 방법 및 그 장치,플로어 플랜 시각화를 이용한 GP 먹스 위치를 설정하는 반도체 칩의 설계 방법 및 그 장치,주식회사 텔레칩스,주식회사 텔레칩스,,20231222,2023,20250701,20250701,,,G06F 30/392|G06F 30/398|G06F 30/3312|G06F 30/31|G06F 111/20|G06F 119/12|G06F 111/04,G06F 30/392|G06F 30/398|G06F 30/3312|G06F 30/31|G06F 111/20|G06F 119/12|G06F 111/04,,,"적어도 하나의 프로세서에 의해 동작하는 반도체 칩의 설계 장치의 동작 방법으로서, 소정의 기능을 처리하는 서브-시스템 블록들, 상기 서브-시스템 블록들이 출력하는 기능 시그널들을 상기 반도체 칩의 외부로 출력하고, 외부에서 입력되는 데이터를 상기 서브-시스템 블록들로 전달하는 GP 패드들, 상기 서브-시스템 블록들의 기능 시그널들을 선택적으로 상기 GP 패드들 중 하나로 출력시키는 GP 먹스가 배치된 플로어 플랜 이미지를 화면 상에 출력하는 단계, 상기 플로어 플랜 이미지를 기초로, 상기 GP 먹스가 반도체 칩 상의 특정 위치에 편향되어 배치되어 있지 않으면, 상기 기능 시그널들의 흐름을 분석하여 상기 기능 시그널들의 타이밍을 최소화할 수 있는 상기 GP 먹스의 위치를 결정하는 단계, 그리고 결정한 위치에 GP 먹스를 배치시키는 단계를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b92e947dc15209da6f6da52f7c56cdd6c92115664b02255293916afd402ed2569e44f1ff0383da8e1d80b3e40c50b021372863c5a8bff335,False,False,False,2,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,4,G06F,G06F 30,False,False,2,False,False,2023.0
1020070004359,1020070004359,,,1007483850000.0,1007483850000.0,소멸,소멸,소멸 소멸,이동형 저장매체를 이용한 음향 시스템 및 그 제어방법,이동형 저장매체를 이용한 음향 시스템 및 그 제어방법,주식회사 텔레칩스,주식회사 텔레칩스,,20070115,2007,20070810,20070810,20070806.0,20070806.0,G10H 1/36|G11B 20/10|G11B 31/00,G10H 1/36|G11B 20/10|G11B 31/00,,,"본 발명은 이동형 저장매체를 이용한 음향 시스템 기술에 관한 것으로, 아날로그 음원이 음향 기기에 입력되도록 하는 마이크; 및 마이크를 통해 입력된 아날로그 음원을 미리 저장된 반주와 함께 출력시키고, 출력시킨 아날로그 음원과 반주를 이동형 저장매체에 저장시킬 수 있도록 인터페이스를 수행하는 이동형 저장매체 포트를 구비한 음향 기기;를 포함하여 구성함으로써, 음향 기기로 입력된 음원을 UFD, SD 카드, MMC 등과 같은 이동형 저장매체에 저장하여 이용할 수 있게 되는 것이다. 이동형 저장매체, 음향 시스템, UFD, SD 카드, 노래방 기기",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cf44e6e9608087f40e39296897e6e26574d1485921bd30f7bf475417d60368eb9,True,False,True,0,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,5,G10H,G10H 1,False,False,0,True,False,2007.0
1020080130221,1020080130221,1020100071487.0,1020100071487.0,1009741900000.0,1009741900000.0,소멸,소멸,소멸 소멸,부동 소수점을 이용한 복소수 곱셈방법,부동 소수점을 이용한 복소수 곱셈방법,주식회사 텔레칩스,주식회사 텔레칩스,,20081219,2008,20100629,20100629,20100730.0,20100730.0,G06F 7/48|G06F 7/487,G06F 7/48|G06F 7/487,,,"본 발명은 부동 소수점을 이용한 복소수 곱셈 기술에 관한 것으로, 특히 복소수 곱셈을 위해 이루어지는 일련의 부동 소수점 연산에 있어서 각 연산 단계 사이의 출력값과 입력값을 정규화하는 대신 연속 처리되는 다음 연산을 위한 정보를 미리 산출하고 각 연산 단계에서 미리 산출된 연산 정보에 따라 연산이 이루어지는 부동 소수점을 이용한 복소수 곱셈 기술에 관한 것이다. 본 발명에 따르면 DSP 연산에 많이 사용되는 복소수 곱셈 연산을 빠르고 효율적으로 처리할 수 있으며, 특히 OFDM 방식 등의 복소수 연산량이 많은 통신 환경에서 다량의 복소수 곱셈을 신속히 처리하여 원활한 통신 환경을 제공하는 효과가 있다. 또한, 칩 구현에 따른 면적을 크게 줄일 수 있으며, 부동 소수점 연산에 수반되는 오차의 크기를 줄임으로써 높은 정확도로 복소수 곱셈 연산이 이루어지는 효과가 있다. 부동 소수점, 복소수, 곱셈, DSP",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf726ddaf58bacaec116456bf136fdd2c61c38d528c5b70a9b9b1738e3e758197171403f01065cdd71115364d69a80e833f1010cc710c4e0ea771,True,False,True,1,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,6,G06F,G06F 7,False,False,1,True,False,2008.0
1020080027987,1020080027987,,,1009105530000.0,1009105530000.0,소멸,소멸,소멸 소멸,싱크 에러가 포함된 데이터 CD 판독 방법,싱크 에러가 포함된 데이터 CD 판독 방법,주식회사 텔레칩스,주식회사 텔레칩스,,20080326,2008,20090803,20090803,20090728.0,20090728.0,G11B 20/18|G11B 27/19|G11B 27/30,G11B 20/18|G11B 27/19|G11B 27/30,,,"본 발명은 싱크 에러 복구 기술을 개시한다. 즉, 데이터 CD의 판독대상 섹터로부터 식별된 에러 싱크 데이터를 정상 싱크 데이터 값으로 정정 설정한 후, 에러 정정 디코딩에 제공하는 싱크 에러가 포함된 데이터 CD 판독 방법을 구현함으로써, 싱크 에러가 발생한 판독대상 섹터에 대한 에러 복구율을 향상시키고, 에러 싱크 데이터의 복구를 통해 CD 데이터의 음질을 개선한다. 에러 싱크 데이터, 판독대상 섹터, 에러 정정 디코딩",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9c8b05d8ff1d82925118ae3a3fda393e98cfdee10f03fd3faa60713fd755563a0a,True,False,True,0,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,7,G11B,G11B 20,False,False,0,True,False,2008.0
1020210041302,1020210041302,1020220077823.0,1020220077823.0,1024767100000.0,1024767100000.0,등록,등록,등록 등록,대체 이미지를 제공하는 장치 및 그 방법,대체 이미지를 제공하는 장치 및 그 방법,주식회사 텔레칩스,주식회사 텔레칩스,,20210330,2021,20220609,20220609,20221207.0,20221207.0,H04N 21/414|H04N 21/442|H04N 21/436,H04N 21/414|H04N 21/442|H04N 21/436,,,"대체 이미지를 제공하는 장치 및 그 방법이 개시된다. 이 장치는 복수의 차량 상태 정보에 기초하여 이미지 프레임을 생성하는 디스플레이 엔진, 상기 복수의 차량 상태 정보 중에서 사전 정의된 일부 차량 상태 정보를 토대로 텔테일(Teltale) 이미지 데이터를 생성하는 마이크로 컨트롤러 유닛, 그리고 상기 디스플레이 엔진 및 상기 마이크로 컨트롤러 유닛에 연결되고, 상기 텔테일 이미지 데이터를 토대로 텔테일 이미지 프레임을 생성하며, 상기 마이크로 컨트롤러 유닛의 제어에 따라 상기 이미지 프레임 또는 상기 텔테일 이미지 프레임 중에서 선택적으로 출력하는 영상 제어 엔진을 포함하고, 상기 마이크로 컨트롤러 유닛은 상기 이미지 프레임에 오류가 발생한 경우, 상기 영상 제어 엔진으로 상기 텔테일 이미지 프레임 선택을 요청하는 제어 신호를 출력한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c932bfd117f466f01f35272e75242d4f4ffdb73ff18fa088ad043537185ecee2f1cafe248e3b089a4c94883f37fcda869187505673a7d5072a5,True,True,False,0,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,8,H04N,H04N 21,False,False,0,True,True,2021.0
1020190163002,1020190163002,,,1022285990000.0,1022285990000.0,등록,등록,등록 등록,ISDB 전송 스트림의 심리스 전환을 제공하는 송신 장치 및 수신 장치,ISDB 전송 스트림의 심리스 전환을 제공하는 송신 장치 및 수신 장치,주식회사 텔레칩스,주식회사 텔레칩스,,20191209,2019,20210316,20210316,20210310.0,20210310.0,H04N 21/236|H04N 21/2343|H04N 21/235|H04N 21/43|H04N 21/422|H04N 21/434,H04N 21/236|H04N 21/2343|H04N 21/235|H04N 21/43|H04N 21/422|H04N 21/434,,,"통합 디지털 방송 서비스(Integrated Services Digital Broadcasting, ISDB)를 위한 송신 장치 및 수신 장치가 제공된다. 송신 장치는 복수개의 세그먼트로 구성된 전송 주파수 대역에서, 적어도 하나의 세그먼트의 주파수 대역을 통하여 송신되는 제1 세그먼트 신호를 인코딩하는 제1 인코더, 상기 복수개의 세그먼트 중에서 상기 적어도 하나의 세그먼트를 제외한 나머지 세그먼트들의 주파수 대역을 통하여 송신되는 제2 세그먼트 신호를 인코딩하는 제2 인코더, 상기 제1 세그먼트 신호, 상기 제2 세그먼트 신호, 및 상기 제1 세그먼트 신호와 상기 제2 세그먼트 신호 사이의 시간 차이 정보를 다중화하는 멀티플렉서, 상기 멀티플렉서가 출력하는 다중화 신호를 채널 인코딩하여 전송 스트림을 생성하는 채널 인코더, 그리고 상기 전송 스트림을 전송하는 송신부를 포함하고, 상기 시간 차이 정보는, 상기 전송 스트림을 수신한 수신 장치에서 상기 제1 세그먼트 신호와 상기 제2 세그먼트 신호를 선택적으로 재생할때, 끊김없이 연속적인 전환을 하는데 사용된다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93fd7243654565b88d533c46ac5c984a512cb5b47e448ff1a6f53704450aa3a80543ff7f29aac6a72c4f9e63e7c804fadaf9c415e64e10914a,True,True,False,0,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,9,H04N,H04N 21,False,False,0,True,True,2019.0
1020190173272,1020190173272,1020210081079.0,1020210081079.0,1022755290000.0,1022755290000.0,등록,등록,등록 등록,멀티-마스터를 지원하는 그래픽 처리 장치를 공유하는 시스템 온 칩 및 그래픽 처리 장치의 동작 방법,멀티-마스터를 지원하는 그래픽 처리 장치를 공유하는 시스템 온 칩 및 그래픽 처리 장치의 동작 방법,주식회사 텔레칩스,주식회사 텔레칩스,,20191223,2019,20210701,20210701,20210705.0,20210705.0,G06F 15/78|G06F 11/30|G06T 1/20|G06F 9/455,G06F 15/78|G06F 11/30|G06T 1/20|G06F 9/455,,,"멀티-마스터를 지원하는 그래픽 처리 장치를 공유하는 시스템 온 칩이 제공된다. 시스템 온-칩(System on chip, SoC)은 적어도 하나의 운영 체제(Operating System)를 실행하는 복수의 중앙 처리 장치(Central Processing Unit, CPU), 버스 인터페이스를 통해 상기 복수의 중앙 처리 장치와 각각 연결되어 상호 통신하는 그래픽 처리 장치(Graphics Processing Unit, GPU), 그리고 상기 복수의 중앙 처리 장치 중 적어도 하나의 중앙 처리 장치와 선택적으로 연결되고, 연결된 중앙 처리 장치에서 실행된 적어도 하나의 운영 체제의 실행 상태 정보를 상기 그래픽 처리 장치로 전달하는 적어도 하나의 상태 모니터링 장치를 포함하고, 상기 그래픽 처리 장치는, 상기 적어도 하나의 운영 체제에 의하여 공유되고, 상기 적어도 하나의 운영 체제의 실행 상태 정보에 기초하여 상기 적어도 하나의 운영 체제에 의한 공유 동작을 제어한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933d2bdb8a3d37e5a6b543b3c4156f273c5ca0c4bff3f23d604ac4b108fce665c9c58af6d586ee722831920852d15251d9ee2627bc48121bbe,True,True,False,2,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,10,G06F,G06F 15,False,False,2,True,True,2019.0
1020210042052,1020210042052,,,1023779000000.0,1023779000000.0,등록,등록,등록 등록,더블 토크 이득 제어 장치 및 그 방법,더블 토크 이득 제어 장치 및 그 방법,주식회사 텔레칩스,주식회사 텔레칩스,,20210331,2021,20220323,20220323,20220318.0,20220318.0,H04R 3/00|H04R 3/02|H03G 3/20,H04R 3/00|H04R 3/02|H03G 3/20,,,"더블 토크 이득 제어 장치 및 그 방법이 개시된다. 이 장치에서, 에코 제거부는 원단으로부터의 수신 신호와 근단의 마이크를 통한 입력 신호를 사용하여 입력 신호에 포함된 에코 신호를 제거하여 원단으로 출력한다. 더블 토크 감지부는 원단으로부터의 수신 신호, 근단의 입력 신호 및 에코 제거부에 의해 에코 제거 처리된 신호를 사용하여 더블 토크 상황을 감지한다. 이득 조절부는 더블 토크 감지부에 의해 더블 토크 상황이 감지되는 경우 근단의 스피커로 출력되는 출력 신호의 신호 레벨 감소를 위해 이득 조절을 수행한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c935bd2fcd70e7ea3590490977651cb6a763423acfe8954d7ad2849827052acf6af31c8f09740d89a8522019e0ea1d14e2bd3ea1e0244df942d,True,True,False,0,data\반도체\텔레칩스\tech\source\telechips_kipris_plus_bibliographic_raw.csv,,11,H04R,H04R 3,False,False,0,True,True,2021.0
