날짜,시가,고가,저가,종가,거래량,시가총액,수익률,시장수익률,이상수익률,최대낙폭,20일이동평균,60일이동평균,20일이평비율,60일이평비율,VIX,VKOSPI,EPS,PSR,누적이상수익률_3일,누적이상수익률_5일,기관_순매매,외국인_순매매,보유주수,보유율_%
2023-08-14,93285.0867406542,93285.0867406542,91173.69588849948,92421.3359375,15487,1033216561721.0625,-0.0010373902992480977,-0.007868717342637166,0.006831327043389068,-0.16333624693931684,94254.409765625,99518.49140625,0.9805518507549604,0.9286850577368752,14.819999694824219,,19374.095816901347,118.66139906428295,0.005332005521391903,0.0010134358342068772,505.0,-1596.0,8037672.0,68.85
2023-08-16,92421.33934994861,93573.00713001027,91269.67156988694,93381.0625,27443,1043945744209.5,0.01038425329784265,-0.017593352657915062,0.02797760595575771,-0.154648118602411,93956.89609375,99427.31770833333,0.9938713003761275,0.9391891952061926,16.780000686645508,,19374.095816901347,118.66139906428295,0.015465216555814787,0.025348081623053353,15753.0,-3536.0,8036155.0,68.83
2023-08-17,93381.06453492084,94724.67697427222,92229.39672976252,93956.8984375,40137,1050383253702.5625,0.006166517301085639,-0.002292407139627861,0.0084589244407135,-0.14943524160026742,93740.958203125,99321.74830729167,1.0023035846711432,0.9459851446312307,17.889999389648438,,19374.095816901347,118.66139906428295,0.04326785743986028,0.041768535917863114,9615.0,-2388.0,8033767.0,68.81
2023-08-18,92517.31181782745,92997.17339364605,90022.03162357069,92325.3671875,35767,1032143687141.8125,-0.0173646776035854,-0.006091670957144357,-0.011273006646441042,-0.16420502441085025,93462.638671875,99187.387109375,0.9878318063716595,0.9308176158092744,17.299999237060547,,19374.095816901347,118.66139906428295,0.02516352375003017,0.012651134350087245,-2954.0,-5285.0,8028982.0,68.77
2023-08-21,94052.87269736842,94052.87269736842,90405.92457236841,91173.703125,26504,1019268755494.875,-0.012473972187525995,0.001716929058943828,-0.014190901246469823,-0.17463070769082326,93222.70859375,99067.42174479166,0.9780203182286921,0.9203197329579573,17.1299991607666,,19374.095816901347,118.66139906428295,-0.017004983452197364,0.017803949546949416,6647.0,-12805.0,8016176.0,68.66
2023-08-22,91077.72646733111,91461.61572535991,86375.08305647841,86663.0,60977,968841728808.0,-0.04947372948991424,0.0027662393459739754,-0.05223996883588822,-0.2154648047878094,92891.60390625,98857.88229166667,0.9329476115781554,0.8766422867962381,16.969999313354492,,19374.095816901347,118.66139906428295,-0.07770387672879908,-0.04126734633232787,-7492.0,-17679.0,7996998.0,68.5
2023-08-23,86183.1455327414,87046.8964345172,85127.44998612652,86471.0625,31021,966695979649.5,-0.0022147571628030605,-0.0040703690660103264,0.001855611903207266,-0.2172023597308767,92627.68046875,98653.14140625,0.9335337132745425,0.8765160568371093,15.979999542236328,,19374.095816901347,118.66139906428295,-0.06457525817915077,-0.06738934038487832,-10277.0,4854.0,8003847.0,68.56
2023-08-24,87622.72857725789,88774.39642274211,86663.00537268771,88198.5625,35155,986008420789.5,0.019977781584446186,0.012843716479993939,0.007134065104452247,-0.2015637994487603,92555.7015625,98440.40286458333,0.9529241420145493,0.8959589755166665,17.200000762939453,,19374.095816901347,118.66139906428295,-0.043250291828228704,-0.06871419972113957,7489.0,-2039.0,8002812.0,68.55
2023-08-25,87238.83088535987,88198.55399741004,85703.2739060796,88006.609375,22755,983862496952.625,-0.0021763747566747593,-0.0073059012806685475,0.005129526523993788,-0.20330149584045532,92253.38828125,98216.46744791667,0.9539661470936658,0.8960473906442331,15.680000305175781,,19374.095816901347,118.66139906428295,0.014119203531653302,-0.05231166655070474,-1932.0,-525.0,8001045.0,68.53
2023-08-28,89062.309261301,89062.309261301,86087.16746485667,87046.890625,20523,973133401803.375,-0.010905075843912981,0.009634248420563818,-0.0205393242644768,-0.2119895534530472,91912.686328125,97979.73580729167,0.9470606735858608,0.8884172824899774,15.079999923706055,,19374.095816901347,118.66139906428295,-0.008275732636030764,-0.058660089568711715,-4165.0,-624.0,7999355.0,68.52
2023-08-29,87718.70156419653,88486.48013368621,86950.92299470684,88390.5078125,23403,988154257287.1875,0.01543555637487759,0.0034402633874863753,0.011995292987391215,-0.19982617378137926,91576.78359375,97768.59674479166,0.9652065113426034,0.9040787201152987,14.449999809265137,,19374.095816901347,118.66139906428295,-0.003414504753091796,0.005575172254567717,-3588.0,8977.0,8008084.0,68.59
2023-08-30,88774.39283288043,89446.19904891304,87814.66966711957,88294.53125,18912,987081295368.75,-0.0010858243138911483,0.003549957254152636,-0.004635781568043784,-0.20069502197722677,91192.894921875,97587.84895833333,0.9682172204933506,0.9047697248424724,13.880000114440918,,19374.095816901347,118.66139906428295,-0.013179812845129368,-0.0009162212166833328,191.0,2064.0,8008212.0,68.59
2023-08-31,88486.46735430283,88486.46735430283,87046.8827444172,88102.578125,25202,984935371531.875,-0.0021740092198518912,-0.0019326536683672568,-0.0002413555514846344,-0.2024327183689218,90914.575,97431.094140625,0.9690699002332684,0.9042552472811103,13.569999694824219,,19374.095816901347,118.66139906428295,0.0071181558678627965,-0.008291641872620215,-10859.0,7767.0,8015978.0,68.66
2023-09-01,87814.67094877578,93285.09307345361,87142.86472293815,93093.1484375,64784,1040727033132.5625,0.05664499744172491,0.00291046773204906,0.05373452970967585,-0.15725452174132581,90866.588671875,97360.714453125,1.024503613464188,0.9561674743288819,13.09000015258789,,19374.095816901347,118.66139906428295,0.04885739259014743,0.040313361313061846,-6165.0,27800.0,8043773.0,68.9
2023-09-04,93381.06674313398,93477.0390625,92133.42659137577,93477.0390625,24777,1045018706127.9375,0.0041237258750328465,0.008128878932546657,-0.0040051530575138106,-0.1537792704065636,90847.394140625,97205.55924479167,1.0289457385844718,0.961642932654683,13.09000015258789,,19374.095816901347,118.66139906428295,0.049488021100677404,0.056847532520024835,-1657.0,6154.0,8049926.0,68.95
2023-09-05,93668.97598650052,93668.97598650052,91653.55744580737,92421.3359375,21030,1033216561721.0625,-0.011293715928401893,-0.0009170328075382983,-0.010376683120863595,-0.16333624693931684,90832.998046875,97020.01276041666,1.0174863532502287,0.9526007398672196,14.010000228881836,,19374.095816901347,118.66139906428295,0.039352693531298444,0.034475556411770025,-6307.0,2021.0,8051909.0,68.97
