source_application_number,source_invention_title,source_ipc_number,source_application_date,source_register_status,source_final_disposal,source_right_holder,citation_record_index,citation_direction,cited_application_number,citing_application_number,citing_invention_title,citing_applicant_name,citation_date,citation_category,is_self_citation_estimated,parse_type,http_status_code,request_ok,request_url
1020210059849,슬러리 막힘 방지 구조를 갖는 CMP용 멀티노즐,B24B 57/02|H10P 72/00|B24B 37/10,2021-05-10,등록,등록,(주)티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020210059849,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210059849&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210071308,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,H10P 50/20|H10P 10/00|H10P 50/28|H10P 72/00,2021-06-02,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020210071308,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210071308&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020210122697,투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법,H10D 62/80|H10P 10/00,2021-09-14,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020210122697,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020210122697&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150051673,건식식각장치의 SiC 구조물 및 그 제조방법,H10P 50/28|H10P 10/00|H10P 72/00,2015-04-13,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020150051673,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150051673&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020150164251,반도체 공정 부품 재생방법,H10P 72/00|H10P 72/76,2015-11-23,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020150164251,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020150164251&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020160174736,"반도체 제조용 부품, 복합체 코팅층을 포함하는 반도체 제조용 부품 및 그 제조방법",H10P 50/20|H10P 10/00|H10P 50/26|H01J 49/10|H10W 74/01|H10P 72/00,2016-12-20,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020160174736,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020160174736&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170104300,투과도가 다른 복수 개의 층을 갖는 SiC 반도체 제조용 부품 및 그 제조방법,H10D 62/80|H10P 10/00,2017-08-17,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020170104300,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170104300&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020170175077,접합 세라믹 및 이의 제조방법,C04B 37/00|H10P 72/70,2017-12-19,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020170175077,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020170175077&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190044449,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,H10P 50/20|H10P 10/00|H10P 50/28,2019-04-16,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020190044449,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190044449&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190074213,CVD 방식으로 형성된 SIC 구조체,H10P 10/00|H10P 50/20,2019-06-21,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020190074213,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190074213&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
1020190074396,CVD 방식으로 형성된 SIC 구조체,H10P 10/00,2019-06-21,등록,등록,주식회사 티씨케이,1,BACKWARD_CITATION_ESTIMATED,1020190074396,,,,,,False,XML,200,True,http://plus.kipris.or.kr/openapi/rest/CitationService/citationInfoV3?applicationNumber=1020190074396&accessKey=7fhIrZ0g7smPbDV8BaGlM7b%2FFcjZVpk1bl2RcX9HDNo%3D
