application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020180163532,1020180163532,1020200075209,1020200075209,1022436100000,1022436100000,등록,등록,등록 등록,"음극 활물질, 그의 제조 방법 및 그를 포함하는 리튬이차전지","음극 활물질, 그의 제조 방법 및 그를 포함하는 리튬이차전지",주식회사 티씨케이,주식회사 티씨케이,,20181217,2018,20200626,20200626,20210419,20210419,H01M 4/36|H01M 4/38|H01M 4/587|H01M 4/62|H01M 10/052|C01B 33/02|C01B 32/21|C01B 32/05,H01M 4/36|H01M 4/38|H01M 4/587|H01M 4/62|H01M 10/052|C01B 33/02|C01B 32/21|C01B 32/05,,,"본 발명은, 음극 활물질, 그의 제조 방법 및 그를 포함하는 리튬이차전지에 관한 것으로, 본 발명의 일 측면에 따른 음극 활물질은, 탄소물질 및 실리콘 입자를 포함하고, 벌크 입자 내에, 상기 탄소물질이 상기 실리콘 입자를 감싸고 있는 것이고, 다른 측면에 따른 음극 활물질의 제조 방법은 탄소물질 및 실리콘 입자를 혼합하여 혼합 분말을 제조하는 단계; 상기 혼합 분말을 기계적으로 오버믹싱하는 단계;를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93fcc0fd6ad2f8c9ed70aa9caeade41055854677d50e9e8075273b9cd918089b87a7baf613785856c0ce6653c3a7d4136034334cbdd75c889a,True,True,False,0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,2
1020150164251,1020150164251,1020160072018,1020160072018,1017521750000,1017521750000,등록,등록,등록 등록,반도체 공정 부품 재생방법,반도체 공정 부품 재생방법,주식회사 티씨케이,주식회사 티씨케이,,20151123,2015,20160622,20160622,20170623,20170623,H10P 72/00|H10P 72/76,H10P 72/00|H10P 72/76,,,"본 발명은, TaC 코팅 층을 포함하고, 상기 TaC 코팅 층에 SiC 증착 층이 형성된 반도체 공정 부품을 준비하는 단계 및 수소가 포함된 가스, 염소가 포함된 가스, 및 불활성 가스로 이루어진 군으로부터 선택되는 적어도 어느 하나의 가스 조건하에서, 또는 진공 조건하에서 1700 내지 2700 ℃로 상기 반도체 공정 부품을 열처리하는 단계를 포함하는 반도체 공정 부품 재생방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e002fa4b255a199c7362a74c1af5113e3720cd12c6e10d76392552ed3925e916d5b118cd76a2f70f1567d3ada738248173fdc9cb80fe44227cf,True,True,False,1,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,3
1020200081411,1020200081411,,,1022623400000,1022623400000,등록,등록,등록 등록,탄화붕소 소재,탄화붕소 소재,주식회사 티씨케이,주식회사 티씨케이,,20200702,2020,20210609,20210609,20210602,20210602,C01B 32/991|C30B 29/36|C30B 25/00|F41H 1/02|H01J 37/32|B23B 27/18|B23C 5/16,C01B 32/991|C30B 29/36|C30B 25/00|F41H 1/02|H01J 37/32|B23B 27/18|B23C 5/16,,,"본 발명은, 탄화붕소 소재에 관한 것으로, 보다 구체적으로, X-선 회절 피크에서 (110)면의 피크가 최대 회절 강도를 갖는, 탄화붕소 소재에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93372dbd62a4a28ef406af8e8b7fce79d98a314b2d898044d86ab7a685d90ebc3b59827ddd398e90d0bb13c4782012500d652c5776c712efa4,True,True,False,1,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,4
1020190044449,1020190044449,1020200121642,1020200121642,1022623300000,1022623300000,등록,등록,등록 등록,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,주식회사 티씨케이,주식회사 티씨케이,,20190416,2019,20201026,20201026,20210602,20210602,H10P 50/20|H10P 10/00|H10P 50/28,H10P 50/20|H10P 10/00|H10P 50/28,,,"본 발명은 반도체 제조공정에서 사용되는 반도체 제조용 재생 부품과 그 재생장치 및 재생방법에 관한 것으로, 본 발명의 반도체 제조용 부품의 재생방법은, 증착 형성된 코팅층이 플라즈마에 노출되어 손상 부분 및 비손상 부분을 함께 포함하는, 반도체 제조용 부품을 준비하는 단계; 상기 준비된 반도체 제조용 부품에 재생부를 증착 형성하는 단계; 및 상기 재생부가 형성된 반도체 제조용 부품을 규격화 가공하는 단계;를 포함하고, 상기 재생부를 증착 형성하는 단계는, 상기 증착 형성된 코팅층의 증착 온도보다 낮은 평균 온도 조건에서 증착이 수행되는 것을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93372dbd62a4a28ef4b6da9d1cf280ccf853a00dfafec06713285ec3282ba9259e09030993619c0f0082279953698a96ab11959544ff47e322,True,True,False,1,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,5
1020110135667,1020110135667,1020130068137,1020130068137,1012815510000,1012815510000,등록,등록,등록 등록,건식식각장치의 포커스링 제조방법,건식식각장치의 포커스링 제조방법,주식회사 티씨케이,주식회사 티씨케이,,20111215,2011,20130625,20130625,20130627,20130627,H10P 50/20,H10P 50/20,,,"본 발명은 건식식각장치의 포커스링 제조방법에 관한 것으로, a) 원주형의 그라파이트괴를 준비하는 단계와, b) 상기 그라파이트괴의 전면에 화학적 기상 증착법으로 SiC를 증착하여 SiC층을 형성하는 단계와, c) 상기 SiC층과 상기 그라파이트괴를 원판형으로 다분할 되도록 절단하는 단계와, d) 상기 원판형으로 절단된 상기 그라파이트괴와 상기 절단된 그라파이트괴의 외측을 둘러싼 형태의 SiC층 구조에서, 상기 그라파이트괴를 제거하여 SiC재질의 다수의 SiC링을 획득하는 단계를 포함한다. 본 발명은 원주형의 그라파이트괴의 전면에 SiC를 증착하고, 그 SiC층을 원주형의 그라파이트괴의 지름방향으로 다수회 절단하고, 그 절단된 구조에서 그라파이트를 선택적으로 제거함으로써, 1회의 증착공정으로 다수의 SiC 포커스링을 제조할 수 있어, 생산성을 향상시킬 수 있는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf726b9c907414453c3dd74099fa96959434ce423acffbf01465a093d3ba6d7c2c61f73e95eec916f986dd0d383d0b63840e90081cca2bb035f1f,True,True,False,0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,6
1020180103710,1020180103710,1020200025804,1020200025804,1021137190000,1021137190000,등록,등록,등록 등록,활성탄 및 이의 제조방법,활성탄 및 이의 제조방법,주식회사 티씨케이,주식회사 티씨케이,,20180831,2018,20200310,20200310,20200515,20200515,C01B 32/306|C01B 32/342|C01B 32/354,C01B 32/306|C01B 32/342|C01B 32/354,,,"본 발명은, 활성탄 및 이의 제조방법에 관한 것으로, 마이크로 기공(micropore) 및 메소 기공(mesopore)을 포함하는 활성탄에 있어서, 상기 마이크로 기공의 단위 질량당 부피(micropore volume)는, 0.9 cm 3 /g 이하이고, 상기 마이크로 기공의 단위 질량당 부피 중 5 Å 이상의 직경을 갖는 기공의 부피 분율은, 50 % 이상인 것인, 활성탄 및 이의 제조방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e002b5333b1986a83abf27a625c2c12b64d6b66dd885cf7060f24f4977f6c581b123699ab156f9f05513d579b488945726c0408a1a6e7eab87d,True,True,False,0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,7
1020200165741,1020200165741,1020220077281,1020220077281,1025360730000,1025360730000,등록,등록,등록 등록,탄소-실리콘 복합체 및 이의 제조방법,탄소-실리콘 복합체 및 이의 제조방법,주식회사 티씨케이,주식회사 티씨케이,,20201201,2020,20220609,20220609,20230519,20230519,H01M 4/36|H01M 4/587|H01M 4/38|H01M 4/62|C01B 32/05|C01B 32/21|C01B 33/18|H01M 10/052,H01M 4/36|H01M 4/587|H01M 4/38|H01M 4/62|C01B 32/05|C01B 32/21|C01B 33/18|H01M 10/052,,,"본 발명은 탄소-실리콘 복합체 및 이의 제조방법에 관한 것으로, 본 발명의 일 측면은, 탄소 물질 및 실리콘 입자를 포함하는 코어; 및 상기 코어의 표면에 형성되고, 비정질 탄소를 포함하는 쉘;을 포함하고, 상기 실리콘 입자는, 상기 코어의 중심에서 표면까지 균일하게 분포되어 있는 것인, 탄소-실리콘 복합체를 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c930139dc09ac13341cb572650a28845f352903de7bc0710d8a9e6e549961de89e277b4429465aa11a19c94430be805f2300fc3b5c245225128,True,True,False,0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,8
1020090084846,1020090084846,1020110026969,1020110026969,1011399100000,1011399100000,등록,등록,등록 등록,실리콘 카바이드 복합체 및 그 제조방법,실리콘 카바이드 복합체 및 그 제조방법,주식회사 티씨케이,주식회사 티씨케이,,20090909,2009,20110316,20110316,20120418,20120418,C23C 16/32|C23C 16/455,C23C 16/32|C23C 16/455,,,"본 발명은 실리콘 카바이드 복합체 및 그 제조방법에 관한 것으로, 본 발명은 a) 기판을 준비하는 단계와, b) 상기 기판의 전면에 실리콘 카바이드를 증착함과 아울러 그 실리콘 카바이드의 그레인 사이에 열분해 카본을 증착하여 실리콘 카바이드 복합체층을 형성하는 단계와, c) 상기 실리콘 카바이드 복합체층의 측면을 절단하여 상기 기판의 측면을 노출시키고, 그 노출된 기판의 측면을 가로로 절단하여 상기 실리콘 카바이드 복합체층과 상기 기판의 적층구조물을 획득하는 단계와, d) 상기 적층구조물에서 상기 기판을 제거하는 단계를 포함한다. 이와 같은 구성의 본 발명은 실리콘 카바이드와 물리적인 결합을 통해 그 실리콘 카바이드의 그레인 사이에 열분해 카본를 충진시켜 저항 및 빛의 투과도를 낮춤과 아울러 윤활성이 좋은 열분해 카본을 노출시켜 윤활성을 향상시킬 수 있는 효과가 있다. 이와 같은 윤활성의 향상에 의해 실리콘 카바이드의 응용분야를 보다 확대할 수 있는 효과가 있다. 실리콘 카바이드, 열분해 카본, 윤활성",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd03bf8e5ba4e1dbf72674d05dd32132844bd0a8b900c8ec56b8b7c567286f112b79f3ae6f8790343aa06e0a6831baf5a95abd628993cef4a271003f440494425870,True,True,False,1,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,9
1020210071308,1020210071308,1020210068362,1020210068362,1025212770000,1025212770000,등록,등록,등록 등록,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,반도체 제조용 부품의 재생 방법 및 재생된 반도체 제조용 부품,주식회사 티씨케이,주식회사 티씨케이,,20210602,2021,20210609,20210609,20230410,20230410,H10P 50/20|H10P 10/00|H10P 50/28|H10P 72/00,H10P 50/20|H10P 10/00|H10P 50/28|H10P 72/00,,,"본 발명은 반도체 제조공정에서 사용되는 반도체 제조용 재생 부품과 그 재생장치 및 재생방법에 관한 것으로, 본 발명의 반도체 제조용 부품의 재생방법은, 증착 형성된 코팅층이 플라즈마에 노출되어 손상 부분 및 비손상 부분을 함께 포함하는, 반도체 제조용 부품을 준비하는 단계; 상기 준비된 반도체 제조용 부품에 재생부를 증착 형성하는 단계; 및 상기 재생부가 형성된 반도체 제조용 부품을 규격화 가공하는 단계;를 포함하고, 상기 재생부를 증착 형성하는 단계는, 상기 증착 형성된 코팅층의 증착 온도보다 낮은 평균 온도 조건에서 증착이 수행되는 것을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b11c29f80e7c673903f13524e926d03cf31b2861d2970767a7bbffadb15f57c9e1611b284bfe164bda417b527b5bd04bfb3daeb1285f39bf,True,True,False,1,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,10
1020150051673,1020150051673,,,1016317970000,1016317970000,등록,등록,등록 등록,건식식각장치의 SiC 구조물 및 그 제조방법,건식식각장치의 SiC 구조물 및 그 제조방법,주식회사 티씨케이,주식회사 티씨케이,,20150413,2015,20160620,20160620,20160613,20160613,H10P 50/28|H10P 10/00|H10P 72/00,H10P 50/28|H10P 10/00|H10P 72/00,,,"본 발명은 건식식각장치의 SiC 구조물 및 그 제조방법에 관한 것으로, 증착대상물과, 상기 증착대상물의 상부 전체에 증착되어 플라즈마에 노출되는 SiC 재질의 상부층을 포함하되, 상기 상부층은 SiC를 1100 내지 1300℃의 온도 조건에서 증착하여 된 것을 특징으로 한다. 본 발명은 SiC 증착시 하부층과 상부층을 구분하고, 공정조건을 변경하여 플라즈마에 접촉되는 상부층의 SiC 그레인사이즈를 줄여 입자를 조밀하게 배치함으로써, SiC 구조물의 플라즈마에 대한 내에칭성을 향상시켜 수명을 연장시킬 수 있는 효과가 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00fa2667fe63817a5100f8183ae4227e57d911690053ff938ecc612f02773c5116ea8134686f480d097be75ea7dcd68feaa3c202299dbc2ee6,True,True,False,0,C:\Agent_6.9\data\반도체\티씨케이\tech\source\tck_kipris_plus_bibliographic_raw.csv,,11
