application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020230033266,1020240139355,,공개,공개,기판 처리 장치 및 기판 처리 장치의 제어 방법,피에스케이 주식회사
1020230060663,1020240163429,,공개,공개,기판 처리 장치용 유지보수 기구,피에스케이 주식회사
1020220140564,1020240059375,,공개,공개,기판 처리 방법,피에스케이 주식회사
1020230099910,1020250018803,,공개,공개,기판 처리 장치 및 플라즈마 발생 유닛,피에스케이 주식회사
1020230100139,1020250019240,,공개,공개,기판 처리 장치 및 플라즈마 발생 유닛,피에스케이 주식회사
1020220113708,1020240034549,1029655950000,등록,등록,기판 처리 방법,피에스케이 주식회사
1020230049239,1020240153054,,공개,공개,기판 처리 장치,피에스케이 주식회사
1020220152622,1020240071009,,공개,공개,기판 처리 장치,피에스케이 주식회사
1020250077259,,1029623820000,등록,등록,웨이퍼 절단 방법,피에스케이홀딩스 (주)
1020240153155,1020260065140,,공개,공개,레이저 빔 편향 시스템을 이용한 기판 절단 방법,피에스케이홀딩스 (주)
1020220133515,1020240053429,,공개,공개,기판 처리 장치 및 기판 처리 방법,피에스케이 주식회사
1020230030088,1020240136740,,공개,공개,기판 처리 장치 및 배플,피에스케이 주식회사
1020230086877,1020250007140,,공개,공개,기판 처리 장치 및 척,피에스케이 주식회사
1020240143632,1020260058251,,공개,공개,기판처리장치 및 그 동작방법,피에스케이홀딩스 (주)
1020230009677,1020240117389,,공개,공개,기판 처리 장치 및 로드락 챔버에서의 기판 검사 방법,피에스케이 주식회사
1020240142225,1020260055837,,공개,공개,정전척 탈부착용 지그 및 이를 이용한 분리 방법,피에스케이 주식회사
1020230050730,1020240154309,,공개,공개,기판 처리 장치,피에스케이 주식회사
1020150136296,1020170037128,1017848390000,등록,등록,양방향 게이트밸브,프리시스 주식회사|피에스케이홀딩스 (주)
1020190050686,1020200126709,1021853400000,등록,등록,공압 밸브 장치 및 공압 밸브 모니터링 방법,피에스케이 주식회사
1020210042683,,1023235800000,등록,등록,플라즈마 발생 유닛 및 기판 처리 장치,피에스케이 주식회사
1020240019041,1020250122868,,공개,공개,기판 처리 장치,피에스케이 주식회사
1020240019573,1020250123420,,공개,공개,기판 처리 장치,피에스케이 주식회사
1020240019040,1020250122867,,공개,공개,기판 처리 장치,피에스케이 주식회사
1020210190689,1020230100969,1026544870000,등록,등록,플라즈마 발생 유닛 및 이를 포함하는 기판 처리 장치,피에스케이 주식회사
1020160103619,1020180019797,,포기,포기,동작 여부를 확인할 수 있는 솔레노이드 밸브,피에스케이홀딩스 (주)
