record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020250077259|1029623820000|웨이퍼 절단 방법|피에스케이홀딩스 (주),웨이퍼 절단 방법,피에스케이홀딩스 (주),1020250077259,,1029623820000,등록,2025,2026,2026,H10P; B23K,,공정; 기판; 웨이퍼,True,True,False,58.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,9
1020210190689|1026544870000|플라즈마 발생 유닛 및 이를 포함하는 기판 처리 장치|피에스케이 주식회사,플라즈마 발생 유닛 및 이를 포함하는 기판 처리 장치,피에스케이 주식회사,1020210190689,1020230100969,1026544870000,등록,2021,2023,2024,H01J,,차폐; 공정; 기판,True,True,False,56.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,24
1020210042683|1023235800000|플라즈마 발생 유닛 및 기판 처리 장치|피에스케이 주식회사,플라즈마 발생 유닛 및 기판 처리 장치,피에스케이 주식회사,1020210042683,,1023235800000,등록,2021,2021,2021,H01J; H05H,,공정; 기판,True,True,False,55.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,20
1020220113708|1029655950000|기판 처리 방법|피에스케이 주식회사,기판 처리 방법,피에스케이 주식회사,1020220113708,1020240034549,1029655950000,등록,2022,2024,2026,H10P; H01J; G06T,,기판,True,True,False,53.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,6
1020240143632||기판처리장치 및 그 동작방법|피에스케이홀딩스 (주),기판처리장치 및 그 동작방법,피에스케이홀딩스 (주),1020240143632,1020260058251,,공개,2024,2026,,H10P; H01S,,기판; 반도체; 소자,True,False,False,48.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,14
1020230033266||기판 처리 장치 및 기판 처리 장치의 제어 방법|피에스케이 주식회사,기판 처리 장치 및 기판 처리 장치의 제어 방법,피에스케이 주식회사,1020230033266,1020240139355,,공개,2023,2024,,H10P; H01J; G01B,,공정; 기판,True,False,False,46.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,1
1020220140564||기판 처리 방법|피에스케이 주식회사,기판 처리 방법,피에스케이 주식회사,1020220140564,1020240059375,,공개,2022,2024,,H10P; H01J,,공정; 기판,True,False,False,45.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,3
1020230099910||기판 처리 장치 및 플라즈마 발생 유닛|피에스케이 주식회사,기판 처리 장치 및 플라즈마 발생 유닛,피에스케이 주식회사,1020230099910,1020250018803,,공개,2023,2025,,H01J; H05H,,공정; 기판,True,False,False,45.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,4
1020220152622||기판 처리 장치|피에스케이 주식회사,기판 처리 장치,피에스케이 주식회사,1020220152622,1020240071009,,공개,2022,2024,,H10P; H01J,,공정; 기판,True,False,False,45.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,8
1020240153155||레이저 빔 편향 시스템을 이용한 기판 절단 방법|피에스케이홀딩스 (주),레이저 빔 편향 시스템을 이용한 기판 절단 방법,피에스케이홀딩스 (주),1020240153155,1020260065140,,공개,2024,2026,,H10P; B23K,,공정; 기판,True,False,False,45.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,10
1020230030088||기판 처리 장치 및 배플|피에스케이 주식회사,기판 처리 장치 및 배플,피에스케이 주식회사,1020230030088,1020240136740,,공개,2023,2024,,H10P; H01J,,공정; 기판,True,False,False,45.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,12
1020230086877||기판 처리 장치 및 척|피에스케이 주식회사,기판 처리 장치 및 척,피에스케이 주식회사,1020230086877,1020250007140,,공개,2023,2025,,H10P; H01J,,공정; 기판,True,False,False,45.0,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,13
1020230100139||기판 처리 장치 및 플라즈마 발생 유닛|피에스케이 주식회사,기판 처리 장치 및 플라즈마 발생 유닛,피에스케이 주식회사,1020230100139,1020250019240,,공개,2023,2025,,H01J,,공정; 기판,True,False,False,43.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,5
1020230049239||기판 처리 장치|피에스케이 주식회사,기판 처리 장치,피에스케이 주식회사,1020230049239,1020240153054,,공개,2023,2024,,H01J,,공정; 기판,True,False,False,43.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,7
1020230050730||기판 처리 장치|피에스케이 주식회사,기판 처리 장치,피에스케이 주식회사,1020230050730,1020240154309,,공개,2023,2024,,H01J,,공정; 기판,True,False,False,43.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,17
1020190050686|1021853400000|공압 밸브 장치 및 공압 밸브 모니터링 방법|피에스케이 주식회사,공압 밸브 장치 및 공압 밸브 모니터링 방법,피에스케이 주식회사,1020190050686,1020200126709,1021853400000,등록,2019,2020,2020,F16K,,,True,True,False,43.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,19
1020230060663||기판 처리 장치용 유지보수 기구|피에스케이 주식회사,기판 처리 장치용 유지보수 기구,피에스케이 주식회사,1020230060663,1020240163429,,공개,2023,2024,,H01J,,기판,True,False,False,40.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,2
1020220133515||기판 처리 장치 및 기판 처리 방법|피에스케이 주식회사,기판 처리 장치 및 기판 처리 방법,피에스케이 주식회사,1020220133515,1020240053429,,공개,2022,2024,,H10P,,기판,True,False,False,40.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,11
1020230009677||기판 처리 장치 및 로드락 챔버에서의 기판 검사 방법|피에스케이 주식회사,기판 처리 장치 및 로드락 챔버에서의 기판 검사 방법,피에스케이 주식회사,1020230009677,1020240117389,,공개,2023,2024,,H10P,,기판,True,False,False,40.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,15
1020240019041||기판 처리 장치|피에스케이 주식회사,기판 처리 장치,피에스케이 주식회사,1020240019041,1020250122868,,공개,2024,2025,,H01J,,기판,True,False,False,40.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,21
1020240019573||기판 처리 장치|피에스케이 주식회사,기판 처리 장치,피에스케이 주식회사,1020240019573,1020250123420,,공개,2024,2025,,H01J,,기판,True,False,False,40.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,22
1020240019040||기판 처리 장치|피에스케이 주식회사,기판 처리 장치,피에스케이 주식회사,1020240019040,1020250122867,,공개,2024,2025,,H01J,,기판,True,False,False,40.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,23
1020150136296|1017848390000|양방향 게이트밸브|프리시스 주식회사|피에스케이홀딩스 (주),양방향 게이트밸브,프리시스 주식회사|피에스케이홀딩스 (주),1020150136296,1020170037128,1017848390000,등록,2015,2017,2017,F16K,,,True,True,False,39.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,18
1020240142225||정전척 탈부착용 지그 및 이를 이용한 분리 방법|피에스케이 주식회사,정전척 탈부착용 지그 및 이를 이용한 분리 방법,피에스케이 주식회사,1020240142225,1020260055837,,공개,2024,2026,,B25B,,,True,False,False,37.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,16
1020160103619||동작 여부를 확인할 수 있는 솔레노이드 밸브|피에스케이홀딩스 (주),동작 여부를 확인할 수 있는 솔레노이드 밸브,피에스케이홀딩스 (주),1020160103619,1020180019797,,포기,2016,2018,,F16K,,,True,False,True,28.5,data\반도체\피에스케이\tech\source\psk_kipris_plus_bibliographic_raw.csv,25
