source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020230162777,92993622,,CN,CN,CN,,202410393837,20240402,118782527,20241015,,,202410393837,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020230162777,92993622,,KR,KR,KR,,20240081340,20240621,102714394,20241011,,,20240081340,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR,N
1020070083036,40378814,,KR,KR,WO,,2008004740,20080814,2009025471,20090416,,,2008004740,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070083036,40378814,,KR,KR,WO,,2008004740,20080814,2009025471,20090528,,,2008004740,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070083036,40378814,,KR,KR,WO,,2008004740,20080814,2009025471,20090226,,,2008004740,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230122181,94889435,,CN,CN,CN,,202411277598,20240912,119626965,20250314,,,202411277598,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020110040629,47504428,,SG,SG,SG,,2012026936,20120413,185217,20121129,,,2012026936,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020080012139,41205949,,TW,TW,TW,,98104184,20090210,200940290,20091001,,,98104184,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020080036854,39875654,,KR,KR,WO,,2008002248,20080421,2008130173,20081030,,,2008002248,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020080036854,39875654,,TW,TW,TW,,97114926,20080423,I449125,20140811,,,97114926,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020080036854,39875654,,TW,TW,TW,,97114926,20080423,200901366,20090101,,,97114926,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020230095167,94261211,,CN,CN,CN,,202410957195,20240717,119328917,20250121,,,202410957195,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020230095167,94261211,,TW,TW,TW,,113126953,20240718,202505670,20250201,,,113126953,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220098676,89781289,,CN,CN,CN,,202310982707,20230807,117532752,20240209,,,202310982707,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220098676,89781289,,TW,TW,TW,,112127473,20230724,202407852,20240216,,,112127473,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020190076906,73891807,,CN,CN,CN,,202010468862,20200528,112151406,20201229,,,202010468862,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190076906,73891807,,TW,TW,TW,,109116389,20200518,202101640,20210101,,,109116389,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020120023647,49452190,,SG,SG,SG,,2013016654,20130306,193721,20131030,,,2013016654,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020100064300,45441615,,KR,KR,WO,,2011004354,20110614,2012005453,20120112,,,2011004354,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020100064300,45441615,,KR,KR,WO,,2011004354,20110614,2012005453,20120503,,,2011004354,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020100064300,45441615,,TW,TW,TW,,100123441,20110704,201203421,20120116,,,100123441,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020100064300,45441615,,SG,SG,SG,,2012096756,20110614,186491,20130130,,,2012096756,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020100064300,45441615,,TW,TW,TW,,100123441,20110704,I487048,20150601,,,100123441,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020160098627,59050366,,TW,TW,TW,,105131789,20160930,I673806,20191001,,,105131789,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020160098627,59050366,,TW,TW,TW,,105131789,20160930,201724304,20170701,,,105131789,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020210049001,83606380,,CN,CN,CN,,202210291280,20220323,115216724,20221021,,,202210291280,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210049001,83606380,,TW,TW,TW,,111112336,20220330,202242163,20221101,,,111112336,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020050112044,37621102,,KR,KR,WO,,2006004926,20061122,2007061221,20070531,,,2006004926,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020030070357,34420583,,KR,KR,WO,,2004002585,20041009,2005034232,20050414,,,2004002585,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070029344,39788659,,KR,KR,WO,,2008001491,20080317,2008117948,20081002,,,2008001491,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020070029344,39788659,,TW,TW,TW,,97110652,20080326,I474425,20150221,,,97110652,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020070029344,39788659,,TW,TW,TW,,97110652,20080326,200845280,20081116,,,97110652,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020210016225,82627620,,CN,CN,CN,,202210038688,20220113,114855129,20220805,,,202210038688,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210016225,82627620,,TW,TW,TW,,111102983,20220124,202232599,20220816,,,111102983,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020120044473,48867048,,CN,CN,CN,,201210216268,20120626,103376260,20131030,,,201210216268,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020120044473,48867048,,TW,TW,TW,,101123595,20120629,201344182,20131101,,,101123595,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020120044473,48867048,,SG,SG,SG,,2012044731,20120615,194276,20131129,,,2012044731,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020050032858,37115337,,CN,CN,CN,,200680013221,20060418,100562979,20091125,,,200680013221,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020050032858,37115337,,CN,CN,CN,,200680013221,20060418,101194352,20080604,,,200680013221,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020050032858,37115337,,DE,DE,DE,,112006000995,20060418,112006000995,20080214,,,112006000995,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020050032858,37115337,,JP,JP,JP,,2008507545,20060418,2008538453,20081023,,,2008507545,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020050032858,37115337,,JP,JP,JP,,2008507545,20060418,4679638,20110427,,,2008507545,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020050032858,37115337,,US,US,US,,91902406,20060418,2009311087,20091217,,,91902406,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020050032858,37115337,,US,US,US,,91902406,20060418,8070199,20111206,,,91902406,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
