application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020170180723,1020190078928,1024304310000,소멸,소멸,반도체 패키지 처리장치 및 반도체 패키지 처리방법,한미반도체 주식회사
1020230162777,1020250075375,,공개,공개,열압착 본딩장치,한미반도체 주식회사
1020150046069,,1016273360000,등록,등록,반도체 패키지 정렬장치 및 반도체 패키지 정렬방법,한미반도체 주식회사
1020130127230,1020150047305,1015194700000,등록,등록,반도체 자재 절단장치 및 반도체 자재 절단방법,한미반도체 주식회사
1020180035634,1020190113231,1025318170000,등록,등록,반도체 자재의 부분 차폐방법,한미반도체 주식회사
1020070083036,1020090018539,1014046640000,등록,등록,반도체 패키지 제조장치,한미반도체 주식회사
1020090002285,1020100082963,1015194770000,등록,등록,반도체 패키지 방향전환장치,한미반도체 주식회사
1020120120573,1020140054728,1014045160000,등록,등록,전자부품 실장장치의 교정방법,한미반도체 주식회사
1020210164855,1020230077511,,공개,공개,반도체 자재 연삭장치 및 이의 연삭방법,한미반도체 주식회사
1020200175188,1020220085263,1029488140000,등록,등록,본딩장치,한미반도체 주식회사
1020050092232,,1006611270000,소멸,소멸,반도체 패키지 이송장치,한미반도체 주식회사
1020230122181,1020250039579,,공개,공개,레이저 셋팅방법,한미반도체 주식회사
1020210036860,1020220131754,,공개,공개,반도체 자재 절단장치의 절단 셋팅방법,한미반도체 주식회사
1020120118437,,1013917040000,등록,등록,반도체 패키지 핸들러 및 그 운용방법,한미반도체 주식회사
1020160141800,1020180046549,1021086030000,등록,등록,렌즈유닛 분류장치 및 이를 구비하는 렌즈유닛 분류 시스템,한미반도체 주식회사
1020110040629,1020120122461,1012597770000,등록,등록,반도체 패키지 적재 장치 및 방법,한미반도체 주식회사
1020210077464,1020220167994,,공개,공개,반도체 자재 연마장치,한미반도체 주식회사
1020110110200,1020110124188,1013912000000,등록,등록,반도체 패키지 가공 방법,한미반도체 주식회사
1020140105728,1020160020705,1016176710000,등록,등록,와플 트레이 공급장치 및 이를 구비하는 반도체칩 본딩 시스템,한미반도체 주식회사
1020080012139,1020090086708,1013912580000,등록,등록,플립퍼링 장치 및 이를 구비하는 쏘잉 앤 플레이스먼트 장비,한미반도체 주식회사
1020110097139,1020130033203,1012600220000,등록,등록,"반도체 성형 장치, 이를 포함하는 반도체 제조 장치 및 반도체 제조 방법",한미반도체 주식회사
1020100081376,1020120018503,1016178060000,등록,등록,반도체 패키지 제조장치용 픽커 헤드의 위치 설정 방법,한미반도체 주식회사
1020120142080,,1013917060000,등록,등록,진공흡착 테이블 및 그 제조방법,한미반도체 주식회사
1020210071122,1020220162550,,거절,거절,반도체 자재 절단장치의 절단방법,한미반도체 주식회사
1020240122547,1020260036888,,공개,공개,본딩장치 및 이의 제어방법,한미반도체 주식회사
102020030033208,,2003386060000,소멸,소멸,반도체 소자 제조용 몰드 어셈블리 지그,한미반도체 주식회사
102020080004461,2020090010248,2004681560000,소멸,소멸,반도체 이송용 쏘팅픽커,한미반도체 주식회사
102019930013204,2019950004829,2001000310000,소멸,소멸,반도체팩키지의리이드성형장치,한미반도체 주식회사
102019830010130,2019850004488,2000300850000,소멸,소멸,반도체모울드부동장치,한미반도체 주식회사
102019930004881,2019940023578,2000998270000,소멸,소멸,반도체금형의체이스어셈블리구조,한미반도체 주식회사
1020070013822,1020080074542,,포기,포기,반도체 패키지 처리 장치,한미반도체 주식회사
