application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row
1020240159925,1020240159925,1020260071386,1020260071386,,,공개,공개,공개,"공중합체 및 전도성 고분자를 포함하는 조성물, 이를 포함하는 이차전지용 음극, 상기 음극을 포함하는 이차전지","공중합체 및 전도성 고분자를 포함하는 조성물, 이를 포함하는 이차전지용 음극, 상기 음극을 포함하는 이차전지",주식회사 한솔케미칼,주식회사 한솔케미칼,,20241112,2024,20260519,20260519,,,C08L 33/08|C08L 101/12|C08L 65/00|C08F 8/12|C08F 220/14|C08F 236/06|H01M 4/62|H01M 4/13|H01M 10/0525|H01M 4/02,C08L 33/08|C08L 101/12|C08L 65/00|C08F 8/12|C08F 220/14|C08F 236/06|H01M 4/62|H01M 4/13|H01M 10/0525|H01M 4/02,,,"공중합체 및 전도성 고분자를 포함하고, 상기 공중합체는 아크릴레이트(acrylate) 계열의 단량체 단위, 아크릴산(acrylic acid) 계열의 단량체 단위, 또는 이들의 조합; 및 탄소수 2 이상, 7 이하의 이중 결합을 포함하거나 포함하지 않는 단량체 단위;를 포함하는 조성물, 이를 포함하는 음극, 상기 음극을 포함하는 이차전지에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ed40ad8e276e0201091b9a35720d37fa99e28a6b0956600d418c3fc95d3a73836d60025f4a0698677751a941d869a22e50ef3e9a75b7b9bb,False,False,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,1
1020240160622,1020240160622,1020260071978,1020260071978,,,공개,공개,공개,유기 금속 화합물의 제조방법,유기 금속 화합물의 제조방법,주식회사 한솔케미칼,주식회사 한솔케미칼,,20241113,2024,20260520,20260520,,,C07F 17/00|C07F 7/00|C23C 16/455|C23C 16/40,C07F 17/00|C07F 7/00|C23C 16/455|C23C 16/40,,,본 발명은 할로겐 원소를 포함하는 화합물과 그리냐르 시약(Grignard Reagent)을 반응시키는 단계 및 치환되거나 치환되지 않은 방향족 환을 반응시키는 단계를 포함하는 높은 수율의 기상 증착 전구체용 유기 금속 화합물의 제조방법에 관한 것이다.,,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c939ef37838d7979f248b24efc013628b24b7b09404a5e389fa3943a6a4f0a33dc70d4a02708f67af3ce2db0c56a0f98ee85439b0efc12ed816,False,False,False,2,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,2
1020220115649,1020220115649,1020240036956,1020240036956,,,공개,공개,공개,"음극 활물질, 그의 제조방법 및 이를 포함하는 리튬 이차 전지","음극 활물질, 그의 제조방법 및 이를 포함하는 리튬 이차 전지",주식회사 한솔케미칼,주식회사 한솔케미칼,,20220914,2022,20240321,20240321,,,H01M 4/36|H01M 4/38|H01M 10/0525|C01B 33/02|H01M 4/02,H01M 4/36|H01M 4/38|H01M 10/0525|C01B 33/02|H01M 4/02,,,"본 발명은, 금속 입자와 비정질 탄소를 포함하는 다공성 구형 입자를 갖는 코어; 및 결정질 탄소 및 비정질 탄소 중 하나 이상을 포함하는 쉘; 을 포함하는 코어-쉘 구조를 가지며, 상기 코어의 금속 입자가 코어의 비정질 탄소를 통해 물리적으로 연결되어 있는 것을 특징으로 하는, 음극 활물질 및 이의 제조 방법과, 이를 포함하는 리튬 이차 전지에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=348aaf18c46825cf02d6c2de1c78338e7e8384424434c26bada1b947c35cdac4ce97784bd6e022fcaf4de52d58874543c52ee2075f956b6cb313d6330de999c716351798567d879b,False,False,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,3
1020240040489,1020240040489,1020250143900,1020250143900,,,공개,공개,공개,고굴절 화합물 및 이의 제조방법,고굴절 화합물 및 이의 제조방법,주식회사 한솔케미칼,주식회사 한솔케미칼,,20240325,2024,20251010,20251010,,,C07F 9/44|C07F 9/40|C07F 9/655,C07F 9/44|C07F 9/40|C07F 9/655,,,"본 발명은 고굴절 화합물 및 이의 제조방법에 관한 것이다. 상세하게는, 고굴절 화합물에 있어서, 상기 고굴절 화합물은 인 및 황 원소를 포함하고, 아크릴기 및 에폭시기 화합물 중 선택되는 하나의 작용기를 포함하는 것을 특징으로 한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c933104015e29aa5af8ab0b9d910ba8d7804089a08c2ce72e99f4a302dc61f55c6a1d704b9db0fe7beb19f695c4c05ba4470e39822c82ea5b1d,False,False,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,4
1020230082470,1020230082470,1020250000985,1020250000985,1029643380000,1029643380000,등록,등록,등록,"신규 화합물, 이를 포함하는 전구체 조성물, 및 이를 이용한 박막의 제조방법","신규 화합물, 이를 포함하는 전구체 조성물, 및 이를 이용한 박막의 제조방법",주식회사 한솔케미칼,주식회사 한솔케미칼,,20230627,2023,20250106,20250106,20260508,20260508,C07F 7/00|C07F 7/28|C23C 16/18|C23C 16/455,C07F 7/00|C07F 7/28|C23C 16/18|C23C 16/455,,,"본 발명은 기상 증착을 통하여 박막 증착이 가능한 기상 증착 화합물에 관한 것으로, 구체적으로는 원자층 증착법 (Atomic Layer Deposition, ALD) 또는 화학 기상 증착법 (Chemical Vapor Deposition, CVD)에 적용 가능하고, 반응성, 휘발성 및 열적 안정성이 우수한 신규 화합물, 상기 신규 화합물을 포함하는 전구체 조성물, 상기 전구체 조성물을 이용한 박막의 제조방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c937307e90534ec1c84b9f0427b2f78151ee0bd5b922ef6a2316aa7cc02712cdd79773b90a0335b9b8514dbd5a6529985b087499ea7f6d11b4b,True,True,False,4,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,5
1020240003469,1020240003469,1020250108921,1020250108921,,,공개,공개,공개,글루콘산 및 글리콜계 첨가제를 이용한 폐리튬 이차전지의 유가금속 회수 방법,글루콘산 및 글리콜계 첨가제를 이용한 폐리튬 이차전지의 유가금속 회수 방법,주식회사 한솔케미칼,주식회사 한솔케미칼,,20240109,2024,20250716,20250716,,,H01M 10/54|C22B 3/08|C22B 3/16,H01M 10/54|C22B 3/08|C22B 3/16,,,"본 발명은 황산, 글루콘산 및 글리콜계 첨가제가 혼합된 용액을 사용하여 폐양극활물질로부터 유가금속인 리튬, 니켈, 코발트 및 망간 등을 침출하여 회수하는 방법에 관한 것으로, 종래에 비해 황산의 사용량을 줄이면서도 유가금속의 침출율이 더 높은 특징이 있어, 폐양극활물질 내 유가금속의 침출 공정에 따른 환경오염을 줄여 공정 지속성을 늘리고, 자원 회수율을 높일 수 있는 방법을 제공한다.",,,,,False,False,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,6
1020230161179,1020230161179,1020250075756,1020250075756,1029631280000,1029631280000,등록,등록,등록,고순도 및 고분자량의 정공수송층 화합물의 제조 방법,고순도 및 고분자량의 정공수송층 화합물의 제조 방법,주식회사 한솔케미칼,주식회사 한솔케미칼,,20231120,2023,20250529,20250529,20260506,20260506,C08G 61/12|H10K 85/10|H10K 30/86|H10K 30/50,C08G 61/12|H10K 85/10|H10K 30/86|H10K 30/50,,,"본 발명은 정공수송층 화합물의 제조 방법에 관한 것으로, 구체적으로 정공수송층 화합물로서 폴리(트리아릴아민)계 고분자를 고순도 및 고분자량으로 수득할 수 있는 제조방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934a677ec7646dfd8dd04e9e114dd36228087dbb33c236a452dc6729decd4fb05ed69c049055b2d982700bd905853a0cab856f97cc5217a3c7,True,True,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,7
1020240106182,1020240106182,1020260022731,1020260022731,1029638040000,1029638040000,등록,등록,등록,"신규 화합물, 이의 제조방법, 이를 포함하는 전구체 화합물 및 이를 이용한 박막의 제조방법","신규 화합물, 이의 제조방법, 이를 포함하는 전구체 화합물 및 이를 이용한 박막의 제조방법",주식회사 한솔케미칼,주식회사 한솔케미칼,,20240808,2024,20260220,20260220,20260507,20260507,C07F 5/00|C07F 5/06|C23C 16/455|C23C 16/40|C23C 16/34|C23C 16/18|C23C 16/20,C07F 5/00|C07F 5/06|C23C 16/455|C23C 16/40|C23C 16/34|C23C 16/18|C23C 16/20,,,"본 발명은 박막 증착이 가능한 화합물에 관한 것으로, 구체적으로는 원자층 증착법 (Atomic Layer Deposition, ALD) 또는 화학 기상 증착법 (Chemical Vapor Deposition, CVD)에 적용 가능하고, 반응성, 휘발성 및 열적 안정성이 우수한 신규 화합물로서, 상기 화합물의 제조방법, 상기 화합물을 포함하는 전구체 화합물 및 상기 전구체 화합물을 이용한 박막의 제조방법에 관한 것이다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93983a0f4c690714d8bdd8b0ddb753bd0b97e257ab1b1894cf948816ddf0a081013de4a000c5112a13dba6244cdaf6c770c76c64a3e3235c45,True,True,False,4,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,8
1020240154442,1020240154442,1020260067433,1020260067433,,,공개,공개,공개,분리막용 공중합체 및 이를 포함하는 이차전지,분리막용 공중합체 및 이를 포함하는 이차전지,주식회사 한솔케미칼,주식회사 한솔케미칼,,20241104,2024,20260513,20260513,,,C08F 220/44|C08F 220/18|C08F 220/06|C08F 220/14|C08F 220/38|C08F 228/04|H01M 50/42|H01M 50/431|H01M 50/449|H01M 10/0525,C08F 220/44|C08F 220/18|C08F 220/06|C08F 220/14|C08F 220/38|C08F 228/04|H01M 50/42|H01M 50/431|H01M 50/449|H01M 10/0525,,,"본 발명은 황 원자 포함 단량체 단위, 아크릴로나이트릴 계열의 단량체 단위, 탄소수 1 내지 20의 선형 알킬기를 포함하는 아크릴레이트 계열의 단량체 단위 및 비닐아세테이트 계열의 단량체 단위를 포함하는 공중합체와 이를 포함하는 슬러리 조성물, 분리막 및 이차전지에 관한 것이다.",,,,,False,False,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,9
1020240153554,1020240153554,1020260065310,1020260065310,,,공개,공개,공개,"공중합체 조성물을 포함하는 바인더, 상기 바인더를 포함하는 이차전지용 양극 및 상기 양극을 포함하는 이차전지","공중합체 조성물을 포함하는 바인더, 상기 바인더를 포함하는 이차전지용 양극 및 상기 양극을 포함하는 이차전지",주식회사 한솔케미칼,주식회사 한솔케미칼,,20241101,2024,20260508,20260508,,,C08K 5/09|C08K 5/00|C08L 29/04|H01M 4/62|H01M 4/136|H01M 10/052|H01M 4/02,C08K 5/09|C08K 5/00|C08L 29/04|H01M 4/62|H01M 4/136|H01M 10/052|H01M 4/02,,,"본 발명은 공중합체 및 산 화합물을 포함하고, 상기 공중합체는 아크릴산 계열의 단량체 단위 및 비닐 알코올 계열의 단량체 단위를 포함하는 공중합체 조성물과 이를 포함하는 양극 슬러리 조성물, 양극 및 이차전지에 관한 것이다.",,,,,False,False,False,0,http://plus.kipris.or.kr/openapi/rest/patUtiModInfoSearchSevice/applicantNameSearchInfo,KIPRIS_PLUS_BIBLIOGRAPHIC,10
