query_applicant,index_no,register_status,invention_title,ipc_number,register_number,register_date,application_number,application_date,open_number,open_date,publication_number,publication_date,abstract,drawing,big_drawing,applicant_name
한솔케미칼,1,공개,"음극 활물질, 이를 포함하는 음극 및 리튬 이온 전지",H01M 4/36|H01M 10/0562|H01M 4/62|H01M 4/587|H01M 4/38|H01M 4/133|H01M 4/134|H01M 10/0525|H01M 4/02,,,1020240145265,20241022,1020260058679,20260429,,,"리튬 이온 전지에 사용될 수 있는 음극 활물질(100)에 관한 것으로, 보다 구체적으로는 음극재(110) 및 상기 음극재의 표면 외부에 형성된 코팅부(120)를 포함하고, 상기 코팅부는 산화물계 고체전해질을 포함하는 음극 활물질에 관한 것이다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf70c18b34e498a1fc9e62a3c9f68eb59b682bc642f5f5191edd872e1238122119f200a2ed7410700587806ad50798a5f66388bb21438e3426,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93134dde06f571014f6d1c16544865b5d7b70c2eca20c81d65526e2cf955017a36a29b2fb7eaf3fbb2f6bc597aecdbc0d79f91f55f4cb30fd9,주식회사 한솔케미칼
한솔케미칼,2,공개,"폴리아미드 중합체를 포함하는 바인더, 이 바인더를 포함하는 이차전지용 양극 및 이 양극을 포함하는 이차전지",C08G 69/26|C08G 69/42|C08L 77/06|H01M 4/62|H01M 4/131|H01M 10/052|H01M 4/02,,,1020220139371,20221026,1020240058536,20240503,,,"본 발명은 방향족 환을 포함하는 단량체 단위를 포함하는 폴리아미드(polyamide) 중합체를 포함하는 바인더, 이를 포함하는 양극 슬러리, 양극 및 이차전지에 관한 것이다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf43b4c8f415defef6fc06b209e160bfac3372bda6b2e70178c089bffc729bcd450abaec20af8b30d0e683c17bb963155cf614a19262838ee2,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b1bd11bec33dcd6cac554707b1b96cffa2365904ed14fb226eb97fe3af06ee0fde6adcc400f155e41e01c9516f2ef26c4362448bb548f8c5,주식회사 한솔케미칼
한솔케미칼,3,공개,코어-쉘 구조를 갖는 고체전해질 및 이의 제조방법,H01M 10/0562|H01M 10/052,,,1020220112552,20220906,1020240033824,20240313,,,"본 발명은 코어-쉘 구조를 갖는 고체전해질 및 이의 제조방법에 관한 것이다. 상기 고체전해질은 하기 화학식1로 표현되는 제1 전해질을 포함하는 코어부; 및 하기 화학식2로 표현되는 제2 전해질을 포함하고, 상기 코어부의 표면에 코팅된 쉘부;를 포함하고, X1의 이온 반경(Ionic radius)이 X2의 이온 반경 보다 큰 것일 수 있다. [화학식1] Li a PS b X1 c 4≤a≤7, 3≤b≤7, 0003c#c≤2, X1은 Br 또는 I를 포함함 [화학식2] Li d PS e X2 f 4≤d≤7, 3≤e≤7, 0003c#f≤2, X2는 Cl 또는 Br을 포함함.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfe04ebefba53f35edbac00a0a291121402da6412ec2e33d2a46168f9e8723fc1927544acb5f790eb3584d01a9218f30aba97a542c9b1522d9,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9377144f25b22699cd20275db820b84272d658082836979261ffc5b60fcd8f89ad7c79f7b9bb4f82d642db0110018388568b565f291d4a25ad,현대자동차주식회사|기아 주식회사|주식회사 한솔케미칼
한솔케미칼,4,등록,"(메타)아크릴 변성 우레탄 수지, 이를 포함하는 광경화성 변색 수지 조성물, 및 이 수지 조성물을 이용해 절연처리된 전자부품",B29C 47/00|B29C 47/78|C08L 75/04|C08L 33/06,1011610140000,20120622,1020100034866,20100415,1020110115387,20111021,,20120702,"본 발명은 제조공정 및 사용시 휘발성 유기 용매 등이 발생하지 않아 환경부하가 적은 전자부품의 절연에 적합한 광경화성 수지 조성물, 인쇄회로판용 광경화성 방습절연 코팅제 및 절연처리 된 전자부품 및 그의 제조방법을 제공한다. 본 발명은 (메타)아크릴 변성 우레탄 제조시 카르복실기를 2개 가지는 에틸렌성 불포화 이중결합을 가지는 모노머를 사용함으로써 최종 경화된 광(자외선)경화성 수지의 아크릴 주사슬에 우레탄 성분이 가교되어 있는 효과를 부여함으로써 접착력 등 물성이 우수하도록 설계 하였으며, 특히 비가역성 광변색 염료 또는 가역성 광변색 염료를 비가역 조건이 되게 사용하여 경화전후 색상변화의 특성을 발현함으로써, 외관상의 아름다움 뿐만 아니라 LCD 등의 모듈공정 전극보호제 코팅시 색상변화만으로 경화장비의 이상유무 또는 수지의 경화정도를 판단할 수 있게 하여 품질관리에 획기적인 장점이 부여되어 있는 것을 특징으로 한다. 기존 광경화성 전극보호 방습절연 코팅제로 사용되는 제품들과 비교하여 경화속도, 접착력 등 제반 물성은 동등 이상을 유지하면서 경화정도에 따라 색상과 색상의 농도가 변화해 품질관리를 시감적으로 확인할 수 있어 작업의 편의성 뿐만 아니라 외관적인 은폐력 부여 등의 효과도 함께 가지게 되었다. 본 발명에 의해 제조된 광(자외선) 경화성 방습절연 코팅제는 액정표시장치, 플라즈마 표시...(이하생략)",,,주식회사 한솔케미칼
한솔케미칼,5,등록,"광경화성 변색 수지 조성물, 이를 이용해 절연처리된 전자부품 및 그의 제조방법",C08F 2/44|C08F 2/50|C08J 3/20|C08J 3/24|C08L 33/06|C09D 133/06,1012577530000,20130418,1020100034865,20100415,1020110115386,20111021,,20130424,"본 발명은 제조공정 및 사용시 휘발성 유기용매 등이 발생하지 않아 환경부하가 적은 전자부품의 절연에 적합한 광경화성 수지 조성물, 인쇄회로판용 광경화성 방습절연 코팅제 및 절연처리 된 전자부품 및 그의 제조방법을 제공한다. 본 발명은 광경화성 우레탄변성(메타)아크릴레이트, 카보네이트기도입 우레탄변성 (메타)아크릴레이트 수지에 비가역성 광변색 염료 또는 가역성 광변색 염료를 비가역 조건이 되게 사용하여 경화전후 색상변화의 특성을 발현 함으로써, 외관상의 아름다움 뿐만 아니라 LCD 등의 모듈공정에서 전극보호재 코팅시 색상변화만으로 경화장비의 이상 유무 또는 수지의 경화정도를 판단할 수 있게 하여 품질관리에 획기적인 장점이 부여되어 있는 것을 특징으로 한다. 기존 광경화성 전극보호 방습절연 코팅제에 본 발명의 기술을 적용할 경우 경화 속도, 접착력 등 제반 물성은 동등 수준을 유지하면서 경화정도에 따라 색상과 색상의 농도가 변화해 품질관리를 시감적으로 확인할 수 있어 작업의 편의성 뿐만 아니라 외관적인 은폐력 부여 등의 효과도 함께 가지게 되었다. 본 발명에 의해 제조된 광(자외선) 경화성 방습절연 코팅제는 액정표시장치, 플라즈마 표시장치, 유기발광다이오드 등의 평판디스플레이의 전극 보호제, 전자제품의 콘덴서 등의 방습 보호제로 사용할 수 있다.",,,주식회사 한솔케미칼
한솔케미칼,6,공개,"양자점 분산액, 이를 포함하는 양자점 잉크 조성물, 경화막, 컬러필터 및 디스플레이 장치",C09K 11/02|C09K 11/70|C09D 11/101|C09D 11/03|C09D 11/037|C09D 11/322|C09D 11/38|H10H 20/851,,,1020240130547,20240926,1020260044441,20260402,,,"본 발명은 본 발명은 양자점 분산액, 이를 포함하는 양자점 잉크 조성물, 경화막, 컬러필터 및 디스플레이 장치에 관한 것으로, 리간드층에 화학식 1로 표시되는 벤조티올계 리간드 화합물을 포함하는 양자점을 함유함으로써, 조성물의 열안정성 및 광안정성을 더욱 향상시킬 수 있고, 저점도 구현을 통해 잉크젯 공정에 대한 공정성이 우수하며, 광학특성이 더욱 향상된 고품질의 디스플레이 장치를 제공할 수 있다.",,,주식회사 한솔케미칼
한솔케미칼,7,공개,구형의 고체전해질의 제조방법,H01M 10/0562|C01B 25/14|H01M 10/052,,,1020230045915,20230407,1020240150071,20241015,,,본 발명은 입도 분포가 고르고 구형인 고체전해질을 제조할 수 있는 방법에 대한 것이다.,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfcb7e719508a7bbaf0ff4a8daed9b34cbe10781034a44c67be206d097f4f9563ff91748f807a0217d55af93365989cb3f24cb4a126f883d95,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c934cb379fa631e1307a54f870eb7c8d700802d8ee3902e14fdfa546f2c761c86e18e802a370e591c0ada4d5844788769bc937f59171e548b82,현대자동차주식회사|기아 주식회사|주식회사 한솔케미칼
한솔케미칼,8,등록,"양자점 잉크 조성물, 이의 제조방법, 이를 포함하는 경화막, 컬러필터 및 디스플레이 장치",C09D 11/50|C09D 11/322|C09D 11/38|C09K 11/02|C09K 11/62|G02F 1/1335|H10K 59/38,1029450260000,20260324,1020240119506,20240903,1020260033902,20260310,,20260330,"본 발명은 양자점 잉크 조성물, 이의 제조방법, 이를 포함하는 경화막, 컬러필터 및 디스플레이 장치에 관한 것으로, AIGS계 양자점에 특히 적합한 리간드 화합물을 포함하여 양자점의 광학적 특성 및 안정성을 더욱 향상시킬 수 있고, 양자점의 표면의 리간드 화합물을 우수한 효율로 치환하고, 치환된 리간드 화합물이 양자점 표면에 더 강하게 결합하도록 하여 우수한 물성의 양자점 잉크 조성물을 제조할 수 있으며, 이에 따라 광학특성이 더욱 향상된 고품질의 디스플레이 장치를 제공할 수 있다.",,,주식회사 한솔케미칼
한솔케미칼,9,거절,"음극 활물질, 그의 제조방법 및 이를 포함하는 리튬 이차전지",H01M 4/36|H01M 4/38|H01M 4/583|C01B 33/113|C01B 32/182|H01M 10/052|H01M 4/02,,,1020220137966,20221025,1020240057600,20240503,,,"본 발명은 금속 입자 및 나노탄소를 포함하는 코어 및 탄소를 포함하는 쉘층을 포함하고, 상기 나노탄소가 상기 금속 입자 전체를 감싸는 형태를 갖는 것을 특징으로 하는, 리튬 이차 전지용 음극 활물질 및 이의 제조 방법과, 이를 포함하는 리튬 이차 전지에 관한 것이다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf43b4c8f415defef6fc06b209e160bface53c02dde095b533acd47e1efd6104107252c838d5ae87a6f8169af41feac83f5beed2abed881a5c,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b1bd11bec33dcd6cac554707b1b96cffca8d38c1965a1406a1b948337f736c64ec23ecb22d82f5b91d61173d77ebc1d370ebc893a76ff385,주식회사 한솔케미칼
한솔케미칼,10,등록,"음극 활물질, 그의 제조방법 및 이를 포함하는 리튬 이차전지",H01M 4/36|H01M 4/38|H01M 4/62|H01M 10/052|H01M 4/02,1029327860000,20260225,1020220155336,20221118,1020240073473,20240527,,20260305,"본 발명은 적어도 하나의 금속 함유 입자를 포함하는 코어, 상기 코어를 둘러싸는 제1쉘 및 상기 제1 쉘을 둘러싸는 제2쉘을 포함하고, 상기 금속 함유 입자는 Mg, Al, Si, Ca, Fe, Mg, Mn, Co, Ni, Zn 및 Ge로 이루어진 그룹에서 선택된 어느 하나 이상을 포함하는 음극 활물질, 그의 제조방법 및 이를 포함하는 리튬이차전지에 관한 것이다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf6d11f9c78b1fe41a8dbe1b821a4f47f72106eb50df856d9ba38e814438c34ccc2f0a6b3bb8f33701088eacb687364db6ca6429e92712f583,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9372ec71bbcfe5c14b4ed6ce6d902c8c07506ed5a1adf0e6422af7b56a52954d2102e4bc6f28a969cf0644e54270e6323da142deea4747c22b,주식회사 한솔케미칼
